time,eevp,total,share:b,share:t,share:o,total:b,total:t,total:o,batch,batch:b,batch:t,batch:o,note
2020-11-03 20:23:07,0,1053,0.585,0.407,0.008,616,428,8,1053,616,428,8,
2020-11-03 20:28:39,0,2190,0.602,0.395,0.003,1318,865,6,1137,702,436,-1,
2020-11-03 20:29:35,0,3709,0.489,0.506,0.005,1813,1876,18,1519,495,1011,11,
2020-11-03 20:32:46,0,4280,0.474,0.52,0.006,2028,2225,25,571,215,348,7,
2020-11-03 20:40:51,0,5249,0.476,0.516,0.008,2498,2708,41,969,469,482,16,
2020-11-03 20:41:31,0,8971,0.52,0.472,0.008,4664,4234,71,3722,2166,1525,29,
2020-11-03 20:42:13,0,9234,0.53,0.463,0.006,4894,4275,55,263,229,41,-16,Other -16 votes
2020-11-03 20:43:04,0,10648,0.551,0.439,0.01,5867,4674,106,1414,973,399,51,
2020-11-03 20:45:58,0,11670,0.515,0.475,0.01,6010,5543,116,1022,143,868,10,
2020-11-03 20:46:29,0,11672,0.515,0.475,0.01,6011,5544,116,2,1,0,0,
2020-11-03 20:49:11,1,18631,0.592,0.398,0.01,11029,7415,186,6959,5018,1870,69,
2020-11-03 20:52:02,1,21290,0.58,0.406,0.014,12348,8643,298,2659,1318,1228,111,
2020-11-03 20:55:09,1,23626,0.564,0.423,0.013,13325,9993,307,2336,976,1350,9,
2020-11-03 20:56:07,1,30815,0.533,0.452,0.014,16424,13928,431,7189,3099,3934,124,
2020-11-03 20:57:36,1,32278,0.53,0.454,0.016,17107,14654,516,1463,682,725,85,
2020-11-03 21:00:03,2,40640,0.519,0.468,0.012,21092,19019,487,8362,3984,4365,-28,
2020-11-03 21:02:35,2,57276,0.526,0.462,0.012,30127,26461,687,16636,9035,7441,199,
2020-11-03 21:02:42,2,57720,0.523,0.465,0.012,30187,26839,692,444,60,378,5,
2020-11-03 21:03:00,3,60973,0.499,0.489,0.012,30425,29815,731,3253,237,2975,39,
2020-11-03 21:04:16,3,61798,0.497,0.491,0.012,30713,30342,741,825,288,527,9,
2020-11-03 21:06:06,3,64748,0.49,0.498,0.012,31726,32244,776,2950,1012,1901,35,
2020-11-03 21:08:52,3,66834,0.49,0.497,0.013,32748,33216,868,2086,1022,971,91,
2020-11-03 21:09:29,4,87270,0.449,0.538,0.012,39184,46951,1047,20436,6435,13734,178,
