time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-04 05:02:04,0,0,0,0,1,0,0,0,0,0,0,0,
2020-11-03 22:03:36,0.03,104866,0.48,0.505,0.015,50335,52957,1572,104866,50335,52957,1572,
2020-11-03 22:05:47,0.23,730299,0.566,0.421,0.013,413349,307455,9493,625433,363013,254498,7920,
2020-11-03 22:06:25,0.69,2203485,0.55,0.437,0.012,1211916,962922,26441,1473186,798567,655467,16947,
2020-11-03 22:08:46,0.7,2234553,0.549,0.438,0.012,1226769,978734,26814,31068,14852,15811,372,
2020-11-03 22:10:54,0.72,2304343,0.541,0.446,0.012,1246649,1027736,27652,69790,19879,49002,837,
2020-11-03 22:13:47,0.73,2329555,0.539,0.448,0.012,1255630,1043640,27954,25212,8980,15903,302,
2020-11-03 22:14:48,0.73,2331561,0.539,0.449,0.012,1256711,1046870,27978,2006,1081,3230,24,
2020-11-03 22:16:33,0.73,2331651,0.539,0.448,0.012,1256759,1044579,27979,90,48,-2291,1,
2020-11-03 22:17:55,0.73,2332883,0.538,0.448,0.014,1255091,1045131,32660,1232,-1668,551,4680,
2020-11-03 22:18:15,0.73,2346888,0.539,0.447,0.014,1264972,1049058,32856,14005,9881,3927,196,
2020-11-03 22:22:32,0.74,2383450,0.538,0.448,0.014,1282296,1067785,33368,36562,17323,18726,511,
2020-11-03 22:24:23,0.75,2396381,0.537,0.45,0.012,1286856,1078371,28756,12931,4560,10585,-4611,Other -4611
2020-11-03 22:31:35,0.75,2396411,0.537,0.45,0.012,1286872,1078384,28756,30,16,13,0,
2020-11-03 22:34:13,0.75,2397005,0.537,0.45,0.012,1287191,1078652,28764,594,318,267,7,
2020-11-03 22:37:56,0.75,2397263,0.537,0.45,0.012,1287330,1078768,28767,258,138,116,3,
2020-11-03 22:57:01,0.75,2398824,0.537,0.45,0.012,1288168,1079470,28785,1561,838,702,18,
2020-11-03 23:03:37,0.75,2400954,0.537,0.45,0.012,1289312,1080429,28811,2130,1143,958,25,
2020-11-03 23:04:48,0.75,2402922,0.536,0.45,0.014,1287966,1081314,33640,1968,-1346,885,4829,
2020-11-03 23:05:29,0.75,2403384,0.536,0.45,0.014,1288213,1081522,33647,462,247,207,6,
2020-11-03 23:07:29,0.75,2404551,0.536,0.45,0.014,1288839,1082047,33663,1167,625,525,16,
