anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 20:37:24,0,2119,0.366,0.602,0.032,2119,775,1275,67,
false,2020-11-03 20:37:46,1,13130,0.235,0.736,0.029,11011,2309,8388,312,
false,2020-11-03 20:42:45,5,60945,0.284,0.694,0.022,47815,14222,32632,960,
false,2020-11-03 20:43:29,5,64224,0.277,0.7,0.023,3279,481,2660,136,
false,2020-11-03 20:48:46,5,67746,0.279,0.699,0.022,3522,1111,2397,13,
false,2020-11-03 20:49:46,6,73207,0.273,0.705,0.022,5461,1084,4256,120,
false,2020-11-03 20:50:45,9,112053,0.293,0.685,0.022,38846,12846,25145,854,
false,2020-11-03 20:52:47,12,158484,0.308,0.668,0.024,46431,15981,29111,1338,
false,2020-11-03 20:54:46,13,166955,0.302,0.674,0.024,8471,1607,6660,203,
false,2020-11-03 20:56:45,14,179877,0.294,0.682,0.024,12922,2463,10148,310,
false,2020-11-03 21:00:47,14,180308,0.295,0.681,0.024,431,307,113,10,
false,2020-11-03 21:01:17,14,180990,0.294,0.681,0.024,682,20,464,16,
false,2020-11-03 21:01:45,15,185120,0.294,0.682,0.024,4130,1214,2997,99,
false,2020-11-03 21:05:15,15,191879,0.296,0.679,0.024,6759,2370,4034,162,
false,2020-11-03 21:07:32,16,197897,0.292,0.683,0.024,6018,989,4877,144,
false,2020-11-03 21:08:46,16,203539,0.292,0.684,0.024,5642,1647,4057,135,
false,2020-11-03 21:09:59,26,331194,0.413,0.563,0.024,127655,77349,47241,3063,
false,2020-11-03 21:10:50,27,336739,0.411,0.565,0.024,5545,1616,3795,133,
false,2020-11-03 21:11:45,35,439509,0.4,0.575,0.025,102770,37403,62460,2905,
false,2020-11-03 21:12:53,35,442939,0.403,0.573,0.024,3430,2700,1086,-357,
false,2020-11-03 21:14:13,36,460611,0.396,0.579,0.025,17672,3897,12889,884,
false,2020-11-03 21:14:47,36,460612,0.396,0.579,0.025,1,0,0,0,
false,2020-11-03 21:15:46,37,466464,0.394,0.582,0.024,5852,1384,4787,-320,
false,2020-11-03 21:16:30,37,471312,0.393,0.582,0.025,4848,1438,2821,587,
false,2020-11-03 21:23:26,38,481420,0.393,0.582,0.025,10108,3972,5882,252,
false,2020-11-03 21:26:59,38,481890,0.393,0.583,0.024,470,184,755,-470,
false,2020-11-03 21:27:27,38,484663,0.392,0.584,0.024,2773,605,2101,66,
false,2020-11-03 21:29:04,38,488676,0.39,0.585,0.025,4013,595,2832,584,
