time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T10:01:44Z,0,0,0,0,0,1,0,0,0
2020-11-04T04:11:07Z,0,5305,5305,0.583,0.395,0.022,3092,2095,116
2020-11-04T04:13:01Z,1,231201,225896,0.82,0.165,0.015,186492,36052,3351
2020-11-04T04:13:33Z,2,331266,100065,0.765,0.218,0.017,63833,34067,2163
2020-11-04T04:16:17Z,4,642538,311272,0.696,0.287,0.017,193787,112192,5291
2020-11-04T04:17:37Z,9,1412427,769889,0.638,0.344,0.018,453921,301466,14500
2020-11-04T04:18:49Z,9,1412430,3,0.638,0.344,0.018,1,1,0
2020-11-04T04:22:42Z,11,1800603,388173,0.658,0.324,0.018,283666,97519,6987
2020-11-04T04:23:21Z,11,1800605,2,0.658,0.324,0.018,1,0,0
2020-11-04T04:23:50Z,14,2241957,441352,0.683,0.299,0.018,346458,86949,7944
2020-11-04T04:25:00Z,36,5848667,3606710,0.714,0.269,0.017,2644691,902946,59072
2020-11-04T04:26:07Z,39,6352519,503852,0.719,0.264,0.017,391512,103773,8565
2020-11-04T04:26:26Z,45,7365710,1013191,0.702,0.28,0.018,603267,385333,24589
2020-11-04T04:27:33Z,45,7365786,76,0.702,0.28,0.018,53,21,1
2020-11-04T04:29:26Z,45,7365836,50,0.702,0.28,0.018,35,14,0
2020-11-04T04:31:22Z,46,7527288,161452,0.699,0.283,0.018,90757,67788,2906
2020-11-04T04:31:54Z,46,7527311,23,0.699,0.283,0.018,16,6,0
2020-11-04T04:33:41Z,48,7814144,286833,0.702,0.281,0.017,223938,65545,-2651
2020-11-04T04:33:56Z,48,7815090,946,0.702,0.281,0.017,664,265,16
2020-11-04T04:37:06Z,49,7932880,117790,0.7,0.282,0.018,66822,41031,9935
2020-11-04T04:39:33Z,51,8315467,382587,0.694,0.288,0.018,217918,157782,6886
2020-11-04T04:40:48Z,52,8471564,156097,0.692,0.29,0.018,91388,61899,2809
2020-11-04T04:42:43Z,52,8471566,2,0.692,0.29,0.018,1,0,0
2020-11-04T04:44:44Z,52,8471656,90,0.692,0.29,0.018,62,26,1
2020-11-04T04:45:07Z,53,8584235,112579,0.693,0.289,0.018,86488,24063,2026
2020-11-04T04:47:41Z,53,8584247,12,0.693,0.289,0.018,8,3,0
2020-11-04T04:50:59Z,58,9436247,852000,0.689,0.293,0.018,552691,283972,15336
2020-11-04T04:51:08Z,59,9630411,194164,0.685,0.297,0.018,95257,95411,3494
2020-11-04T04:54:01Z,60,9691456,61045,0.684,0.298,0.018,32124,27821,1098
2020-11-04T04:56:05Z,60,9691585,129,0.684,0.298,0.018,88,38,2
2020-11-04T04:57:52Z,60,9783862,92277,0.686,0.297,0.016,82685,17714,-17906
2020-11-04T05:00:50Z,60,9785519,1657,0.686,0.297,0.016,1136,492,26
2020-11-04T05:03:07Z,60,9801015,15496,0.685,0.297,0.018,829,4602,19849
2020-11-04T05:09:19Z,60,9808310,7295,0.685,0.297,0.018,4997,2166,131
2020-11-04T05:18:47Z,61,9862796,54486,0.685,0.297,0.018,37322,16182,980
2020-11-04T05:21:28Z,61,9862819,23,0.685,0.297,0.018,15,6,0
2020-11-04T05:25:28Z,61,9882281,19462,0.685,0.298,0.016,13331,15662,-19414
2020-11-04T05:25:50Z,61,9882317,36,0.685,0.298,0.016,24,10,0
2020-11-04T05:28:48Z,61,9919692,37375,0.684,0.298,0.018,15682,11137,20437
2020-11-04T05:30:22Z,61,9919803,111,0.684,0.298,0.018,75,33,1
2020-11-04T05:30:54Z,61,9919837,34,0.684,0.298,0.018,23,10,0
2020-11-04T05:31:37Z,61,9943479,23642,0.683,0.299,0.018,6227,16988,425
2020-11-04T05:32:16Z,62,10072480,129001,0.681,0.301,0.018,67962,58716,2322
2020-11-04T05:32:58Z,62,10072505,25,0.681,0.301,0.018,17,7,0
2020-11-04T05:36:14Z,62,10072506,1,0.681,0.301,0.018,0,0,0
2020-11-04T05:38:12Z,62,10109691,37185,0.68,0.301,0.018,15213,11192,669
2020-11-04T05:44:54Z,62,10114608,4917,0.68,0.301,0.018,3343,1480,88
2020-11-04T05:45:05Z,62,10114631,23,0.68,0.301,0.018,15,6,0
2020-11-04T05:46:48Z,62,10116488,1857,0.68,0.301,0.018,1262,558,33
2020-11-04T05:48:29Z,62,10139811,23323,0.68,0.301,0.018,15859,7020,419
2020-11-04T05:51:56Z,63,10150780,10969,0.68,0.301,0.018,7458,3301,197
2020-11-04T05:53:03Z,63,10152788,2008,0.68,0.301,0.018,1365,604,36
2020-11-04T05:58:57Z,63,10155734,2946,0.68,0.301,0.018,2003,886,53
2020-11-04T06:06:40Z,63,10261928,106194,0.677,0.304,0.018,41426,62750,1911
