time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-04 05:01:44,0,0,0,0,1,0,0,0,0,0,0,0,
2020-11-03 21:09:20,0.11,366048,0.713,0.27,0.017,260992,98832,6222,366048,260992,98832,6222,
2020-11-03 21:11:09,0.11,371654,0.711,0.271,0.018,264245,100718,6689,5606,3253,1885,466,
2020-11-03 21:12:59,0.14,465025,0.671,0.311,0.018,312031,144622,8370,93371,47785,43904,1680,
2020-11-03 21:17:28,0.15,480454,0.67,0.311,0.018,321904,149421,8648,15429,9872,4798,277,
2020-11-03 21:18:07,0.24,785490,0.652,0.328,0.02,512139,257640,15709,305036,190235,108219,7061,
2020-11-03 21:18:14,0.31,1025680,0.605,0.375,0.02,620536,384630,20513,240190,108396,126989,4803,
2020-11-03 21:20:35,0.32,1054882,0.603,0.377,0.02,636093,397690,21097,29202,15557,13060,584,
2020-11-03 21:22:05,0.32,1065224,0.6,0.379,0.021,639134,403719,22369,10342,3040,6029,1272,
2020-11-03 21:27:32,0.34,1113080,0.604,0.376,0.02,672300,418518,22261,47856,33165,14798,-108,
2020-11-03 21:31:49,0.35,1143322,0.597,0.383,0.02,682563,437892,22866,30242,10262,19374,604,
2020-11-03 21:32:08,0.45,1491619,0.595,0.383,0.022,887513,571290,32815,348297,204950,133397,9949,
2020-11-03 21:34:25,0.46,1507385,0.592,0.386,0.022,892371,581850,33162,15766,4858,10560,346,
2020-11-03 21:34:33,0.47,1533734,0.593,0.386,0.021,909504,592021,32208,26349,17132,10170,-954,
2020-11-03 21:34:54,0.56,1842843,0.572,0.406,0.022,1054106,748194,40542,309109,144601,156172,8334,
2020-11-03 21:35:53,0.63,2065128,0.572,0.405,0.023,1181253,836376,47497,222285,127147,88182,6955,
2020-11-03 21:38:20,0.64,2090420,0.569,0.408,0.023,1189448,852891,48079,25292,8195,16514,581,
2020-11-03 21:40:42,0.68,2217396,0.584,0.393,0.023,1294959,871436,51000,126976,105510,18545,2920,
2020-11-03 21:41:12,0.68,2231984,0.584,0.394,0.022,1303478,879401,49103,14588,8519,7965,-1896,
2020-11-03 21:42:37,0.7,2303151,0.577,0.4,0.023,1328918,921260,52972,71167,25439,41858,3868,
2020-11-03 21:46:02,0.71,2343344,0.577,0.401,0.022,1352109,939680,51553,40193,23191,18420,-1418,
2020-11-03 21:49:20,0.72,2351546,0.576,0.401,0.023,1354490,942969,54085,8202,2381,3289,2531,
2020-11-03 21:50:04,0.72,2360476,0.575,0.403,0.022,1357273,951271,51930,8930,2783,8301,-2155,
2020-11-03 21:50:27,0.72,2365130,0.574,0.404,0.022,1357584,955512,52032,4654,310,4240,102,
2020-11-03 21:52:23,0.72,2369034,0.574,0.404,0.022,1359825,957089,52118,3904,2240,1577,85,
2020-11-03 22:00:09,0.78,2573457,0.574,0.403,0.023,1477164,1037103,59189,204423,117338,80013,7070,
2020-11-03 22:02:45,0.78,2574359,0.574,0.403,0.023,1477682,1037466,59210,902,517,363,20,
2020-11-03 22:05:05,0.79,2575866,0.574,0.403,0.023,1478547,1038073,59244,1507,865,607,34,
2020-11-03 22:07:16,0.79,2579008,0.574,0.404,0.022,1480350,1041919,56738,3142,1803,3845,-2506,
2020-11-03 22:08:31,0.79,2583397,0.573,0.404,0.023,1480286,1043692,59418,4389,-64,1773,2679,
2020-11-03 22:13:21,0.79,2584151,0.573,0.404,0.023,1480718,1043997,59435,754,432,304,17,
2020-11-03 22:14:02,0.79,2592492,0.573,0.404,0.023,1485497,1047366,59627,8341,4779,3369,191,
2020-11-03 22:27:18,0.79,2604443,0.571,0.406,0.023,1487136,1057403,59902,11951,1639,10037,274,
