time,eevp,total,share:b,share:t,share:o,total:b,total:t,total:o,batch,batch:b,batch:t,batch:o,note
2020-11-03 20:06:29,0,7835,0.559,0.401,0.039,4379,3141,305,7835,4379,3141,305,
2020-11-03 20:19:15,1,17302,0.659,0.318,0.022,11402,5502,380,9467,7022,2360,75,
2020-11-03 20:22:49,1,19877,0.64,0.338,0.022,12721,6718,437,2575,1319,1216,56,
2020-11-03 20:31:46,1,24966,0.614,0.364,0.022,15329,9087,549,5089,2607,2369,111,
2020-11-03 20:31:46,1,24966,0.614,0.364,0.022,15329,9087,549,0,0,0,0,
2020-11-03 20:32:00,2,29306,0.649,0.33,0.02,19019,9670,586,4340,3690,583,36,
2020-11-03 20:36:15,2,35856,0.677,0.304,0.018,24274,10900,645,6550,5254,1229,59,
2020-11-03 20:37:46,2,39132,0.671,0.31,0.018,26257,12130,704,3276,1983,1230,58,
2020-11-03 20:44:02,2,40679,0.664,0.317,0.018,27010,12895,732,1547,753,764,27,
2020-11-03 20:45:05,2,44756,0.672,0.31,0.018,30076,13874,805,4077,3065,979,73,
2020-11-03 20:51:52,3,56399,0.658,0.324,0.018,37110,18273,1015,11643,7034,4398,209,
2020-11-03 20:52:12,3,57830,0.667,0.316,0.016,38572,18274,925,1431,1462,1,-89,Other -89
2020-11-03 20:55:47,3,59452,0.664,0.318,0.018,39476,18905,1070,1622,903,631,144,
2020-11-03 20:57:01,3,59850,0.66,0.323,0.016,39501,19331,957,398,24,425,-112,Other -112
2020-11-03 21:02:51,4,74104,0.633,0.348,0.019,46907,25788,1407,14254,7406,6456,450,
2020-11-03 21:05:32,4,76194,0.631,0.35,0.019,48078,26667,1447,2090,1170,879,39,
2020-11-03 21:06:50,4,78358,0.628,0.354,0.018,49208,27738,1410,2164,1130,1070,-37,
2020-11-03 21:09:10,4,80290,0.625,0.356,0.019,50181,28583,1525,1932,972,844,115,
2020-11-03 21:10:12,5,84755,0.63,0.351,0.019,53395,29749,1610,4465,3214,1165,84,
2020-11-03 21:17:41,5,86526,0.634,0.347,0.019,54857,30024,1643,1771,1461,275,33,
2020-11-03 21:19:06,5,90250,0.624,0.358,0.018,56316,32309,1624,3724,1458,2284,-19,
2020-11-03 21:23:21,5,93562,0.617,0.365,0.018,57727,34150,1684,3312,1411,1840,59,
2020-11-03 21:25:19,5,95905,0.617,0.365,0.018,59173,35005,1726,2343,1445,855,42,
2020-11-03 21:28:17,5,98424,0.611,0.37,0.019,60137,36416,1870,2519,963,1411,143,
2020-11-03 21:29:29,6,104133,0.613,0.369,0.018,63833,38425,1874,5709,3696,2008,4,
2020-11-03 21:35:12,6,106625,0.612,0.37,0.018,65254,39451,1919,2492,1420,1026,44,
2020-11-03 21:38:05,6,116930,0.615,0.368,0.017,71911,43030,1987,10305,6657,3578,68,
2020-11-03 21:40:50,6,119571,0.618,0.364,0.018,73894,43523,2152,2641,1982,493,164,
2020-11-03 21:41:59,8,153634,0.61,0.374,0.016,93716,57459,2458,34063,19821,13935,305,
2020-11-03 21:42:22,9,166071,0.605,0.379,0.016,100472,62940,2657,12437,6756,5481,198,
2020-11-03 21:42:28,9,170005,0.6,0.384,0.016,102003,65281,2720,3934,1530,2341,62,
2020-11-03 21:46:05,10,178854,0.593,0.391,0.016,106060,69931,2861,8849,4057,4649,141,
2020-11-03 21:46:36,12,216492,0.602,0.382,0.016,130328,82699,3463,37638,24267,12768,602,
2020-11-03 21:49:28,12,220742,0.606,0.378,0.016,133769,83440,3531,4250,3441,740,68,
2020-11-03 21:55:07,13,245479,0.594,0.39,0.016,145814,95736,3927,24737,12044,12296,395,
2020-11-03 21:56:55,15,271796,0.59,0.395,0.015,160359,107359,4076,26317,14545,11622,149,
2020-11-03 21:59:42,15,274854,0.589,0.396,0.015,161889,108842,4122,3058,1529,1482,45,
2020-11-03 22:01:20,15,282748,0.591,0.394,0.015,167104,111402,4241,7894,5215,2560,118,
2020-11-03 22:01:41,16,294146,0.588,0.396,0.016,172957,116481,4706,11398,5853,5079,465,
