time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-04 01:22:59,0,0,0,0,1,0,0,0,0,0,0,0,
2020-11-03 20:28:10,0.23,115441,0.825,0.163,0.012,95238,18816,1385,115441,95238,18816,1385,
2020-11-03 22:52:59,0.48,237335,0.632,0.356,0.012,149995,84491,2848,121894,54756,65674,1462,
2020-11-03 22:53:17,0.61,300037,0.588,0.399,0.013,176421,119714,3900,62702,26426,35223,1052,
2020-11-04 00:07:49,0.61,300647,0.588,0.399,0.013,176780,119958,3908,610,358,243,7,
2020-11-04 00:08:03,0.62,308006,0.58,0.407,0.013,178643,125358,4004,7359,1863,5400,95,
2020-11-04 00:48:15,0.98,502343,0.588,0.398,0.014,295377,199932,7032,194337,116734,74574,3028,
2020-11-04 17:46:43,0.99,502383,0.588,0.398,0.014,295401,199948,7033,40,23,15,0,
2020-11-05 22:34:22,0.99,502384,0.588,0.398,0.014,295401,199948,7033,1,0,0,0,
2020-11-09 16:44:52,0.99,502392,0.588,0.398,0.014,295406,199952,7033,8,4,3,0,
2020-11-10 17:30:51,0.99,504010,0.588,0.398,0.014,296357,200595,7056,1618,951,643,22,
