time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T06:43:00Z,0,0,0,0,0,1,0,0,0
2020-11-04T00:02:01Z,5,560771,560771,0.428,0.564,0.008,240009,316274,4486
2020-11-04T00:02:42Z,7,844914,284143,0.434,0.557,0.008,126682,154342,2273
2020-11-04T00:03:26Z,9,1004171,159257,0.435,0.556,0.008,70121,87701,1274
2020-11-04T00:05:44Z,12,1457441,453270,0.467,0.524,0.008,243810,205380,3626
2020-11-04T00:07:05Z,13,1515932,58491,0.461,0.53,0.008,18219,39744,467
2020-11-04T00:07:48Z,13,1516751,819,0.461,0.53,0.008,377,434,6
2020-11-04T00:08:50Z,13,1517513,762,0.461,0.53,0.008,351,403,6
2020-11-04T00:09:04Z,13,1575006,57493,0.46,0.532,0.008,24929,33621,459
2020-11-04T00:09:47Z,13,1576355,1349,0.459,0.532,0.008,-955,717,10
2020-11-04T00:10:11Z,14,1613677,37322,0.46,0.531,0.008,18744,18241,298
2020-11-04T00:10:49Z,14,1619774,6097,0.459,0.532,0.008,1184,4857,48
2020-11-04T00:11:09Z,15,1790869,171095,0.458,0.533,0.008,76741,92813,1368
2020-11-04T00:11:13Z,15,1792571,1702,0.458,0.533,0.008,779,907,13
2020-11-04T00:11:36Z,15,1792783,212,0.458,0.533,0.008,97,112,1
2020-11-04T00:11:47Z,20,2394114,601331,0.482,0.509,0.009,332868,263050,7204
2020-11-04T00:12:48Z,22,2564464,170350,0.498,0.493,0.009,123140,45676,1533
2020-11-04T00:12:52Z,22,2574380,9916,0.498,0.493,0.009,4938,4888,89
2020-11-04T00:13:10Z,22,2575945,1565,0.498,0.493,0.009,779,771,14
2020-11-04T00:13:49Z,22,2578773,2828,0.497,0.493,0.01,-1170,1394,2604
2020-11-04T00:14:23Z,22,2579357,584,0.497,0.493,0.01,290,287,5
2020-11-04T00:14:47Z,22,2586442,7085,0.497,0.494,0.009,3521,6079,-2515
2020-11-04T00:15:17Z,31,3597254,1010812,0.51,0.482,0.008,549137,456174,5500
2020-11-04T00:15:47Z,31,3608125,10871,0.509,0.483,0.008,1936,8847,86
2020-11-04T00:16:05Z,34,4009077,400952,0.512,0.479,0.009,216111,177623,7216
2020-11-04T00:16:49Z,34,4022428,13351,0.511,0.48,0.009,2813,10417,120
2020-11-04T00:17:59Z,36,4216993,194565,0.503,0.488,0.009,65686,127127,1751
2020-11-04T00:18:58Z,36,4251251,34258,0.501,0.49,0.009,8729,25220,308
2020-11-04T00:19:34Z,38,4394611,143360,0.504,0.487,0.009,85007,57062,1290
2020-11-04T00:19:52Z,38,4421947,27336,0.503,0.489,0.008,9355,22156,-4175
2020-11-04T00:20:14Z,38,4422310,363,0.503,0.488,0.009,182,-4244,4425
2020-11-04T00:20:56Z,40,4672412,250102,0.495,0.496,0.009,88422,159429,2250
2020-11-04T00:21:07Z,40,4675995,3583,0.495,0.496,0.009,1773,1777,32
2020-11-04T00:21:29Z,41,4770161,94166,0.493,0.498,0.009,37071,56246,847
2020-11-04T00:21:42Z,41,4770729,568,0.493,0.498,0.009,280,282,5
2020-11-04T00:21:56Z,41,4774181,3452,0.493,0.499,0.008,1701,6493,-4743
2020-11-04T00:22:49Z,43,5036107,261926,0.49,0.501,0.009,114021,140773,7131
2020-11-04T00:23:01Z,43,5036380,273,0.49,0.501,0.009,133,136,2
2020-11-04T00:23:35Z,45,5262968,226588,0.49,0.501,0.009,111028,113520,2039
2020-11-04T00:23:47Z,45,5281884,18916,0.489,0.502,0.009,3986,14758,170
2020-11-04T00:24:00Z,46,5396506,114622,0.493,0.498,0.009,77636,35954,1031
2020-11-04T00:24:56Z,46,5413273,16767,0.492,0.498,0.01,2852,8349,5564
2020-11-04T00:25:07Z,46,5415649,2376,0.492,0.499,0.009,1168,6598,-5391
2020-11-04T00:25:42Z,48,5600690,185041,0.489,0.502,0.009,74238,109137,1665
2020-11-04T00:26:00Z,48,5608333,7643,0.489,0.502,0.009,3737,3836,68
2020-11-04T00:26:14Z,50,5872900,264567,0.489,0.502,0.009,129373,132812,2381
2020-11-04T00:26:48Z,51,5946317,73417,0.488,0.503,0.009,29954,42801,660
2020-11-04T00:27:19Z,51,5948096,1779,0.488,0.503,0.009,868,894,16
2020-11-04T00:27:29Z,52,6105904,157808,0.486,0.505,0.009,64798,91589,1420
2020-11-04T00:28:01Z,52,6106065,161,0.486,0.505,0.009,78,81,1
2020-11-04T00:28:26Z,58,6728426,622361,0.496,0.495,0.009,369751,247008,5601
2020-11-04T00:28:47Z,58,6736124,7698,0.496,0.495,0.009,3818,3810,69
2020-11-04T00:29:02Z,58,6738338,2214,0.496,0.495,0.009,1098,1095,19
2020-11-04T00:29:42Z,58,6837681,99343,0.494,0.497,0.009,35598,62850,894
2020-11-04T00:29:49Z,59,6856633,18952,0.494,0.497,0.009,9362,9419,170
2020-11-04T00:30:05Z,59,6856672,39,0.494,0.497,0.009,19,19,0
2020-11-04T00:31:02Z,59,6870987,14315,0.493,0.498,0.009,200,13985,128
2020-11-04T00:31:07Z,59,6912356,41369,0.492,0.499,0.009,13482,27514,372
2020-11-04T00:31:47Z,59,6924156,11800,0.491,0.5,0.009,-1118,12812,106
2020-11-04T00:32:23Z,59,6941978,17822,0.491,0.5,0.009,8750,8911,160
2020-11-04T00:32:39Z,65,7626450,684472,0.504,0.487,0.009,435219,243092,6160
2020-11-04T00:32:54Z,65,7663353,36903,0.504,0.487,0.009,18599,17971,332
2020-11-04T00:33:51Z,66,7679949,16596,0.504,0.487,0.009,8364,8082,149
2020-11-04T00:34:30Z,66,7680204,255,0.504,0.487,0.009,128,124,2
2020-11-04T00:34:45Z,66,7729812,49608,0.503,0.488,0.009,17272,31888,446
2020-11-04T00:35:46Z,66,7738581,8769,0.502,0.489,0.009,-3327,12017,78
2020-11-04T00:36:00Z,66,7738941,360,0.502,0.489,0.009,180,176,3
2020-11-04T00:36:10Z,66,7747111,8170,0.502,0.489,0.009,4101,3995,73
2020-11-04T00:36:48Z,66,7760218,13107,0.502,0.489,0.009,6579,6409,117
2020-11-04T00:37:27Z,67,7819799,59581,0.5,0.491,0.009,14270,44774,536
2020-11-04T00:37:34Z,67,7824706,4907,0.5,0.491,0.009,2453,2409,44
2020-11-04T00:38:05Z,67,7825323,617,0.5,0.491,0.009,308,302,5
2020-11-04T00:38:40Z,67,7826306,983,0.5,0.491,0.009,491,482,8
2020-11-04T00:38:50Z,72,8426560,600254,0.508,0.483,0.009,367539,227312,5402
2020-11-04T00:39:06Z,72,8428979,2419,0.508,0.483,0.009,1228,1168,21
2020-11-04T00:39:56Z,72,8464097,35118,0.506,0.484,0.01,911,25426,8780
2020-11-04T00:40:48Z,73,8579601,115504,0.504,0.487,0.009,41285,81642,-7424
2020-11-04T00:40:59Z,73,8581989,2388,0.504,0.487,0.009,1203,1162,21
2020-11-04T00:41:23Z,73,8585058,3069,0.504,0.487,0.009,1546,1494,27
2020-11-04T00:42:51Z,74,8609030,23972,0.503,0.487,0.01,3472,11674,8824
2020-11-04T00:43:23Z,74,8625828,16798,0.503,0.487,0.01,8449,8180,167
2020-11-04T00:44:14Z,75,8769938,144110,0.503,0.487,0.01,72487,70181,1441
2020-11-04T00:44:47Z,75,8788093,18155,0.503,0.488,0.009,9131,17629,-8606
2020-11-04T00:44:53Z,75,8791380,3287,0.503,0.488,0.009,1653,1604,29
2020-11-04T00:45:09Z,79,9195216,403836,0.5,0.491,0.009,175543,224657,3634
2020-11-04T00:45:30Z,79,9201386,6170,0.5,0.491,0.009,3085,3029,55
2020-11-04T00:45:46Z,79,9243192,41806,0.499,0.491,0.01,11659,20526,9619
2020-11-04T00:46:16Z,79,9245017,1825,0.499,0.491,0.01,910,896,18
2020-11-04T00:46:51Z,79,9246265,1248,0.499,0.491,0.01,622,612,12
2020-11-04T00:47:04Z,79,9246169,-96,0.499,0.491,0.01,-47,-47,0
2020-11-04T00:47:56Z,79,9286278,40109,0.498,0.492,0.01,10728,28979,401
2020-11-04T00:48:17Z,79,9288153,1875,0.498,0.492,0.01,933,922,18
2020-11-04T00:48:34Z,80,9312766,24613,0.498,0.493,0.009,12257,21422,-9066
2020-11-04T00:48:49Z,80,9367032,54266,0.497,0.494,0.009,17657,36120,488
2020-11-04T00:49:07Z,80,9370786,3754,0.497,0.494,0.009,1865,1854,33
2020-11-04T00:50:07Z,80,9373418,2632,0.496,0.494,0.01,-8065,1300,9397
2020-11-04T00:50:31Z,80,9406927,33509,0.496,0.495,0.009,16620,25960,-9071
2020-11-04T00:50:48Z,80,9415068,8141,0.496,0.495,0.009,4037,4029,73
2020-11-04T00:51:33Z,80,9416971,1903,0.496,0.495,0.009,943,941,17
2020-11-04T00:52:14Z,80,9418162,1191,0.496,0.495,0.009,590,589,10
2020-11-04T00:52:49Z,81,9418884,722,0.495,0.495,0.01,-9060,357,9425
2020-11-04T00:53:23Z,81,9425212,6328,0.495,0.495,0.01,3132,3132,63
2020-11-04T00:54:47Z,81,9434598,9386,0.495,0.495,0.01,4646,4646,93
2020-11-04T00:55:55Z,81,9479181,44583,0.494,0.496,0.01,12589,31547,445
2020-11-04T00:56:47Z,81,9480672,1491,0.494,0.496,0.01,736,739,14
2020-11-04T00:57:07Z,81,9486073,5401,0.496,0.495,0.009,21640,-6807,-9432
2020-11-04T00:57:53Z,81,9488315,2242,0.496,0.495,0.009,1112,1109,20
2020-11-04T00:58:22Z,81,9502374,14059,0.495,0.495,0.01,-2529,6959,9628
2020-11-04T00:58:47Z,81,9509404,7030,0.495,0.495,0.01,3479,3479,70
2020-11-04T00:59:55Z,82,9549069,39665,0.495,0.496,0.009,19634,29183,-9152
2020-11-04T01:00:30Z,82,9551249,2180,0.495,0.496,0.009,1079,1081,19
2020-11-04T01:00:52Z,82,9552681,1432,0.495,0.496,0.009,708,710,12
2020-11-04T01:01:09Z,82,9554680,1999,0.494,0.496,0.01,-8565,991,9572
2020-11-04T01:02:02Z,82,9554684,4,0.494,0.496,0.01,1,1,0
2020-11-04T01:02:19Z,83,9701852,147168,0.497,0.493,0.01,101806,43889,1471
2020-11-04T01:02:48Z,83,9703091,1239,0.497,0.493,0.01,615,610,12
2020-11-04T01:03:04Z,83,9727600,24509,0.496,0.494,0.01,2453,21810,245
2020-11-04T01:03:23Z,85,9936134,208534,0.494,0.496,0.01,83560,122888,2085
2020-11-04T01:03:46Z,85,9937674,1540,0.494,0.496,0.01,760,763,15
2020-11-04T01:04:50Z,85,9943246,5572,0.494,0.496,0.01,2752,2763,55
2020-11-04T01:05:17Z,85,9948411,5165,0.494,0.496,0.01,2551,2561,51
2020-11-04T01:05:48Z,86,10044950,96539,0.492,0.498,0.01,27600,67973,965
2020-11-04T01:06:39Z,86,10073689,28739,0.492,0.498,0.01,14139,14312,287
2020-11-04T01:06:59Z,86,10074970,1281,0.492,0.498,0.01,630,637,12
2020-11-04T01:07:47Z,86,10083128,8158,0.491,0.498,0.011,-6069,4062,10164
2020-11-04T01:08:02Z,86,10084392,1264,0.491,0.498,0.011,620,629,13
2020-11-04T01:08:10Z,86,10084405,13,0.491,0.498,0.011,6,6,0
2020-11-04T01:08:34Z,86,10098346,13941,0.491,0.498,0.011,6845,6942,153
2020-11-04T01:08:49Z,86,10116126,17780,0.491,0.499,0.01,8729,18970,-9920
2020-11-04T01:09:24Z,87,10130392,14266,0.491,0.499,0.01,7004,7118,142
2020-11-04T01:09:43Z,87,10132631,2239,0.491,0.499,0.01,1099,1117,22
2020-11-04T01:09:49Z,87,10171197,38566,0.49,0.5,0.01,8764,29415,385
2020-11-04T01:10:15Z,87,10183243,12046,0.489,0.5,0.011,-4280,6023,10303
2020-11-04T01:10:50Z,87,10201275,18032,0.489,0.501,0.01,8817,19217,-10002
2020-11-04T01:11:47Z,87,10202901,1626,0.489,0.501,0.01,795,814,16
2020-11-04T01:12:08Z,87,10231179,28278,0.488,0.501,0.011,3596,14167,10513
2020-11-04T01:13:10Z,87,10231828,649,0.488,0.501,0.011,316,325,7
2020-11-04T01:13:46Z,88,10264644,32816,0.489,0.501,0.01,26278,16440,-9903
2020-11-04T01:13:52Z,89,10368280,103636,0.487,0.503,0.01,29941,72658,1036
2020-11-04T01:16:04Z,89,10386690,18410,0.487,0.503,0.01,8965,9260,184
2020-11-04T01:16:49Z,89,10386693,3,0.487,0.503,0.01,1,1,0
2020-11-04T01:17:02Z,89,10387395,702,0.487,0.503,0.01,341,353,7
2020-11-04T01:17:24Z,89,10391197,3802,0.487,0.503,0.01,1851,1912,38
2020-11-04T01:19:04Z,89,10392610,1413,0.487,0.503,0.01,688,710,14
2020-11-04T01:20:47Z,89,10394483,1873,0.487,0.503,0.01,912,942,18
2020-11-04T01:21:58Z,89,10424424,29941,0.487,0.503,0.01,14581,15060,299
2020-11-04T01:22:14Z,89,10425437,1013,0.487,0.503,0.01,493,509,10
