time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-04 04:23:03,0,0,0,0,0,0,0,0,0,0,0,0,
2020-11-03 19:14:11,0,408,0.326,0.674,0,133,274,0,408,133,274,0,
2020-11-03 19:15:51,0.02,127106,0.618,0.37,0.012,78551,47029,1525,126698,78418,46754,1525,
2020-11-03 19:19:55,0.03,173638,0.557,0.431,0.012,96716,74837,2083,46532,18164,27808,558,
2020-11-03 19:21:57,0.03,174006,0.557,0.432,0.01,96921,75170,1740,368,204,332,-343,Other -343
2020-11-03 19:22:23,0.03,174448,0.556,0.433,0.01,96993,75535,1744,442,71,365,4,
2020-11-03 19:22:53,0.03,175150,0.555,0.434,0.01,97208,76015,1751,702,215,479,7,
2020-11-03 19:23:58,0.03,175264,0.555,0.434,0.01,97271,76064,1752,114,63,49,1,
2020-11-03 19:24:14,0.03,175564,0.554,0.435,0.01,97262,76370,1755,300,-9,305,3,
2020-11-03 19:24:49,0.03,176131,0.554,0.435,0.01,97576,76616,1761,567,314,246,5,
2020-11-03 19:25:55,0.04,200351,0.547,0.442,0.01,109591,88555,2003,24220,12015,11938,242,
2020-11-03 19:28:08,0.04,213213,0.533,0.456,0.01,113642,97225,2132,12862,4050,8669,128,
2020-11-03 19:29:54,0.04,215268,0.531,0.458,0.01,114307,98592,2152,2055,664,1367,20,
2020-11-03 19:30:54,0.04,215927,0.531,0.458,0.01,114657,98894,2159,659,349,301,6,
2020-11-03 19:31:47,0.04,216354,0.531,0.458,0.01,114883,99090,2163,427,226,195,4,
2020-11-03 19:31:54,0.04,217327,0.532,0.458,0.01,115617,99535,2173,973,733,445,9,
2020-11-03 19:32:53,0.04,220869,0.526,0.464,0.01,116177,102483,2208,3542,559,2947,35,
2020-11-03 19:34:05,0.04,221921,0.526,0.464,0.01,116730,102971,2219,1052,553,488,10,
2020-11-03 19:36:20,0.04,225197,0.52,0.47,0.01,117102,105842,2251,3276,371,2871,32,
2020-11-03 19:36:53,0.05,242777,0.504,0.486,0.01,122359,117989,2427,17580,5257,12147,175,
2020-11-03 19:38:52,0.05,244354,0.502,0.488,0.01,122665,119244,2443,1577,306,1255,15,
2020-11-03 19:39:56,0.05,246674,0.499,0.491,0.01,123090,121116,2466,2320,424,1872,23,
2020-11-03 19:40:53,0.05,258621,0.488,0.503,0.009,126207,130086,2327,11947,3116,8969,-139,
2020-11-03 19:42:34,0.05,267419,0.479,0.511,0.01,128093,136651,2674,8798,1886,6564,346,
