time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:51:24Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:08:08Z,0,17859,17859,0.135,0.83,0.035,2410,14822,625
2020-11-04T01:33:59Z,4,224064,206205,0.572,0.41,0.018,125753,77043,3408
2020-11-04T01:34:10Z,4,265204,41140,0.547,0.433,0.02,16901,22967,1270
2020-11-04T01:36:52Z,5,319199,53995,0.557,0.424,0.018,32727,20507,441
2020-11-04T01:40:09Z,5,319301,102,0.557,0.424,0.018,56,43,1
2020-11-04T01:41:01Z,8,491966,172665,0.568,0.413,0.019,101586,67798,3599
2020-11-04T01:41:21Z,8,499552,7586,0.566,0.415,0.019,3309,4132,144
2020-11-04T01:44:59Z,8,524046,24494,0.553,0.427,0.02,7051,16453,989
2020-11-04T01:50:40Z,8,525266,1220,0.553,0.428,0.018,674,1046,-1026
2020-11-04T01:51:22Z,9,534799,9533,0.551,0.429,0.02,4202,4614,1241
2020-11-04T01:52:13Z,9,547442,12643,0.545,0.435,0.02,3681,8708,252
2020-11-04T01:52:47Z,9,547448,6,0.545,0.435,0.02,3,2,0
2020-11-04T01:57:22Z,9,547706,258,0.545,0.435,0.02,140,112,5
2020-11-04T01:59:15Z,10,603585,55879,0.551,0.429,0.02,34075,20685,1117
2020-11-04T01:59:23Z,10,632842,29257,0.554,0.426,0.02,18019,10652,585
2020-11-04T01:59:36Z,11,657795,24953,0.554,0.426,0.02,13823,10629,499
2020-11-04T02:00:19Z,11,694599,36804,0.569,0.411,0.02,30808,5259,736
2020-11-04T02:00:53Z,11,694831,232,0.569,0.411,0.02,132,95,4
2020-11-04T02:01:23Z,11,696130,1299,0.569,0.411,0.02,739,533,25
2020-11-04T02:03:30Z,11,697253,1123,0.568,0.412,0.02,-58,1158,22
2020-11-04T02:04:56Z,11,702946,5693,0.567,0.413,0.02,2530,3048,113
2020-11-04T02:06:20Z,11,703542,596,0.567,0.413,0.02,337,246,11
2020-11-04T02:07:40Z,11,704579,1037,0.567,0.413,0.02,587,428,20
2020-11-04T02:07:53Z,13,804676,100097,0.569,0.412,0.019,58364,40535,1197
2020-11-04T02:09:50Z,13,805480,804,0.568,0.412,0.02,-348,331,820
2020-11-04T02:10:58Z,13,814912,9432,0.566,0.415,0.019,3727,6330,-626
2020-11-04T02:11:39Z,13,820145,5233,0.564,0.416,0.02,1321,2991,919
2020-11-04T02:12:24Z,13,822301,2156,0.563,0.417,0.02,393,1719,43
2020-11-04T02:13:13Z,13,825078,2777,0.562,0.418,0.02,738,1983,55
2020-11-04T02:14:08Z,13,826290,1212,0.562,0.419,0.018,681,1332,-1628
2020-11-04T02:14:43Z,13,831805,5515,0.56,0.42,0.02,1435,3142,1762
2020-11-04T02:15:00Z,14,897811,66006,0.581,0.4,0.019,55817,9766,422
2020-11-04T02:16:15Z,14,900305,2494,0.58,0.401,0.019,548,1897,47
2020-11-04T02:17:31Z,15,906093,5788,0.578,0.403,0.019,1544,4133,109
