anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 18:12:16,0,7987,0.297,0.684,0.018,7987,2372,5463,143,
false,2020-11-03 18:17:15,1,20679,0.298,0.683,0.018,12692,3790,8660,228,
false,2020-11-03 18:21:27,1,28938,0.32,0.662,0.018,8259,3097,5033,148,
false,2020-11-03 18:21:46,1,33917,0.314,0.667,0.018,4979,1389,3465,89,
false,2020-11-03 18:27:45,1,42979,0.315,0.665,0.02,9062,2888,5958,249,
false,2020-11-03 18:30:26,2,59440,0.314,0.667,0.018,16461,5125,11065,210,
false,2020-11-03 18:34:02,2,69896,0.309,0.672,0.018,10456,2933,7323,188,
false,2020-11-03 18:37:55,3,81051,0.313,0.669,0.018,11155,3771,7253,200,
false,2020-11-03 18:39:06,3,84990,0.312,0.67,0.018,3939,1147,2720,70,
false,2020-11-03 18:41:40,3,88386,0.312,0.669,0.018,3396,1059,2186,61,
false,2020-11-03 18:42:29,4,119881,0.34,0.641,0.018,31495,13183,17713,566,
false,2020-11-03 18:44:32,5,148381,0.353,0.627,0.02,28500,11618,16191,809,
false,2020-11-03 18:44:56,5,148541,0.353,0.628,0.019,160,56,248,-145,
false,2020-11-03 18:46:48,5,149884,0.351,0.629,0.02,1343,174,993,175,
false,2020-11-03 18:50:23,5,151436,0.35,0.63,0.02,1552,393,1127,31,
false,2020-11-03 18:50:53,5,160596,0.345,0.635,0.02,9160,2403,6573,183,
false,2020-11-03 18:51:23,6,172429,0.341,0.639,0.02,11833,3392,8203,236,
false,2020-11-03 18:51:44,6,172801,0.341,0.639,0.02,372,126,237,7,
false,2020-11-03 18:53:12,6,173673,0.34,0.64,0.02,872,123,730,17,
false,2020-11-03 18:54:39,6,174011,0.34,0.64,0.02,338,114,216,6,
false,2020-11-03 18:55:17,6,174368,0.34,0.64,0.02,357,121,228,7,
false,2020-11-03 18:55:35,6,187306,0.337,0.641,0.022,12938,3837,8467,633,
false,2020-11-03 18:55:47,7,202078,0.332,0.646,0.022,14772,3967,10479,324,
false,2020-11-03 18:59:52,7,229365,0.34,0.638,0.022,27287,10894,15792,600,
false,2020-11-03 19:00:58,7,230035,0.341,0.637,0.022,670,457,197,14,
false,2020-11-03 19:01:56,8,235494,0.339,0.639,0.022,5459,1390,3948,120,
false,2020-11-03 19:03:37,8,238029,0.337,0.641,0.022,2535,383,2095,55,
false,2020-11-03 19:05:26,8,239508,0.336,0.642,0.022,1479,258,1187,32,
false,2020-11-03 19:07:41,8,241340,0.335,0.642,0.022,1832,374,1176,40,
false,2020-11-03 19:08:06,8,242475,0.335,0.643,0.022,1135,380,971,24,
false,2020-11-03 19:08:45,8,243447,0.334,0.644,0.022,972,82,868,21,
false,2020-11-03 19:11:04,8,248602,0.331,0.647,0.022,5155,975,4065,113,
false,2020-11-03 19:11:35,8,256538,0.328,0.649,0.022,7936,1857,5647,174,
false,2020-11-03 19:13:09,9,261642,0.329,0.649,0.022,5104,1935,3312,112,
false,2020-11-03 19:13:37,9,290254,0.32,0.658,0.022,28612,6801,21181,629,
false,2020-11-03 19:13:44,10,298265,0.32,0.658,0.022,8011,2563,5271,176,
false,2020-11-03 19:14:25,10,300590,0.319,0.659,0.022,2325,443,1830,51,
false,2020-11-03 19:14:48,10,307713,0.317,0.662,0.02,7123,1656,5617,-458,
false,2020-11-03 19:15:46,10,311567,0.315,0.663,0.022,3854,598,2862,700,
false,2020-11-03 19:18:34,10,315235,0.313,0.665,0.022,3668,524,3062,80,
false,2020-11-03 19:19:00,10,317514,0.312,0.666,0.022,2279,395,1833,50,
false,2020-11-03 19:19:36,10,319063,0.311,0.667,0.022,1549,164,1350,34,
false,2020-11-03 19:20:51,10,319821,0.311,0.667,0.022,758,235,505,16,
false,2020-11-03 19:21:36,10,320297,0.311,0.667,0.022,476,148,317,10,
false,2020-11-03 19:24:55,10,321671,0.31,0.668,0.022,1374,105,1238,30,
false,2020-11-03 19:29:25,11,327050,0.309,0.669,0.022,5379,1340,3920,118,
false,2020-11-03 19:29:44,11,327927,0.309,0.669,0.022,877,270,586,19,
false,2020-11-03 19:29:54,11,345919,0.308,0.67,0.022,17992,5213,12382,395,
false,2020-11-03 19:30:12,11,346118,0.308,0.67,0.022,199,61,133,4,
false,2020-11-03 19:30:26,11,346185,0.308,0.67,0.022,67,20,44,1,
false,2020-11-03 19:30:57,12,359575,0.305,0.673,0.022,13390,3045,10050,294,
false,2020-11-03 19:33:06,12,360331,0.304,0.673,0.022,756,-129,508,16,
false,2020-11-03 19:34:35,12,362228,0.304,0.674,0.022,1897,576,1638,41,
false,2020-11-03 19:36:07,12,363089,0.303,0.675,0.022,861,-101,943,18,
false,2020-11-03 19:40:44,12,369414,0.302,0.676,0.022,6325,1547,4638,139,
false,2020-11-03 19:41:23,13,388308,0.312,0.666,0.022,18894,9589,8889,415,
false,2020-11-03 19:42:24,13,410747,0.317,0.662,0.02,22439,9054,13301,-327,
false,2020-11-03 19:43:06,13,413225,0.317,0.662,0.02,2478,785,1640,49,
false,2020-11-03 19:44:00,14,416244,0.316,0.663,0.02,3019,540,2414,60,
false,2020-11-03 19:44:05,14,417728,0.315,0.663,0.022,1484,51,983,865,
false,2020-11-03 19:44:42,14,418156,0.315,0.663,0.022,428,134,283,9,
false,2020-11-03 19:45:47,15,457076,0.325,0.653,0.022,38920,16830,21233,856,
false,2020-11-03 19:47:22,15,464153,0.323,0.656,0.02,7077,1371,6013,-772,
false,2020-11-03 19:47:40,15,466553,0.322,0.656,0.022,2400,308,1574,981,
false,2020-11-03 19:48:06,15,467687,0.321,0.657,0.022,1134,-102,1211,24,
false,2020-11-03 19:48:27,15,474731,0.319,0.659,0.022,7044,1311,5577,154,
false,2020-11-03 19:48:36,16,484173,0.319,0.659,0.022,9442,3011,6222,207,
false,2020-11-03 19:50:59,16,487222,0.319,0.66,0.02,3049,972,2496,-907,
false,2020-11-03 19:51:36,16,492321,0.317,0.661,0.022,5099,641,3857,1086,
false,2020-11-03 19:51:42,16,497967,0.315,0.663,0.022,5646,793,4727,124,
false,2020-11-03 19:53:00,17,507328,0.313,0.665,0.022,9361,1934,7220,205,
false,2020-11-03 19:53:13,17,512682,0.312,0.666,0.022,5354,1163,4073,117,
