anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,total_biden,total_trump,total_other,batch_votes,batch_biden,batch_trump,batch_other,note
false,2020-11-03 22:13:02,0,375,0.333,0.651,0.016,124,244,6,375,124,244,6,
false,2020-11-03 22:13:16,11,206786,0.66,0.325,0.014,136478,67205,2895,206411,136353,66961,2889,
false,2020-11-03 22:13:54,12,219444,0.647,0.338,0.014,141980,74172,3072,12658,5501,6966,177,
false,2020-11-03 22:14:10,12,222000,0.644,0.341,0.014,142968,75702,3108,2556,987,1529,35,
false,2020-11-03 22:17:36,14,262953,0.629,0.357,0.014,165397,93874,3681,40953,22429,18172,573,
false,2020-11-03 22:18:29,15,278859,0.624,0.361,0.015,174008,100668,4182,15906,8610,6793,501,
false,2020-11-03 22:21:30,15,280093,0.623,0.362,0.015,174497,101393,4201,1234,489,725,18,
false,2020-11-03 22:22:16,16,295154,0.616,0.369,0.015,181814,108911,4427,15061,7316,7518,225,
false,2020-11-03 22:22:32,16,295254,0.615,0.369,0.016,181581,108948,4724,100,-233,36,296,
false,2020-11-03 22:26:20,16,295770,0.615,0.37,0.015,181898,109434,4436,516,317,486,-287,
false,2020-11-03 22:26:41,18,336487,0.619,0.366,0.015,208285,123154,5047,40717,26386,13719,610,
false,2020-11-03 22:26:50,19,345932,0.616,0.368,0.016,213094,127302,5534,9445,4808,4148,487,
false,2020-11-03 22:27:41,19,347299,0.615,0.369,0.016,213588,128153,5556,1367,494,850,21,
false,2020-11-03 22:28:40,19,353528,0.614,0.37,0.016,217066,130805,5656,6229,3477,2652,99,
false,2020-11-03 22:30:28,20,356018,0.613,0.372,0.015,218239,132438,5340,2490,1172,1633,-316,
false,2020-11-03 22:31:28,20,361769,0.61,0.375,0.015,220679,135663,5426,5751,2440,3224,86,
false,2020-11-03 22:33:57,20,361804,0.609,0.375,0.016,220338,135676,5788,35,-340,13,362,
false,2020-11-03 22:34:12,20,363678,0.608,0.377,0.015,221116,137106,5455,1874,777,1430,-333,
false,2020-11-03 22:35:21,20,367914,0.606,0.379,0.015,222955,139439,5518,4236,1839,2332,63,
false,2020-11-03 22:35:45,20,368799,0.604,0.38,0.016,222754,140143,5900,885,-201,704,382,
