time,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other
2020-11-04T10:01:44Z,0,0,0,0,1,0,0,0,0
2020-11-04T01:09:19Z,0,4987,0.417,0.563,0.02,4987,2079,2807,99
2020-11-04T01:10:11Z,20,267929,0.573,0.41,0.017,262942,151443,107043,4455
2020-11-04T01:18:51Z,20,268631,0.572,0.411,0.017,702,133,556,11
2020-11-04T01:20:59Z,20,269938,0.57,0.413,0.017,1307,207,1077,22
2020-11-04T01:26:50Z,30,400831,0.542,0.446,0.012,130893,63385,67286,221
2020-11-04T01:27:55Z,31,415828,0.544,0.443,0.012,14997,8960,5441,179
2020-11-04T01:28:27Z,31,417051,0.544,0.443,0.012,1223,665,541,14
2020-11-04T01:33:02Z,31,417144,0.544,0.443,0.012,93,50,41,1
2020-11-04T01:35:06Z,31,418609,0.542,0.442,0.016,1465,-40,230,1692
2020-11-04T01:35:35Z,33,433712,0.538,0.445,0.016,15103,6450,7976,241
2020-11-04T01:42:31Z,33,433717,0.538,0.445,0.016,5,2,2,0
2020-11-04T01:43:11Z,33,433772,0.538,0.445,0.016,55,29,24,0
2020-11-04T01:44:36Z,34,452663,0.54,0.443,0.016,18891,11068,7501,302
2020-11-04T01:46:22Z,34,458060,0.539,0.444,0.016,5397,2456,2848,86
2020-11-04T01:47:06Z,35,465388,0.539,0.444,0.016,7328,3949,3253,117
2020-11-04T01:48:03Z,35,471182,0.537,0.445,0.018,5794,2180,3043,1035
2020-11-04T01:50:27Z,36,472997,0.536,0.446,0.018,1815,501,1280,32
2020-11-04T01:50:49Z,36,472997,0.527,0.455,0.018,0,-4256,4256,0
2020-11-04T01:51:08Z,36,477264,0.527,0.456,0.016,4267,2248,2418,-877
2020-11-04T01:52:21Z,36,478114,0.526,0.457,0.016,850,-30,865,13
2020-11-04T01:56:26Z,36,479245,0.525,0.458,0.016,1131,115,996,18
2020-11-04T01:57:36Z,36,482382,0.522,0.456,0.022,3137,199,471,2944
2020-11-04T02:02:11Z,36,482738,0.522,0.456,0.022,356,185,162,7
2020-11-04T02:02:39Z,37,485512,0.521,0.457,0.022,2774,962,1750,61
2020-11-04T02:04:06Z,37,486052,0.521,0.457,0.022,540,281,246,11
2020-11-04T02:05:18Z,37,487500,0.52,0.458,0.022,1448,266,1149,31
2020-11-04T02:06:45Z,37,494002,0.518,0.46,0.022,6502,2393,3965,143
2020-11-04T02:07:20Z,38,502510,0.516,0.463,0.02,8508,3402,5421,-817
2020-11-04T02:08:19Z,38,503948,0.515,0.464,0.02,1438,238,1169,28
2020-11-04T02:08:24Z,38,505883,0.514,0.465,0.02,1935,490,1403,38
2020-11-04T02:09:10Z,38,509438,0.511,0.467,0.022,3555,298,2671,1089
2020-11-04T02:10:12Z,38,511867,0.509,0.469,0.022,2429,217,2158,53
2020-11-04T02:10:50Z,39,521810,0.51,0.469,0.021,9943,5582,4663,-303
2020-11-04T02:12:43Z,39,523345,0.508,0.47,0.022,1535,-263,1243,555
2020-11-04T02:12:46Z,39,523367,0.508,0.47,0.022,22,11,10,0
2020-11-04T02:12:59Z,39,523740,0.508,0.47,0.022,373,189,175,8
2020-11-04T02:15:24Z,40,527870,0.506,0.473,0.021,4130,1042,3524,-437
2020-11-04T02:19:42Z,40,529456,0.504,0.474,0.022,1586,-256,1279,562
2020-11-04T02:19:55Z,40,537109,0.5,0.478,0.022,7653,1708,5775,168
2020-11-04T02:20:53Z,40,538309,0.5,0.478,0.022,1200,600,573,26
2020-11-04T02:23:10Z,41,543096,0.497,0.481,0.022,4787,764,3917,105
2020-11-04T02:24:16Z,41,543745,0.496,0.481,0.023,649,-221,312,558
2020-11-04T02:25:05Z,41,547047,0.494,0.484,0.022,3302,543,3229,-471
2020-11-04T02:25:19Z,41,551181,0.493,0.485,0.022,4134,1491,2552,90
2020-11-04T02:26:39Z,42,561591,0.506,0.477,0.017,10410,12432,556,-2578
2020-11-04T02:27:14Z,45,603482,0.515,0.467,0.018,41891,26628,13947,1315
2020-11-04T02:28:05Z,45,604826,0.514,0.468,0.018,1344,87,1232,24
2020-11-04T02:28:23Z,48,635463,0.509,0.473,0.018,30637,12570,17515,551
2020-11-04T02:28:32Z,48,635662,0.509,0.473,0.018,199,101,94,3
2020-11-04T02:29:39Z,48,638547,0.507,0.474,0.019,2885,191,2003,690
2020-11-04T02:30:27Z,48,638693,0.507,0.474,0.019,146,74,69,2
2020-11-04T02:31:41Z,49,654625,0.505,0.477,0.018,15932,6768,9515,-351
2020-11-04T02:31:53Z,49,656641,0.504,0.477,0.019,2016,361,961,692
2020-11-04T02:33:49Z,50,661818,0.502,0.48,0.018,5177,1285,4454,-563
2020-11-04T02:34:04Z,55,733943,0.486,0.492,0.022,72125,24463,43427,4234
2020-11-04T02:37:05Z,55,736786,0.474,0.501,0.025,2843,-7459,8029,2272
2020-11-04T02:38:54Z,56,747163,0.472,0.503,0.025,10377,3424,6693,259
2020-11-04T02:41:31Z,56,747824,0.472,0.503,0.025,661,311,332,16
2020-11-04T02:42:14Z,56,749792,0.471,0.504,0.025,1968,179,1739,49
2020-11-04T02:42:30Z,56,751190,0.471,0.504,0.025,1398,658,704,34
2020-11-04T02:44:19Z,57,754577,0.469,0.506,0.025,3387,86,3216,84
2020-11-04T02:44:38Z,57,758074,0.468,0.507,0.024,3497,882,2527,-670
2020-11-04T02:47:13Z,57,762691,0.466,0.509,0.024,4617,635,3866,110
2020-11-04T02:49:10Z,58,765392,0.465,0.509,0.026,2701,493,1374,1595
