anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 18:18:18,0,6100,0.133,0.858,0.009,6100,811,5233,54,
false,2020-11-03 18:19:41,0,7715,0.173,0.817,0.01,1615,523,1069,22,
false,2020-11-03 18:20:56,1,23326,0.295,0.693,0.012,15611,5546,9861,202,
false,2020-11-03 18:23:02,1,26769,0.28,0.707,0.013,3443,614,2760,68,
false,2020-11-03 18:24:53,2,52058,0.312,0.673,0.014,25289,8746,16109,380,
false,2020-11-03 18:26:39,2,55858,0.311,0.675,0.014,3800,1129,2669,53,
false,2020-11-03 18:28:53,3,64360,0.3,0.685,0.014,8502,1936,6382,119,
false,2020-11-03 18:29:22,3,67393,0.292,0.694,0.014,3033,370,2684,42,
false,2020-11-03 18:34:59,6,150747,0.537,0.447,0.016,83354,61272,20613,1468,
false,2020-11-03 18:35:48,8,175109,0.553,0.431,0.016,24362,15884,8088,389,
false,2020-11-03 18:37:05,8,179984,0.546,0.438,0.016,4875,1435,3361,78,
false,2020-11-03 18:38:57,8,189736,0.531,0.453,0.016,9752,2478,7117,156,
false,2020-11-03 18:39:26,8,190548,0.529,0.454,0.016,812,50,558,12,
false,2020-11-03 18:42:32,8,193619,0.532,0.452,0.016,3071,2205,1006,49,
false,2020-11-03 18:42:53,8,194070,0.531,0.453,0.016,451,45,397,7,
false,2020-11-03 18:43:15,8,195037,0.53,0.454,0.016,967,318,633,15,
false,2020-11-03 18:43:45,10,234561,0.503,0.481,0.016,39524,14614,24277,632,
false,2020-11-03 18:44:52,10,237316,0.504,0.48,0.016,2755,1623,1087,44,
false,2020-11-03 18:46:53,10,241785,0.499,0.485,0.016,4469,1043,3354,71,
false,2020-11-03 18:48:32,11,252370,0.495,0.489,0.016,10585,4272,6143,169,
false,2020-11-03 18:48:40,11,252898,0.494,0.49,0.016,528,8,511,8,
false,2020-11-03 18:51:15,11,255532,0.496,0.489,0.015,2634,1812,1035,-213,
false,2020-11-03 18:52:46,11,259123,0.49,0.494,0.016,3591,226,3051,312,
false,2020-11-03 18:54:01,11,261082,0.489,0.495,0.016,1959,698,1228,31,
false,2020-11-03 18:55:20,11,264890,0.485,0.5,0.015,3808,802,3209,-203,
false,2020-11-03 18:55:45,12,277213,0.475,0.509,0.016,12323,3204,8656,462,
false,2020-11-03 19:02:14,13,296793,0.481,0.504,0.015,19580,11081,8482,16,
false,2020-11-03 19:03:29,13,300246,0.477,0.508,0.015,3453,459,2941,51,
false,2020-11-03 19:04:11,13,309697,0.47,0.515,0.015,9451,2340,6968,141,
false,2020-11-03 19:04:27,13,310420,0.469,0.515,0.016,723,29,372,321,
false,2020-11-03 19:05:44,14,316605,0.465,0.52,0.014,6185,1634,4768,-534,
false,2020-11-03 19:09:07,14,317960,0.464,0.521,0.014,1355,312,1022,18,
false,2020-11-03 19:10:06,14,320500,0.462,0.523,0.014,2540,537,1964,35,
false,2020-11-03 19:10:20,14,322455,0.46,0.525,0.014,1955,258,1667,27,
false,2020-11-03 19:10:47,14,335424,0.458,0.526,0.016,12969,5294,7144,852,
false,2020-11-03 19:11:22,14,336176,0.458,0.527,0.014,752,344,731,-660,
false,2020-11-03 19:12:32,15,346218,0.449,0.535,0.016,10042,1483,8061,833,
false,2020-11-03 19:14:12,15,347470,0.448,0.537,0.014,1252,214,1364,-674,
false,2020-11-03 19:15:30,15,347841,0.448,0.537,0.014,371,166,199,5,
false,2020-11-03 19:16:13,15,349880,0.447,0.538,0.014,2039,563,1444,28,
false,2020-11-03 19:18:36,15,357089,0.443,0.541,0.016,7209,1794,4949,815,
false,2020-11-03 19:18:52,15,358799,0.442,0.543,0.014,1710,398,1642,-690,
false,2020-11-03 19:19:06,16,361550,0.44,0.545,0.014,2751,492,2216,38,
false,2020-11-03 19:20:24,16,362340,0.44,0.545,0.014,790,347,430,11,
false,2020-11-03 19:20:55,17,388769,0.426,0.559,0.014,26429,6185,19846,370,
false,2020-11-03 19:21:30,17,391642,0.424,0.561,0.014,2873,440,2389,40,
false,2020-11-03 19:22:16,17,396341,0.421,0.564,0.015,4699,803,3825,462,
false,2020-11-03 19:25:19,17,401672,0.416,0.569,0.015,5331,235,5015,79,
false,2020-11-03 19:25:49,17,402209,0.416,0.569,0.015,537,223,305,8,
false,2020-11-03 19:26:11,17,402216,0.416,0.569,0.015,7,2,3,0,
false,2020-11-03 19:27:41,17,403196,0.415,0.57,0.015,980,4,960,14,
false,2020-11-03 19:28:30,18,420361,0.409,0.576,0.015,17165,4601,12306,257,
false,2020-11-03 19:29:22,18,422491,0.408,0.578,0.014,2130,448,2071,-390,
false,2020-11-03 19:29:52,18,430443,0.405,0.58,0.015,7952,1953,5457,541,
false,2020-11-03 19:30:38,19,451790,0.403,0.582,0.015,21347,7741,13284,320,
false,2020-11-03 19:30:53,19,452528,0.403,0.583,0.014,738,297,882,-441,
false,2020-11-03 19:31:24,20,459592,0.4,0.585,0.015,7064,1468,5037,558,
