time,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other
2020-11-04T10:02:24Z,0,0,0,0,1,0,0,0,0
2020-11-04T01:34:20Z,0,274,0.27,0.708,0.022,274,73,193,6
2020-11-04T01:36:23Z,1,4937,0.572,0.391,0.037,4663,2749,1736,176
2020-11-04T01:39:28Z,1,7163,0.533,0.432,0.034,2226,993,1164,60
2020-11-04T01:42:18Z,1,9205,0.503,0.462,0.034,2042,812,1158,69
2020-11-04T01:43:03Z,1,10077,0.487,0.48,0.033,872,277,584,19
2020-11-04T01:48:02Z,1,10817,0.464,0.504,0.032,740,111,614,13
2020-11-04T01:50:52Z,1,11811,0.456,0.512,0.032,994,366,595,31
2020-11-04T01:50:54Z,1,12793,0.465,0.503,0.032,982,562,387,31
2020-11-04T01:53:21Z,1,12855,0.467,0.501,0.032,62,54,5,1
2020-11-04T01:53:38Z,2,13339,0.461,0.507,0.032,484,145,322,15
2020-11-04T01:53:43Z,2,14996,0.457,0.508,0.034,1657,703,855,83
2020-11-04T01:55:41Z,2,15441,0.464,0.501,0.034,445,311,117,15
2020-11-04T02:03:17Z,2,16211,0.457,0.509,0.034,770,243,515,26
2020-11-04T02:03:41Z,2,18537,0.455,0.512,0.032,2326,1025,1239,42
2020-11-04T02:08:07Z,2,19930,0.45,0.517,0.032,1393,534,812,44
2020-11-04T02:10:32Z,3,24684,0.428,0.537,0.034,4754,1596,2951,201
2020-11-04T02:10:58Z,3,25346,0.426,0.539,0.034,662,232,406,22
2020-11-04T02:11:25Z,3,27644,0.422,0.543,0.034,2298,868,1349,78
2020-11-04T02:12:24Z,3,28682,0.422,0.543,0.034,1038,438,563,35
2020-11-04T02:12:59Z,4,30930,0.421,0.544,0.034,2248,917,1251,76
2020-11-04T02:14:38Z,4,32149,0.425,0.54,0.034,1219,641,534,41
2020-11-04T02:17:17Z,4,33802,0.422,0.543,0.034,1653,601,994,56
2020-11-04T02:19:09Z,4,35276,0.418,0.546,0.036,1474,480,906,120
2020-11-04T02:20:35Z,4,35919,0.417,0.547,0.036,643,232,386,23
2020-11-04T02:22:11Z,4,38244,0.413,0.552,0.034,2325,816,1462,7
2020-11-04T02:23:41Z,5,39895,0.409,0.555,0.036,1651,522,1031,135
2020-11-04T02:28:32Z,5,41684,0.408,0.556,0.036,1789,690,1034,64
2020-11-04T02:29:31Z,5,42742,0.415,0.55,0.034,1058,730,331,-47
2020-11-04T02:30:12Z,5,43495,0.411,0.554,0.034,753,138,588,25
2020-11-04T02:31:17Z,5,44154,0.409,0.555,0.036,659,182,409,110
2020-11-04T02:33:22Z,6,48097,0.423,0.542,0.034,3943,2286,1563,45
2020-11-04T02:35:02Z,6,48254,0.422,0.543,0.034,157,18,133,5
2020-11-04T02:35:34Z,6,49206,0.42,0.545,0.034,952,303,615,32
2020-11-04T02:44:51Z,6,52814,0.421,0.544,0.034,3608,1568,1913,122
2020-11-04T02:47:11Z,7,61904,0.459,0.508,0.032,9090,6179,2716,185
2020-11-04T02:47:45Z,7,63206,0.456,0.51,0.034,1302,408,787,168
2020-11-04T02:48:06Z,8,68326,0.462,0.503,0.034,5120,2744,2132,174
2020-11-04T02:48:42Z,8,69106,0.461,0.504,0.034,780,291,461,26
2020-11-04T02:49:05Z,9,75108,0.479,0.488,0.033,6002,4118,1823,128
2020-11-04T02:51:20Z,9,75710,0.478,0.488,0.034,602,212,293,95
2020-11-04T02:53:05Z,9,77772,0.479,0.487,0.034,2062,1063,928,70
2020-11-04T02:54:15Z,9,79661,0.476,0.49,0.034,1889,665,1158,64
2020-11-04T02:55:25Z,10,84905,0.491,0.473,0.036,5244,3769,1126,348
2020-11-04T02:57:15Z,10,86128,0.488,0.476,0.036,1223,342,836,44
2020-11-04T02:58:42Z,10,86133,0.488,0.476,0.036,5,2,2,0
2020-11-04T03:03:53Z,11,92573,0.484,0.48,0.036,6440,2772,3435,231
2020-11-04T03:04:35Z,11,94285,0.483,0.482,0.035,1712,734,1010,-32
2020-11-04T03:04:55Z,11,96845,0.482,0.483,0.035,2560,1139,1330,89
2020-11-04T03:07:32Z,12,98957,0.483,0.482,0.035,2112,1116,921,73
2020-11-04T03:09:04Z,12,99520,0.484,0.481,0.035,563,371,171,19
2020-11-04T03:10:22Z,12,100254,0.483,0.482,0.035,734,255,453,25
2020-11-04T03:12:15Z,12,101542,0.484,0.481,0.035,1288,723,519,45
2020-11-04T03:12:58Z,12,103391,0.483,0.482,0.035,1849,791,992,64
2020-11-04T03:13:36Z,12,103984,0.483,0.483,0.034,593,286,389,-83
2020-11-04T03:19:52Z,12,106290,0.482,0.483,0.035,2306,1007,1113,184
2020-11-04T03:20:19Z,13,109030,0.48,0.486,0.034,2740,1102,1650,-13
2020-11-04T03:21:42Z,13,110795,0.479,0.487,0.034,1765,736,968,60
2020-11-04T03:22:33Z,13,111328,0.479,0.487,0.034,533,255,259,18
2020-11-04T03:22:51Z,13,112070,0.478,0.488,0.034,742,243,473,25
2020-11-04T03:23:34Z,13,112623,0.477,0.489,0.034,553,151,382,18
2020-11-04T03:25:50Z,14,116141,0.474,0.492,0.034,3518,1329,2068,119
2020-11-04T03:26:08Z,14,118405,0.472,0.495,0.033,2264,836,1469,-41
2020-11-04T03:26:16Z,14,120720,0.476,0.491,0.033,2315,1575,663,76
2020-11-04T03:27:14Z,14,123029,0.479,0.488,0.033,2309,1468,764,76
2020-11-04T03:27:23Z,14,124138,0.479,0.488,0.033,1109,531,541,36
2020-11-04T03:27:37Z,15,128902,0.477,0.489,0.034,4764,2024,2453,286
2020-11-04T03:27:57Z,15,133086,0.476,0.491,0.033,4184,1862,2312,9
2020-11-04T03:28:11Z,16,133829,0.475,0.492,0.033,743,219,498,24
2020-11-04T03:28:30Z,16,133832,0.475,0.492,0.033,3,1,1,0
2020-11-04T03:28:54Z,16,136794,0.473,0.494,0.033,2962,1133,1730,97
2020-11-04T03:30:15Z,17,144838,0.473,0.493,0.034,8044,3804,3828,410
2020-11-04T03:33:41Z,17,145721,0.474,0.493,0.033,883,563,435,-115
2020-11-04T03:39:08Z,17,146367,0.474,0.492,0.034,646,306,172,167
2020-11-04T03:39:18Z,17,146408,0.474,0.492,0.034,41,19,20,1
2020-11-04T03:43:47Z,17,147803,0.476,0.492,0.032,1395,956,686,-248
2020-11-04T03:44:02Z,17,150183,0.475,0.492,0.033,2380,982,1170,226
2020-11-04T03:47:11Z,18,155573,0.475,0.492,0.033,5390,2560,2651,177
2020-11-04T03:47:56Z,18,157133,0.475,0.492,0.033,1560,741,767,51
2020-11-04T03:48:36Z,18,158026,0.475,0.492,0.033,893,424,439,29
2020-11-04T03:50:03Z,19,165927,0.482,0.484,0.034,7901,4914,2559,426
2020-11-04T03:54:10Z,20,169038,0.482,0.485,0.033,3111,1499,1674,-63
2020-11-04T03:55:42Z,20,175240,0.481,0.485,0.034,6202,2814,3007,379
2020-11-04T03:55:59Z,21,178637,0.48,0.486,0.034,3397,1455,1826,115
2020-11-04T03:56:12Z,21,179792,0.479,0.487,0.034,1155,374,741,39
2020-11-04T03:56:27Z,21,182470,0.481,0.485,0.034,2678,1647,939,91
2020-11-04T03:56:37Z,21,184647,0.481,0.485,0.034,2177,1047,1055,74
2020-11-04T03:57:17Z,21,184818,0.481,0.485,0.034,171,82,82,5
2020-11-04T03:57:26Z,22,185525,0.48,0.486,0.034,707,154,528,24
2020-11-04T03:58:34Z,22,190592,0.48,0.487,0.033,5067,2432,2653,-18
2020-11-04T03:58:57Z,23,193699,0.478,0.488,0.034,3107,1103,1706,296
2020-11-04T03:59:05Z,23,194200,0.479,0.488,0.033,501,433,244,-177
2020-11-04T03:59:15Z,23,196995,0.479,0.488,0.033,2795,1338,1363,92
2020-11-04T03:59:45Z,23,200461,0.477,0.49,0.033,3466,1259,2092,114
2020-11-04T04:01:58Z,23,200911,0.476,0.49,0.034,450,13,220,215
2020-11-04T04:02:34Z,24,203473,0.476,0.491,0.033,2562,1219,1458,-116
2020-11-04T04:02:58Z,24,210482,0.485,0.482,0.033,7009,5230,1547,231
2020-11-04T04:03:09Z,25,211333,0.486,0.481,0.033,851,624,198,28
2020-11-04T04:04:14Z,25,213184,0.485,0.481,0.034,1851,686,890,274
2020-11-04T04:04:31Z,25,213308,0.485,0.481,0.034,124,60,59,4
2020-11-04T04:06:22Z,25,216884,0.49,0.477,0.033,3576,2818,852,-95
2020-11-04T04:10:00Z,26,227143,0.5,0.467,0.032,10259,7298,2622,111
2020-11-04T04:14:13Z,26,227577,0.499,0.468,0.032,434,-10,430,13
2020-11-04T04:16:42Z,29,247358,0.506,0.461,0.032,19781,11602,7526,632
2020-11-04T04:17:15Z,29,248456,0.505,0.462,0.032,1098,307,754,35
2020-11-04T04:17:32Z,30,260324,0.509,0.458,0.032,11868,7034,4441,379
2020-11-04T04:18:01Z,30,261287,0.509,0.459,0.032,963,490,702,30
2020-11-04T04:18:27Z,31,263742,0.507,0.461,0.032,2455,722,1654,78
2020-11-04T04:18:33Z,31,265520,0.506,0.462,0.032,1778,635,1085,56
2020-11-04T04:18:41Z,31,265522,0.506,0.462,0.032,2,1,0,0
2020-11-04T04:18:53Z,31,265682,0.506,0.462,0.032,160,80,73,5
2020-11-04T04:20:02Z,31,270418,0.509,0.459,0.032,4736,3207,1376,151
2020-11-04T04:21:06Z,32,272215,0.51,0.457,0.032,1797,1186,280,57
2020-11-04T04:22:53Z,33,281848,0.514,0.454,0.032,9633,6040,3556,308
2020-11-04T04:23:18Z,33,282450,0.514,0.454,0.032,602,309,273,19
2020-11-04T04:24:37Z,35,298982,0.517,0.451,0.032,16532,9394,6608,529
2020-11-04T04:25:33Z,35,300047,0.517,0.451,0.032,1065,550,480,34
2020-11-04T04:26:21Z,35,300671,0.517,0.451,0.032,624,322,281,19
2020-11-04T04:27:10Z,35,301351,0.517,0.451,0.032,680,351,306,21
2020-11-04T04:27:56Z,35,302338,0.517,0.451,0.032,987,510,445,31
2020-11-04T04:29:03Z,35,304462,0.517,0.451,0.032,2124,1098,957,67
2020-11-04T04:31:52Z,35,304753,0.517,0.451,0.032,291,150,131,9
2020-11-04T04:33:04Z,36,305796,0.518,0.45,0.032,1043,845,164,33
2020-11-04T04:33:42Z,36,307261,0.516,0.451,0.032,1465,144,966,46
2020-11-04T04:34:01Z,36,307948,0.516,0.452,0.032,687,354,617,21
2020-11-04T04:34:22Z,36,311477,0.514,0.454,0.032,3529,1198,2218,112
2020-11-04T04:36:04Z,37,314340,0.514,0.454,0.032,2863,1471,1299,91
2020-11-04T04:38:07Z,37,315702,0.513,0.455,0.032,1362,384,934,43
2020-11-04T04:38:56Z,37,316767,0.513,0.455,0.032,1065,546,484,34
2020-11-04T04:40:45Z,37,317904,0.513,0.455,0.032,1137,583,517,36
2020-11-04T04:43:59Z,37,320284,0.513,0.455,0.032,2380,1220,1082,76
2020-11-04T04:46:33Z,37,321800,0.512,0.456,0.032,1516,455,1011,48
2020-11-04T04:46:58Z,38,323998,0.512,0.456,0.032,2198,1125,1002,70
2020-11-04T04:47:38Z,38,328114,0.513,0.455,0.032,4116,2435,1548,131
2020-11-04T04:48:28Z,38,329852,0.513,0.455,0.032,1738,891,790,55
2020-11-04T04:48:52Z,38,330812,0.513,0.455,0.032,960,492,436,30
2020-11-04T04:49:23Z,39,332204,0.513,0.455,0.032,1392,714,633,44
2020-11-04T04:50:12Z,39,332578,0.513,0.455,0.032,374,191,170,11
2020-11-04T04:51:31Z,39,333535,0.513,0.456,0.03,957,490,768,-636
2020-11-04T04:51:53Z,39,338465,0.512,0.456,0.032,4930,2190,2248,824
2020-11-04T04:54:11Z,40,339903,0.512,0.457,0.03,1438,736,995,-633
2020-11-04T04:58:30Z,40,341122,0.511,0.457,0.032,1219,283,557,718
2020-11-04T04:59:13Z,40,342773,0.512,0.457,0.03,1651,1186,754,-632
2020-11-04T04:59:56Z,40,343648,0.511,0.457,0.032,875,104,399,713
2020-11-04T05:00:37Z,40,345861,0.512,0.456,0.032,2213,1476,665,70
2020-11-04T05:01:30Z,41,348847,0.512,0.456,0.032,2986,1528,1361,95
2020-11-04T05:02:56Z,41,348992,0.512,0.456,0.032,145,74,66,4
2020-11-04T05:04:29Z,41,355469,0.51,0.458,0.032,6477,2605,3664,207
2020-11-04T05:07:23Z,41,356700,0.51,0.459,0.03,1231,627,920,-674
2020-11-04T05:08:56Z,41,356882,0.51,0.459,0.03,182,92,83,5
2020-11-04T05:09:27Z,43,368318,0.509,0.459,0.032,11436,5464,5249,1079
2020-11-04T05:10:37Z,43,369033,0.509,0.459,0.032,715,363,328,22
2020-11-04T05:11:47Z,43,369970,0.509,0.459,0.032,937,476,430,29
