anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 21:31:47,7,254095,0.697,0.285,0.018,254095,177104,72417,4573,
false,2020-11-03 21:36:54,8,273168,0.677,0.301,0.022,19073,7830,9806,1435,
false,2020-11-03 21:42:28,19,656181,0.676,0.304,0.02,383013,258643,117255,7113,
false,2020-11-03 21:44:00,19,656769,0.676,0.305,0.018,588,397,835,-1301,
false,2020-11-03 21:47:21,19,657053,0.676,0.305,0.018,284,191,86,5,
false,2020-11-03 21:49:26,26,873556,0.661,0.319,0.02,216503,133252,78263,5644,
false,2020-11-03 21:53:51,26,879864,0.66,0.32,0.02,6308,3289,2892,126,
false,2020-11-03 22:00:48,29,989934,0.642,0.338,0.02,110070,54827,53041,2201,
false,2020-11-03 22:10:10,32,1107094,0.619,0.361,0.02,117160,49753,65063,2343,
false,2020-11-03 22:16:50,32,1107728,0.619,0.361,0.02,634,392,228,12,
false,2020-11-03 22:21:23,32,1107768,0.619,0.361,0.02,40,24,14,0,
false,2020-11-03 22:22:01,33,1137624,0.616,0.364,0.02,29856,15067,14190,597,
false,2020-11-03 22:25:36,34,1149247,0.614,0.366,0.02,11623,4861,6529,232,
false,2020-11-03 22:30:50,35,1211969,0.609,0.37,0.021,62722,32451,27804,2466,
false,2020-11-03 22:31:51,36,1237404,0.609,0.37,0.021,25435,15489,9410,534,
false,2020-11-03 22:33:07,36,1243486,0.608,0.372,0.02,6082,2460,4737,-1115,
false,2020-11-03 22:37:36,37,1249290,0.607,0.372,0.021,5804,2279,2159,1365,
false,2020-11-03 22:42:54,38,1300222,0.602,0.378,0.02,50932,24414,26748,-230,
false,2020-11-03 22:43:52,38,1300276,0.602,0.378,0.02,54,32,20,1,
false,2020-11-03 22:46:20,38,1300304,0.602,0.378,0.02,28,16,10,0,
false,2020-11-03 22:48:19,38,1301914,0.602,0.378,0.02,1610,969,608,32,
false,2020-11-03 22:50:20,38,1312460,0.6,0.38,0.02,10546,3723,6611,210,
false,2020-11-03 22:51:20,42,1419021,0.587,0.392,0.021,106561,45489,57521,3550,
false,2020-11-03 22:56:00,42,1420621,0.587,0.393,0.02,1600,939,2047,-1387,
false,2020-11-03 22:56:34,42,1424056,0.586,0.393,0.021,3435,592,1349,1492,
false,2020-11-03 22:56:42,42,1425046,0.586,0.394,0.02,990,580,1814,-1404,
false,2020-11-03 22:58:32,42,1425651,0.586,0.393,0.021,605,354,-1187,1437,
false,2020-11-03 23:00:26,44,1510684,0.577,0.394,0.029,85033,36233,34928,13871,
false,2020-11-03 23:00:55,44,1510693,0.577,0.394,0.029,9,5,3,0,
false,2020-11-03 23:06:06,44,1511429,0.576,0.394,0.03,736,-1086,289,1532,
false,2020-11-03 23:08:28,44,1516407,0.579,0.4,0.021,4978,7416,11059,-13498,
false,2020-11-03 23:09:35,44,1518902,0.579,0.401,0.02,2495,1444,2516,-1466,
false,2020-11-03 23:11:40,46,1582143,0.574,0.406,0.02,63241,28705,33270,1264,
false,2020-11-03 23:14:11,46,1583375,0.573,0.407,0.02,1232,-876,2083,24,
false,2020-11-03 23:16:57,46,1583386,0.573,0.406,0.021,11,6,-1578,1583,
false,2020-11-03 23:20:14,47,1590227,0.572,0.408,0.02,6841,2329,5957,-1446,
false,2020-11-03 23:20:44,54,1828768,0.559,0.421,0.02,238541,112671,121098,4770,
false,2020-11-03 23:23:03,54,1828784,0.559,0.421,0.02,16,8,6,0,
false,2020-11-03 23:24:09,54,1830835,0.558,0.421,0.02,2051,-684,863,41,
false,2020-11-03 23:26:46,54,1836611,0.559,0.421,0.02,5776,5059,2431,115,
false,2020-11-03 23:28:34,54,1836647,0.559,0.421,0.02,36,20,15,0,
false,2020-11-03 23:31:23,54,1836796,0.558,0.421,0.02,149,-1753,62,2,
false,2020-11-03 23:32:26,60,2033579,0.545,0.434,0.02,196783,83368,109282,3935,
false,2020-11-03 23:32:46,60,2033609,0.545,0.434,0.02,30,16,13,0,
false,2020-11-03 23:33:47,60,2042773,0.545,0.434,0.02,9164,4994,3977,183,
false,2020-11-03 23:34:57,60,2045867,0.544,0.435,0.02,3094,-359,3388,61,
false,2020-11-03 23:35:54,60,2049828,0.544,0.435,0.02,3961,2154,1723,79,
false,2020-11-03 23:36:36,60,2056680,0.544,0.435,0.02,6852,3727,2980,137,
false,2020-11-03 23:37:23,61,2066402,0.543,0.436,0.02,9722,3222,6295,194,
false,2020-11-03 23:37:38,61,2069583,0.542,0.437,0.02,3181,-342,3456,63,
false,2020-11-03 23:37:55,61,2071091,0.542,0.437,0.02,1508,817,658,30,
