time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:00:43Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:33:46Z,0,749,749,0.522,0.465,0.012,390,348,8
2020-11-04T01:35:52Z,0,1164,415,0.396,0.595,0.009,69,344,1
2020-11-04T01:51:17Z,0,1506,342,0.335,0.652,0.012,43,289,7
2020-11-04T01:54:13Z,0,2110,604,0.274,0.714,0.012,73,524,7
2020-11-04T02:00:12Z,2,31029,28919,0.328,0.651,0.02,9599,18693,595
2020-11-04T02:03:39Z,2,31677,648,0.328,0.651,0.02,212,421,12
2020-11-04T02:07:11Z,2,33055,1378,0.334,0.645,0.02,650,698,27
2020-11-04T02:08:14Z,3,36737,3682,0.349,0.63,0.021,1780,1823,110
2020-11-04T02:09:10Z,3,37471,734,0.346,0.633,0.021,143,574,15
2020-11-04T02:13:48Z,3,40559,3088,0.356,0.623,0.021,1474,1549,64
2020-11-04T02:17:19Z,3,41553,994,0.361,0.619,0.02,561,453,-20
2020-11-04T02:19:02Z,4,48688,7135,0.372,0.607,0.021,3111,3832,191
2020-11-04T02:19:41Z,4,50717,2029,0.379,0.601,0.02,1109,927,-8
2020-11-04T02:19:51Z,4,51427,710,0.381,0.598,0.021,371,272,65
2020-11-04T02:20:20Z,4,53249,1822,0.385,0.595,0.02,907,929,-14
2020-11-04T02:20:52Z,4,54939,1690,0.376,0.604,0.02,156,1500,33
2020-11-04T02:24:32Z,4,58745,3806,0.395,0.586,0.019,2547,1241,17
2020-11-04T02:25:29Z,5,60338,1593,0.394,0.587,0.019,568,993,30
2020-11-04T02:26:24Z,5,65785,5447,0.416,0.565,0.019,3593,1750,103
2020-11-04T02:28:32Z,5,67147,1362,0.418,0.563,0.019,700,635,25
2020-11-04T02:29:56Z,5,69421,2274,0.425,0.556,0.018,1436,794,-26
2020-11-04T02:30:47Z,5,73074,3653,0.428,0.554,0.018,1771,1884,65
2020-11-04T02:30:54Z,6,75601,2527,0.437,0.545,0.018,1761,719,45
2020-11-04T02:31:42Z,6,77288,1687,0.433,0.549,0.018,428,1228,30
2020-11-04T02:32:21Z,6,79347,2059,0.436,0.546,0.018,1129,892,37
2020-11-04T02:34:54Z,6,84301,4954,0.417,0.565,0.018,558,4306,89
2020-11-04T02:35:31Z,6,85930,1629,0.411,0.571,0.018,163,1435,29
2020-11-04T02:35:56Z,7,92325,6395,0.393,0.59,0.017,966,5405,22
2020-11-04T02:37:24Z,7,95560,3235,0.386,0.597,0.017,602,2577,54
2020-11-04T02:38:25Z,7,97650,2090,0.383,0.599,0.018,513,1443,133
2020-11-04T02:43:47Z,8,105202,7552,0.39,0.593,0.017,3628,3892,30
2020-11-04T02:44:47Z,8,106529,1327,0.391,0.592,0.017,624,680,22
2020-11-04T02:46:59Z,8,107906,1377,0.389,0.594,0.017,322,1030,23
2020-11-04T02:48:47Z,9,115569,7663,0.399,0.584,0.017,4136,3396,130
2020-11-04T02:49:13Z,10,137224,21655,0.39,0.593,0.017,7405,13881,368
2020-11-04T02:49:47Z,11,143346,6122,0.39,0.593,0.017,2387,3630,104
2020-11-04T02:50:14Z,11,147822,4476,0.396,0.588,0.016,2632,1915,-71
2020-11-04T02:50:35Z,11,149107,1285,0.397,0.586,0.017,657,457,169
2020-11-04T02:51:39Z,11,152020,2913,0.392,0.591,0.017,396,2467,49
2020-11-04T02:54:00Z,12,156528,4508,0.392,0.592,0.016,1767,2820,-79
2020-11-04T02:55:41Z,12,158310,1782,0.389,0.595,0.016,223,1529,28
2020-11-04T02:56:45Z,13,170715,12405,0.395,0.589,0.016,5849,6356,198
2020-11-04T02:59:03Z,14,179813,9098,0.405,0.579,0.016,5391,3560,145
2020-11-04T03:02:36Z,14,189207,9394,0.398,0.586,0.016,2480,6763,150
2020-11-04T03:09:21Z,15,200916,11709,0.397,0.587,0.016,4459,7062,187
2020-11-04T03:09:40Z,15,203609,2693,0.403,0.581,0.016,2290,359,43
2020-11-04T03:13:33Z,16,209193,5584,0.397,0.587,0.016,995,4499,89
2020-11-04T03:15:03Z,16,210558,1365,0.398,0.585,0.017,752,380,232
2020-11-04T03:16:19Z,16,219227,8669,0.402,0.582,0.016,4327,4413,-71
2020-11-04T03:16:53Z,17,227405,8178,0.411,0.572,0.017,5334,2485,358
2020-11-04T03:17:23Z,18,234022,6617,0.405,0.578,0.017,1315,5189,112
2020-11-04T03:18:14Z,18,237312,3290,0.406,0.578,0.016,1569,1901,-181
2020-11-04T03:18:55Z,18,239377,2065,0.405,0.579,0.016,599,1432,33
2020-11-04T03:19:27Z,19,246437,7060,0.407,0.577,0.016,3352,3594,112
2020-11-04T03:20:32Z,19,247510,1073,0.408,0.576,0.016,684,371,17
2020-11-04T03:21:40Z,19,250481,2971,0.405,0.579,0.016,460,2462,47
2020-11-04T03:22:53Z,19,254307,3826,0.406,0.578,0.016,1803,1960,61
2020-11-04T03:25:53Z,20,262422,8115,0.411,0.573,0.016,4606,3378,129
2020-11-04T03:27:15Z,20,265731,3309,0.41,0.574,0.016,1094,2161,52
2020-11-04T03:29:06Z,21,285408,19677,0.395,0.588,0.017,3786,15290,600
2020-11-04T03:31:48Z,22,289996,4588,0.397,0.587,0.016,2392,2407,-212
2020-11-04T03:33:00Z,22,298183,8187,0.395,0.589,0.016,2653,5402,130
2020-11-04T03:33:44Z,24,313460,15277,0.403,0.581,0.016,8542,6490,244
2020-11-04T03:34:42Z,24,318975,5515,0.398,0.586,0.016,627,4799,88
2020-11-04T03:35:04Z,24,321861,2886,0.402,0.582,0.016,2436,403,46
2020-11-04T03:39:45Z,25,327107,5246,0.4,0.584,0.016,1454,3707,83
2020-11-04T03:40:42Z,25,332538,5431,0.396,0.588,0.016,842,4501,86
2020-11-04T03:40:52Z,25,334790,2252,0.394,0.59,0.016,222,1993,36
2020-11-04T03:44:17Z,25,336685,1895,0.394,0.59,0.016,746,1118,30
2020-11-04T03:47:13Z,26,349696,13011,0.389,0.595,0.016,3377,9424,208
2020-11-04T03:47:18Z,27,354652,4956,0.391,0.593,0.016,2637,2239,79
2020-11-04T03:49:14Z,27,363072,8420,0.39,0.594,0.016,2929,5356,134
2020-11-04T03:52:24Z,28,375254,12182,0.384,0.6,0.016,2499,9487,194
2020-11-04T03:52:48Z,29,380332,5078,0.386,0.598,0.016,2710,2286,81
2020-11-04T03:53:33Z,29,386618,6286,0.385,0.599,0.016,2039,4145,100
2020-11-04T03:54:02Z,30,392588,5970,0.384,0.6,0.016,1905,3968,95
2020-11-04T03:54:21Z,32,425525,32937,0.384,0.6,0.016,12647,19762,526
2020-11-04T03:54:40Z,32,431725,6200,0.382,0.602,0.016,1517,4583,99
2020-11-04T03:55:23Z,33,441677,9952,0.38,0.605,0.015,2918,7316,-282
2020-11-04T03:56:37Z,34,448904,7227,0.382,0.602,0.016,3644,3025,557
2020-11-04T03:58:11Z,34,453413,4509,0.381,0.603,0.016,1269,3167,72
2020-11-04T03:58:42Z,34,454132,719,0.381,0.603,0.016,273,433,11
2020-11-04T04:01:49Z,35,463691,9559,0.375,0.609,0.016,859,8546,152
2020-11-04T04:02:26Z,35,467040,3349,0.377,0.608,0.015,2189,1572,-413
2020-11-04T04:03:21Z,36,473014,5974,0.377,0.608,0.015,2252,3632,89
2020-11-04T04:04:34Z,36,484328,11314,0.374,0.611,0.015,2812,8331,169
2020-11-04T04:04:49Z,37,490611,6283,0.378,0.607,0.015,4312,1876,94
2020-11-04T04:05:19Z,37,494592,3981,0.381,0.604,0.015,2988,932,59
2020-11-04T04:05:41Z,38,509151,14559,0.382,0.603,0.015,6056,8284,218
2020-11-04T04:06:07Z,39,517032,7881,0.385,0.6,0.015,4561,3201,118
2020-11-04T04:07:04Z,39,517055,23,0.385,0.6,0.015,8,13,0
2020-11-04T04:10:52Z,39,520060,3005,0.386,0.599,0.015,1676,1282,45
2020-11-04T04:10:57Z,40,532683,12623,0.385,0.599,0.016,4339,7561,722
2020-11-04T04:13:42Z,40,535021,2338,0.385,0.599,0.016,900,1400,37
2020-11-04T04:19:55Z,40,537094,2073,0.384,0.6,0.016,261,1778,33
2020-11-04T04:21:25Z,40,537778,684,0.384,0.6,0.016,262,410,10
2020-11-04T04:21:34Z,41,548847,11069,0.383,0.601,0.016,3701,7190,177
2020-11-04T04:24:15Z,42,552867,4020,0.384,0.6,0.016,2092,1863,64
2020-11-04T04:24:26Z,43,570270,17403,0.378,0.607,0.015,3261,14433,-291
2020-11-04T04:26:53Z,43,577394,7124,0.378,0.607,0.015,2692,4324,106
2020-11-04T04:28:34Z,44,585285,7891,0.376,0.609,0.015,1812,5960,118
2020-11-04T04:29:07Z,44,590794,5509,0.373,0.612,0.015,299,5127,82
2020-11-04T04:30:05Z,45,595685,4891,0.373,0.611,0.016,1824,2397,669
2020-11-04T04:40:11Z,45,597190,1505,0.374,0.611,0.015,1158,919,-573
2020-11-04T04:48:30Z,45,599248,2058,0.375,0.61,0.015,1368,658,30
2020-11-04T04:50:36Z,45,603183,3935,0.376,0.609,0.015,2078,1797,59
2020-11-04T04:52:34Z,46,612569,9386,0.376,0.609,0.015,3529,5716,140
2020-11-04T04:53:10Z,46,615715,3146,0.377,0.608,0.015,1798,1300,47
2020-11-04T04:53:54Z,49,648044,32329,0.368,0.617,0.015,6355,25488,484
2020-11-04T05:01:23Z,49,650201,2157,0.368,0.616,0.016,793,680,682
2020-11-04T05:02:45Z,49,655942,5741,0.368,0.616,0.016,2112,3536,91
2020-11-04T05:03:08Z,51,676081,20139,0.371,0.614,0.015,9439,11053,-353
2020-11-04T05:03:26Z,51,680835,4754,0.371,0.614,0.015,1763,2918,71
2020-11-04T05:04:21Z,51,682547,1712,0.37,0.614,0.016,-47,1051,708
2020-11-04T05:06:36Z,52,696027,13480,0.368,0.617,0.015,3595,10364,-480
2020-11-04T05:09:35Z,54,713584,17557,0.366,0.619,0.015,5033,12259,263
2020-11-04T05:09:40Z,54,719761,6177,0.365,0.619,0.016,1541,3823,812
2020-11-04T05:10:14Z,54,721165,1404,0.365,0.619,0.016,512,869,22
