time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:00:43Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:13:29Z,0,709,709,0.305,0.681,0.014,216,482,9
2020-11-04T01:16:15Z,0,1440,731,0.346,0.643,0.011,281,443,5
2020-11-04T01:23:50Z,0,2107,667,0.331,0.657,0.012,199,458,9
2020-11-04T01:25:39Z,0,3493,1386,0.372,0.614,0.014,601,760,23
2020-11-04T01:26:22Z,0,5142,1649,0.349,0.636,0.015,495,1125,28
2020-11-04T01:28:30Z,0,10978,5836,0.339,0.648,0.012,1926,3843,54
2020-11-04T01:29:03Z,0,12901,1923,0.355,0.632,0.013,858,1039,35
2020-11-04T01:31:53Z,0,13974,1073,0.343,0.644,0.012,213,845,0
2020-11-04T01:34:57Z,0,14433,459,0.342,0.644,0.014,143,295,34
2020-11-04T01:38:07Z,0,14555,122,0.34,0.647,0.012,12,122,-27
2020-11-04T01:38:54Z,1,17336,2781,0.349,0.639,0.012,1101,1660,33
2020-11-04T01:39:24Z,1,18659,1323,0.342,0.645,0.012,331,957,15
2020-11-04T01:39:54Z,1,20397,1738,0.335,0.653,0.012,451,1284,20
2020-11-04T01:41:20Z,2,73611,53214,0.534,0.453,0.012,32475,20026,638
2020-11-04T01:44:33Z,2,75895,2284,0.527,0.461,0.012,688,1641,27
2020-11-04T01:46:24Z,2,76228,333,0.525,0.463,0.012,23,305,3
2020-11-04T01:46:50Z,2,77084,856,0.521,0.467,0.012,141,704,10
2020-11-04T01:47:01Z,3,79871,2787,0.513,0.475,0.012,813,1940,33
2020-11-04T01:49:47Z,3,80810,939,0.509,0.479,0.012,158,769,11
2020-11-04T01:51:52Z,3,81778,968,0.504,0.483,0.013,83,790,93
2020-11-04T01:53:20Z,3,82665,887,0.5,0.487,0.013,116,759,11
2020-11-04T01:53:59Z,3,83416,751,0.497,0.49,0.013,125,615,9
2020-11-04T01:54:22Z,10,304964,221548,0.652,0.337,0.01,157378,61899,1965
2020-11-04T01:54:40Z,10,305598,634,0.651,0.339,0.01,107,824,6
2020-11-04T01:55:00Z,10,309721,4123,0.644,0.345,0.011,516,3256,350
2020-11-04T01:55:09Z,10,312488,2767,0.641,0.349,0.01,844,2204,-282
2020-11-04T01:57:05Z,10,313574,1086,0.639,0.351,0.01,68,1006,10
2020-11-04T01:58:28Z,10,316029,2455,0.636,0.354,0.01,620,1809,24
2020-11-04T01:59:04Z,10,318176,2147,0.632,0.357,0.011,92,1714,339
2020-11-04T02:01:15Z,11,330793,12617,0.617,0.373,0.01,3012,9796,-192
2020-11-04T02:04:03Z,11,334273,3480,0.613,0.376,0.011,810,2300,369
2020-11-04T02:05:42Z,11,338303,4030,0.607,0.382,0.011,440,3545,44
2020-11-04T02:06:50Z,11,342542,4239,0.603,0.386,0.011,1202,2989,46
2020-11-04T02:07:32Z,11,345748,3206,0.599,0.39,0.011,550,2620,35
2020-11-04T02:09:12Z,11,349089,3341,0.595,0.394,0.011,604,2699,36
2020-11-04T02:09:32Z,11,349629,540,0.595,0.394,0.011,321,212,5
2020-11-04T02:10:17Z,11,352956,3327,0.591,0.398,0.011,567,2722,36
2020-11-04T02:11:25Z,12,385452,32496,0.579,0.409,0.012,14579,17173,742
2020-11-04T02:11:52Z,13,390712,5260,0.575,0.413,0.012,1482,3714,63
2020-11-04T02:13:56Z,13,409662,18950,0.564,0.424,0.012,6389,12332,227
2020-11-04T02:15:00Z,13,411463,1801,0.562,0.426,0.012,192,1586,21
2020-11-04T02:15:25Z,13,413803,2340,0.561,0.427,0.012,901,1410,28
2020-11-04T02:16:47Z,13,416077,2274,0.559,0.429,0.012,443,1803,27
2020-11-04T02:19:07Z,15,463065,46988,0.592,0.396,0.012,41547,4876,563
2020-11-04T02:20:14Z,15,476968,13903,0.581,0.408,0.011,2983,11229,-310
2020-11-04T02:20:53Z,15,478855,1887,0.579,0.409,0.012,138,1248,499
2020-11-04T02:21:47Z,16,495938,17083,0.575,0.413,0.012,7907,8970,204
2020-11-04T02:24:11Z,16,500487,4549,0.574,0.414,0.012,2115,2379,54
2020-11-04T02:25:07Z,17,510198,9711,0.569,0.419,0.012,3023,6571,116
2020-11-04T02:25:47Z,17,511037,839,0.568,0.42,0.012,-33,862,10
2020-11-04T02:26:14Z,17,514880,3843,0.565,0.423,0.012,638,3158,46
2020-11-04T02:26:59Z,17,532048,17168,0.551,0.437,0.012,2251,14710,206
2020-11-04T02:28:21Z,17,537620,5572,0.548,0.44,0.012,1457,4047,66
2020-11-04T02:28:39Z,18,556768,19148,0.54,0.448,0.012,6038,12879,229
2020-11-04T02:29:51Z,18,558624,1856,0.539,0.449,0.012,443,1390,22
2020-11-04T02:30:26Z,19,580732,22108,0.525,0.462,0.012,3785,17476,265
2020-11-04T02:30:57Z,19,588109,7377,0.522,0.466,0.012,2108,5760,88
2020-11-04T02:31:30Z,19,591300,3191,0.52,0.468,0.012,483,2669,38
2020-11-04T02:31:49Z,19,595649,4349,0.518,0.47,0.012,1070,3226,52
2020-11-04T02:31:59Z,20,602973,7324,0.514,0.473,0.013,1381,5251,690
2020-11-04T02:33:00Z,20,602977,4,0.514,0.473,0.013,2,1,0
2020-11-04T02:33:03Z,20,605406,2429,0.513,0.475,0.012,643,2359,-573
2020-11-04T02:34:17Z,20,615069,9663,0.509,0.478,0.013,2496,6435,731
2020-11-04T02:34:33Z,20,615881,812,0.509,0.479,0.012,413,1004,-605
2020-11-04T02:35:48Z,20,625230,9349,0.505,0.483,0.012,2257,6979,112
2020-11-04T02:37:09Z,21,643395,18165,0.496,0.492,0.012,3382,14564,217
2020-11-04T02:38:19Z,21,646521,3126,0.494,0.493,0.013,257,2184,684
2020-11-04T02:38:51Z,21,650672,4151,0.492,0.496,0.012,749,3998,-596
2020-11-04T02:40:35Z,21,650994,322,0.492,0.496,0.012,158,159,3
2020-11-04T02:41:31Z,21,661472,10478,0.487,0.5,0.013,1847,7842,787
2020-11-04T02:41:40Z,22,666228,4756,0.486,0.502,0.012,1649,3710,-604
2020-11-04T02:41:51Z,22,671345,5117,0.484,0.504,0.012,1144,3911,61
2020-11-04T02:42:31Z,22,678415,7070,0.481,0.507,0.012,1386,5598,84
2020-11-04T02:43:45Z,23,707376,28961,0.482,0.505,0.013,14637,13268,1054
2020-11-04T02:45:35Z,23,720763,13387,0.481,0.506,0.013,5731,7481,174
2020-11-04T02:46:11Z,24,732421,11658,0.477,0.51,0.013,2677,8828,151
2020-11-04T02:46:58Z,24,738054,5633,0.475,0.512,0.013,1210,4348,73
2020-11-04T02:47:13Z,25,762779,24725,0.467,0.52,0.012,5642,18761,-441
2020-11-04T02:48:04Z,25,767386,4607,0.465,0.521,0.014,616,3163,1590
2020-11-04T02:48:30Z,25,777140,9754,0.462,0.525,0.012,2204,8190,-1417
2020-11-04T02:50:43Z,25,785994,8854,0.458,0.528,0.014,946,7006,1678
2020-11-04T02:51:44Z,26,813703,27709,0.467,0.519,0.014,20014,7307,387
2020-11-04T02:52:06Z,26,815722,2019,0.467,0.52,0.012,942,1863,-1603
2020-11-04T02:53:22Z,26,818119,2397,0.466,0.52,0.014,301,1246,1665
2020-11-04T02:53:57Z,27,829058,10939,0.463,0.523,0.014,2610,8175,153
2020-11-04T02:54:45Z,27,837931,8873,0.461,0.525,0.014,2432,6316,124
2020-11-04T02:55:09Z,27,841170,3239,0.46,0.526,0.014,652,2541,45
2020-11-04T02:55:15Z,27,846509,5339,0.458,0.528,0.014,762,4501,74
2020-11-04T02:55:33Z,28,850043,3534,0.457,0.53,0.012,768,3566,-1650
2020-11-04T02:56:19Z,28,850046,3,0.457,0.53,0.012,1,1,0
2020-11-04T02:56:45Z,29,895969,45923,0.452,0.534,0.014,16506,27923,2343
2020-11-04T02:58:10Z,29,898537,2568,0.451,0.535,0.014,262,2269,35
2020-11-04T02:59:33Z,29,899683,1146,0.451,0.535,0.014,516,613,16
2020-11-04T02:59:47Z,29,902782,3099,0.45,0.536,0.014,494,2560,43
2020-11-04T03:00:33Z,31,959206,56424,0.436,0.55,0.014,11961,43672,789
