time,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other
2020-11-04T08:04:41Z,0,0,0,0,1,0,0,0,0
2020-11-04T04:53:10Z,0,411,0.075,0.91,0.015,411,30,374,6
2020-11-04T05:02:47Z,0,4588,0.189,0.787,0.024,4177,836,3236,103
2020-11-04T05:29:51Z,1,16783,0.222,0.746,0.032,12195,2858,8909,426
2020-11-04T05:40:54Z,2,24581,0.22,0.75,0.03,7798,1681,5915,200
2020-11-04T05:46:13Z,3,42577,0.209,0.763,0.028,17996,3490,14050,454
2020-11-04T05:49:45Z,5,65559,0.239,0.734,0.027,22982,6770,15634,577
2020-11-04T06:23:22Z,7,92907,0.295,0.678,0.026,27348,11738,14870,645
2020-11-04T06:32:49Z,59,817380,0.515,0.468,0.016,724473,393543,319542,10662
2020-11-04T06:35:22Z,74,1031716,0.516,0.465,0.018,214336,111414,97214,5492
2020-11-04T06:44:49Z,74,1037092,0.514,0.467,0.018,5376,699,4574,96
2020-11-04T06:48:01Z,75,1039324,0.514,0.468,0.018,2232,1147,2081,40
2020-11-04T06:50:19Z,77,1067662,0.509,0.472,0.019,28338,9227,17532,1577
2020-11-04T06:51:05Z,77,1072701,0.508,0.473,0.019,5039,1492,3451,95
2020-11-04T06:51:49Z,78,1081263,0.505,0.476,0.019,8562,1105,7293,162
2020-11-04T06:54:56Z,78,1090777,0.504,0.477,0.019,9514,3713,5619,180
2020-11-04T07:07:53Z,78,1091308,0.504,0.477,0.019,531,267,253,10
2020-11-04T07:44:00Z,78,1093605,0.503,0.478,0.019,2297,64,2189,43
2020-11-04T07:47:53Z,79,1095189,0.503,0.478,0.019,1584,796,757,30
2020-11-04T08:59:16Z,79,1103031,0.502,0.479,0.019,7842,2841,4851,148
2020-11-04T10:20:55Z,85,1187419,0.495,0.485,0.02,84388,34050,47546,2790
2020-11-04T10:26:39Z,85,1190267,0.494,0.486,0.02,2848,219,2571,56
2020-11-04T10:45:08Z,86,1192915,0.493,0.487,0.02,2648,115,2479,52
2020-11-05T17:08:20Z,87,1207200,0.495,0.485,0.02,14285,9456,4542,285
2020-11-05T17:15:03Z,87,1208195,0.495,0.485,0.02,995,492,482,19
2020-11-05T17:18:00Z,87,1209206,0.495,0.485,0.02,1011,500,490,20
2020-11-05T17:20:46Z,87,1209214,0.495,0.485,0.02,8,3,3,0
2020-11-05T17:28:58Z,88,1221403,0.494,0.485,0.021,12189,4812,5911,1465
2020-11-05T18:02:27Z,88,1222316,0.494,0.485,0.021,913,451,442,19
2020-11-05T18:16:00Z,88,1222331,0.494,0.485,0.021,15,7,7,0
2020-11-05T18:19:58Z,89,1222331,0.494,0.485,0.021,0,0,0,0
2020-11-06T16:31:41Z,91,1252653,0.498,0.481,0.021,30322,19989,9695,636
2020-11-06T16:48:41Z,91,1252904,0.498,0.481,0.021,251,124,120,5
2020-11-06T16:53:42Z,91,1253212,0.498,0.481,0.021,308,153,148,6
2020-11-06T16:55:41Z,92,1258411,0.498,0.481,0.021,5199,2589,2500,109
2020-11-06T16:57:40Z,92,1258416,0.498,0.481,0.021,5,2,2,0
2020-11-06T16:58:40Z,92,1258418,0.498,0.481,0.021,2,0,0,0
2020-11-06T17:03:34Z,92,1258441,0.498,0.481,0.021,23,11,11,0
2020-11-06T17:48:41Z,92,1259022,0.498,0.481,0.021,581,289,279,12
2020-11-06T18:03:42Z,92,1260800,0.497,0.481,0.022,1778,-375,855,1298
2020-11-06T23:19:42Z,93,1269513,0.498,0.48,0.022,8713,5599,2921,191
2020-11-07T17:04:43Z,93,1270001,0.498,0.48,0.022,488,243,234,10
2020-11-07T17:10:42Z,94,1284697,0.499,0.479,0.022,14696,8603,5769,323
2020-11-07T17:13:42Z,94,1285861,0.499,0.479,0.022,1164,580,557,25
2020-11-07T17:17:42Z,94,1287403,0.499,0.479,0.022,1542,769,738,33
2020-11-08T01:59:57Z,95,1295764,0.5,0.478,0.022,8361,5467,2709,183
2020-11-08T17:03:45Z,95,1297228,0.5,0.478,0.022,1464,732,699,32
2020-11-08T17:04:44Z,96,1312135,0.501,0.477,0.022,14907,8765,5813,327
2020-11-09T01:13:53Z,97,1323719,0.502,0.476,0.022,11584,7127,4201,254
2020-11-09T17:02:48Z,97,1334559,0.502,0.475,0.023,10840,5441,3825,1573
2020-11-09T17:04:47Z,97,1334721,0.502,0.475,0.023,162,81,76,3
2020-11-10T17:05:00Z,97,1335180,0.502,0.475,0.023,459,230,218,10
2020-11-10T17:07:55Z,97,1335198,0.502,0.475,0.023,18,9,8,0
2020-11-10T21:52:55Z,98,1336407,0.502,0.475,0.023,1209,606,574,27
2020-11-11T17:03:01Z,98,1336955,0.503,0.475,0.022,548,1612,260,-1324
2020-11-11T17:03:59Z,98,1337023,0.502,0.475,0.023,68,-1302,32,1338
2020-11-11T17:06:01Z,98,1337034,0.502,0.475,0.023,11,5,5,0
2020-11-11T17:08:57Z,98,1337217,0.502,0.475,0.023,183,91,86,4
2020-11-12T17:03:01Z,98,1337338,0.502,0.475,0.023,121,60,57,2
2020-11-12T17:07:00Z,98,1337362,0.502,0.475,0.023,24,12,11,0
