time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-04 04:15:43,0,0,0,0,0,0,0,0,0,0,0,0,
2020-11-03 09:16:25,0,26,0.385,0.615,0,10,15,0,26,10,15,0,
2020-11-04 04:15:43,0,0,0,0,0,0,0,0,-26,-10,-15,0,
2020-11-03 09:16:25,0,26,0.385,0.615,0,10,15,0,26,10,15,0,
2020-11-03 19:10:45,0,2613,0.748,0.252,0,1954,658,0,2587,1944,642,0,
2020-11-03 19:15:59,0.01,5315,0.722,0.278,0,3837,1477,0,2702,1882,819,0,
2020-11-03 19:24:02,0.01,7298,0.712,0.288,0,5196,2101,0,1983,1358,624,0,
2020-11-03 19:27:18,0.01,9583,0.685,0.315,0,6564,3018,0,2285,1368,916,0,
2020-11-03 19:30:09,0.02,16047,0.584,0.411,0.005,9371,6595,80,6464,2807,3576,80,
2020-11-03 19:30:57,0.02,17732,0.592,0.404,0.004,10497,7163,70,1685,1125,568,-9,
2020-11-03 19:35:17,0.03,22148,0.566,0.427,0.007,12535,9457,155,4416,2038,2293,84,
2020-11-03 19:42:32,0.03,24937,0.544,0.448,0.008,13565,11171,199,2789,1029,1714,44,
2020-11-03 19:48:54,0.03,27454,0.55,0.442,0.008,15099,12134,219,2517,1533,962,20,
2020-11-03 19:49:40,0.03,29222,0.548,0.444,0.008,16013,12974,233,1768,913,839,14,
2020-11-03 19:51:44,0.04,30941,0.559,0.433,0.008,17296,13397,247,1719,1282,422,13,
2020-11-03 19:52:36,0.04,33743,0.552,0.439,0.008,18626,14813,269,2802,1330,1415,22,
2020-11-03 19:53:10,0.05,39563,0.58,0.412,0.008,22946,16299,316,5820,4320,1486,46,
2020-11-03 19:53:44,0.05,41235,0.579,0.413,0.008,23875,17030,329,1672,928,730,13,
2020-11-03 19:57:17,0.05,41874,0.577,0.415,0.008,24161,17377,334,639,286,347,5,
2020-11-03 20:00:52,0.05,43714,0.573,0.419,0.008,25048,18316,349,1840,886,938,14,
2020-11-03 20:04:54,0.05,45293,0.571,0.422,0.007,25862,19113,317,1579,814,797,-32,
2020-11-03 20:06:05,0.05,47480,0.569,0.424,0.007,27016,20131,332,2187,1153,1017,15,
2020-11-03 20:07:46,0.06,50616,0.574,0.419,0.007,29053,21208,354,3136,2037,1076,21,
2020-11-03 20:08:37,0.06,55644,0.56,0.432,0.008,31160,24038,445,5028,2107,2830,90,
2020-11-03 20:09:24,0.07,57506,0.554,0.437,0.008,31858,25130,460,1862,697,1091,14,
2020-11-03 20:09:49,0.07,60388,0.547,0.444,0.008,33032,26812,483,2882,1173,1682,23,
2020-11-03 20:11:49,0.07,63394,0.545,0.445,0.01,34549,28210,633,3006,1517,1398,150,
2020-11-03 20:14:53,0.07,63437,0.545,0.445,0.01,34573,28229,634,43,23,19,0,
2020-11-03 20:15:19,0.08,67371,0.54,0.45,0.01,36380,30316,673,3934,1807,2087,39,
2020-11-03 20:16:15,0.08,70285,0.539,0.451,0.01,37883,31698,702,2914,1503,1381,29,
2020-11-03 20:19:38,0.09,74686,0.536,0.454,0.01,40031,33907,746,4401,2148,2208,44,
2020-11-03 20:21:37,0.09,77164,0.542,0.447,0.01,41822,34492,771,2478,1791,584,24,
2020-11-03 20:22:08,0.1,83679,0.536,0.453,0.01,44851,37906,836,6515,3029,3414,65,
2020-11-03 20:26:50,0.1,86227,0.54,0.45,0.01,46562,38802,862,2548,1710,895,25,
2020-11-03 20:29:12,0.1,86254,0.54,0.45,0.01,46577,38814,862,27,14,12,0,
2020-11-03 20:29:58,0.1,87621,0.539,0.451,0.01,47227,39517,876,1367,650,702,13,
2020-11-03 20:30:00,0.1,88663,0.537,0.453,0.01,47612,40164,886,1042,384,647,10,
2020-11-03 20:32:00,0.1,90247,0.536,0.453,0.01,48372,40881,902,1584,760,717,15,
2020-11-03 20:34:22,0.1,90742,0.536,0.453,0.01,48637,41106,907,495,265,224,4,
2020-11-03 20:40:14,0.11,93285,0.538,0.452,0.01,50187,42164,932,2543,1549,1058,25,
2020-11-03 20:40:50,0.11,98758,0.541,0.449,0.01,53428,44342,987,5473,3240,2177,54,
2020-11-03 20:43:37,0.11,98779,0.542,0.449,0.008,53538,44351,790,21,110,9,-197,Other -197
2020-11-03 20:44:42,0.12,102709,0.537,0.453,0.01,55154,46527,1027,3930,1616,2175,236,
2020-11-03 20:45:22,0.13,108606,0.53,0.459,0.01,57561,49850,1086,5897,2406,3322,58,
2020-11-03 20:47:37,0.13,109400,0.53,0.46,0.01,57982,50324,1094,794,420,473,7,
2020-11-03 20:56:28,0.13,113293,0.533,0.456,0.01,60385,51661,1132,3893,2403,1337,38,
2020-11-03 20:57:45,0.13,114366,0.533,0.456,0.01,60957,52150,1143,1073,571,489,10,
2020-11-03 21:00:03,0.13,114661,0.532,0.457,0.01,60999,52400,1146,295,42,249,2,
2020-11-03 21:01:23,0.13,116353,0.533,0.456,0.01,62016,53056,1163,1692,1016,656,16,
2020-11-03 21:01:41,0.14,120455,0.529,0.46,0.01,63720,55409,1204,4102,1704,2352,41,
2020-11-03 21:04:24,0.14,124342,0.53,0.459,0.01,65901,57072,1243,3887,2180,1663,38,
2020-11-03 21:06:35,0.14,125143,0.531,0.458,0.01,66450,57315,1251,801,549,242,8,
2020-11-03 21:07:25,0.16,134277,0.539,0.449,0.012,72375,60290,1611,9134,5924,2974,359,
