anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,TotalBiden,TotalTrump,TotalOther,batch_votes,batch_biden,batch_trump,batch_other,note
false,2020-11-03 20:22:53,1,41777,0.511,0.469,0.02,21348,19593,835,41777,21348,19593,835,
false,2020-11-03 20:24:17,3,143654,0.676,0.311,0.012,97110,44676,1723,101877,75762,25082,888,
false,2020-11-03 20:30:45,7,292971,0.594,0.391,0.015,174024,114551,4394,149317,76914,69875,2670,
false,2020-11-03 20:35:37,13,562859,0.486,0.499,0.015,273549,280866,8442,269888,99524,166314,4048,
false,2020-11-03 20:40:07,15,677369,0.494,0.491,0.015,334620,332588,10160,114510,61070,51721,1717,
false,2020-11-03 20:43:51,16,703447,0.492,0.493,0.015,346095,346799,10551,26078,11475,14211,391,
false,2020-11-03 20:56:46,22,967776,0.571,0.416,0.013,552600,402594,12581,264329,206504,55795,2029,
false,2020-11-03 20:59:17,23,1017118,0.564,0.424,0.012,573654,431258,12205,49342,21054,28663,-375,
false,2020-11-03 20:59:32,26,1188646,0.592,0.396,0.012,703678,470703,14263,171528,130023,39445,2058,
false,2020-11-03 21:11:32,29,1290434,0.591,0.397,0.012,762646,512302,15485,101788,58968,41598,1221,
false,2020-11-03 21:15:30,29,1323034,0.587,0.4,0.013,776620,529213,17199,32600,13974,16911,1714,
false,2020-11-03 21:15:52,29,1323035,0.587,0.4,0.013,776621,529214,17199,1,0,0,0,
false,2020-11-03 21:27:21,29,1323124,0.587,0.4,0.013,776673,529249,17200,89,52,35,1,
false,2020-11-03 21:27:48,33,1501735,0.593,0.394,0.013,890528,591683,19522,178611,113855,62433,2321,
false,2020-11-03 21:28:26,37,1649532,0.604,0.383,0.013,996317,631770,21443,147797,105788,40087,1921,
false,2020-11-03 21:30:41,45,2023210,0.564,0.423,0.013,1141090,855817,26301,373678,144773,224047,4857,
false,2020-11-03 21:32:09,49,2202470,0.563,0.424,0.013,1239990,933847,28632,179260,98900,78029,2330,
false,2020-11-03 21:34:10,54,2415974,0.572,0.416,0.012,1381937,1005045,28991,213504,141946,71197,359,
false,2020-11-03 21:42:47,54,2416148,0.572,0.416,0.012,1382036,1005117,28993,174,99,72,2,
false,2020-11-03 21:43:06,54,2433667,0.572,0.415,0.013,1392057,1009971,31637,17519,10020,4854,2643,
false,2020-11-03 21:45:28,54,2433694,0.572,0.415,0.013,1392072,1009983,31638,27,15,11,0,
false,2020-11-03 21:51:37,54,2433695,0.572,0.415,0.013,1392073,1009983,31638,1,0,0,0,
false,2020-11-03 21:59:01,57,2545398,0.573,0.414,0.013,1458513,1053794,33090,111703,66439,43811,1452,
false,2020-11-03 22:00:48,57,2545443,0.573,0.414,0.013,1458538,1053813,33090,45,25,18,0,
false,2020-11-03 22:03:29,57,2566288,0.574,0.413,0.013,1473049,1059876,33361,20845,14510,6063,270,
false,2020-11-03 22:17:31,57,2566563,0.574,0.413,0.013,1473207,1059990,33365,275,157,113,3,
false,2020-11-03 22:21:03,57,2566724,0.574,0.413,0.013,1473299,1060057,33367,161,92,66,2,
true,2020-11-03 22:25:44,57,2566724,0.605,0.382,0.013,1552868,980488,33367,0,79568,-79568,0,Trump -79568 votes
false,2020-11-03 22:45:44,57,2566771,0.605,0.382,0.013,1552896,980506,33368,47,28,17,0,
false,2020-11-03 23:14:17,60,2705588,0.611,0.376,0.013,1653114,1017301,35172,138817,100217,36794,1804,
false,2020-11-03 23:20:22,60,2717342,0.61,0.377,0.013,1657578,1024437,35325,11754,4464,7136,152,
false,2020-11-03 23:25:36,61,2745701,0.609,0.378,0.013,1672131,1037874,35694,28359,14553,13437,368,
false,2020-11-03 23:26:30,61,2745745,0.609,0.378,0.013,1672158,1037891,35694,44,26,16,0,
false,2020-11-03 23:33:22,61,2748053,0.608,0.379,0.013,1670816,1041512,35724,2308,-1342,3620,30,
false,2020-11-03 23:56:14,61,2748064,0.608,0.379,0.013,1670822,1041516,35724,11,6,4,0,
false,2020-11-04 00:27:34,61,2749369,0.608,0.379,0.013,1671616,1042010,35741,1305,793,494,16,
false,2020-11-04 02:02:11,64,2890022,0.609,0.378,0.013,1760023,1092428,37570,140653,88407,50417,1828,
false,2020-11-04 03:36:21,65,2900902,0.609,0.379,0.012,1766649,1099441,34810,10880,6625,7013,-2759,
false,2020-11-04 11:35:48,65,2900915,0.609,0.379,0.012,1766657,1099446,34810,13,7,4,0,
false,2020-11-04 14:01:00,65,2900917,0.609,0.379,0.012,1766658,1099447,34811,2,1,0,0,
false,2020-11-04 15:31:49,65,2916425,0.608,0.379,0.013,1773186,1105325,37913,15508,6527,5877,3102,
false,2020-11-04 15:50:48,65,2917413,0.608,0.379,0.013,1773787,1105699,37926,988,600,374,12,
false,2020-11-04 19:56:07,65,2934233,0.607,0.38,0.013,1781079,1115008,38145,16820,7292,9309,218,
false,2020-11-04 20:07:49,66,2956828,0.606,0.381,0.013,1791837,1126551,38438,22595,10758,11542,293,
false,2020-11-04 23:52:43,66,2963675,0.606,0.382,0.012,1795987,1132123,35564,6847,4149,5572,-2874,
false,2020-11-05 14:24:22,67,2995896,0.604,0.384,0.012,1809521,1150424,35950,32221,13534,18300,386,
false,2020-11-05 14:42:03,67,3027956,0.602,0.385,0.013,1822829,1165763,39363,32060,13308,15338,3412,
false,2020-11-05 14:47:42,68,3045262,0.601,0.386,0.013,1830202,1175471,39588,17306,7372,9708,224,
false,2020-11-05 14:56:40,68,3064751,0.599,0.388,0.013,1835785,1189123,39841,19489,5583,13652,253,
false,2020-11-05 15:10:55,68,3073221,0.599,0.388,0.013,1840859,1192409,39951,8470,5073,3286,110,
false,2020-11-05 15:15:37,69,3090939,0.599,0.388,0.013,1851472,1199284,40182,17718,10613,6874,230,
false,2020-11-05 15:56:37,69,3103844,0.599,0.388,0.013,1859202,1204291,40349,12905,7730,5007,167,
false,2020-11-05 16:15:58,69,3108434,0.598,0.388,0.014,1858843,1206072,43518,4590,-359,1780,3168,
false,2020-11-05 16:33:19,70,3124985,0.598,0.389,0.013,1868741,1215619,40624,16551,9897,9546,-2893,
false,2020-11-05 16:43:27,70,3142604,0.598,0.389,0.013,1879277,1222472,40853,17619,10536,6853,229,
false,2020-11-05 16:48:49,70,3161873,0.597,0.39,0.013,1887638,1233130,41104,19269,8360,10657,250,
false,2020-11-05 16:57:36,70,3166140,0.597,0.39,0.013,1890185,1234794,41159,4267,2547,1664,55,
false,2020-11-05 17:00:37,71,3184916,0.595,0.391,0.014,1895025,1245302,44588,18776,4839,10507,3429,
false,2020-11-05 17:39:37,71,3211692,0.596,0.391,0.013,1914168,1255771,41751,26776,19143,10469,-2836,
false,2020-11-05 22:57:41,72,3243131,0.596,0.391,0.013,1932906,1268064,42160,31439,18737,12292,408,
false,2020-11-05 23:31:40,72,3250002,0.596,0.391,0.013,1937001,1270750,42250,6871,4095,2686,89,
false,2020-11-06 08:50:33,72,3252299,0.596,0.391,0.013,1938370,1271648,42279,2297,1369,898,29,
false,2020-11-06 10:45:04,73,3269904,0.595,0.392,0.013,1945592,1281802,42508,17605,7222,10153,228,
false,2020-11-06 10:48:18,73,3272292,0.594,0.392,0.014,1943741,1282738,45812,2388,-1851,936,3303,
false,2020-11-06 11:57:33,73,3294578,0.594,0.393,0.013,1956979,1294769,42829,22286,13237,12030,-2982,
false,2020-11-06 13:23:37,74,3315341,0.591,0.395,0.014,1959366,1309559,46414,20763,2387,14790,3585,
false,2020-11-06 13:32:00,74,3315407,0.591,0.395,0.014,1959405,1309585,46415,66,39,26,0,
false,2020-11-06 13:40:09,74,3325939,0.591,0.395,0.014,1965629,1313745,46563,10532,6224,4160,147,
false,2020-11-06 13:48:00,74,3333686,0.591,0.396,0.013,1970208,1320139,43337,7747,4578,6393,-3225,
false,2020-11-06 13:58:14,74,3338173,0.59,0.396,0.014,1969522,1321916,46734,4487,-686,1776,3396,
false,2020-11-06 14:04:54,74,3338450,0.59,0.396,0.014,1969685,1322026,46738,277,163,109,3,
false,2020-11-06 14:47:40,74,3338461,0.59,0.396,0.014,1969691,1322030,46738,11,6,4,0,
false,2020-11-06 14:53:17,74,3338550,0.59,0.396,0.014,1969744,1322065,46739,89,52,35,1,
false,2020-11-06 15:00:37,74,3340721,0.59,0.396,0.014,1971025,1322925,46770,2171,1280,859,30,
false,2020-11-06 15:09:38,75,3359340,0.59,0.396,0.014,1982010,1330298,47030,18619,10985,7373,260,
false,2020-11-06 17:26:09,75,3370027,0.59,0.397,0.013,1988315,1337900,43810,10687,6305,7602,-3220,
true,2020-11-06 17:26:44,75,3370007,0.59,0.397,0.013,1988304,1337892,43810,-20,-11,-7,0,Total -20 votes
false,2020-11-06 17:29:06,75,3371446,0.589,0.397,0.014,1985781,1338464,47200,1439,-2522,571,3390,
false,2020-11-06 18:00:35,75,3390814,0.589,0.397,0.014,1997189,1346153,47471,19368,11407,7689,271,
