time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:01:03Z,0,0,0,0,0,1,0,0,0
2020-11-04T02:43:43Z,30,279039,279039,0.623,0.356,0.021,173841,99337,5859
2020-11-04T02:46:31Z,32,297266,18227,0.597,0.382,0.021,3626,14217,382
2020-11-04T02:46:48Z,34,313946,16680,0.576,0.404,0.02,3365,13278,36
2020-11-04T02:47:43Z,34,314946,1000,0.575,0.405,0.02,261,718,20
2020-11-04T03:04:42Z,34,315554,608,0.574,0.406,0.02,34,561,12
2020-11-04T03:09:37Z,49,447163,131609,0.55,0.431,0.018,64811,64612,1737
2020-11-04T03:15:46Z,56,513698,66535,0.55,0.431,0.018,36594,28676,1197
2020-11-04T03:17:42Z,56,514638,940,0.55,0.431,0.018,517,405,16
2020-11-04T03:18:25Z,56,515286,648,0.549,0.431,0.02,-158,279,1042
2020-11-04T03:20:21Z,56,516875,1589,0.549,0.432,0.018,872,1201,-1001
2020-11-04T03:26:40Z,59,544639,27764,0.538,0.442,0.02,9251,17440,1589
2020-11-04T03:35:59Z,60,551262,6623,0.538,0.443,0.018,3563,3478,-970
2020-11-04T03:46:56Z,62,570801,19539,0.54,0.44,0.02,11653,6943,1493
2020-11-04T03:55:02Z,62,571544,743,0.539,0.44,0.02,-170,326,14
2020-11-04T03:55:13Z,62,572443,899,0.539,0.441,0.02,484,968,17
2020-11-04T03:57:01Z,63,577034,4591,0.537,0.443,0.02,1320,3178,91
2020-11-04T04:03:41Z,63,577284,250,0.537,0.443,0.02,134,110,5
2020-11-04T04:06:15Z,66,605838,28554,0.537,0.442,0.02,15333,12043,571
2020-11-04T04:08:46Z,66,610323,4485,0.538,0.442,0.02,3018,1982,89
2020-11-04T04:16:23Z,67,614111,3788,0.537,0.442,0.02,1423,1674,75
2020-11-04T04:19:33Z,67,615260,1149,0.537,0.442,0.02,617,507,22
2020-11-04T04:20:10Z,67,616160,900,0.537,0.442,0.02,483,397,18
2020-11-04T04:27:00Z,69,638145,21985,0.536,0.444,0.02,11167,10993,439
2020-11-04T04:34:55Z,71,650663,12518,0.537,0.442,0.02,7360,4256,250
2020-11-04T04:46:34Z,72,658384,7721,0.537,0.442,0.02,4146,3412,154
2020-11-04T04:56:05Z,78,721461,63077,0.53,0.449,0.02,28822,32930,1261
2020-11-04T05:06:17Z,80,733730,12269,0.53,0.449,0.02,6502,5508,245
2020-11-04T05:15:09Z,80,735909,2179,0.531,0.449,0.02,1890,978,43
2020-11-04T05:16:06Z,81,745339,9430,0.53,0.449,0.02,4261,4234,188
2020-11-04T05:22:40Z,81,745465,126,0.53,0.449,0.02,66,56,2
2020-11-04T05:27:56Z,88,809793,64328,0.533,0.447,0.02,36523,27263,1286
2020-11-04T05:32:41Z,89,817144,7351,0.533,0.446,0.02,3918,2468,147
2020-11-04T05:35:21Z,89,820199,3055,0.534,0.445,0.02,2448,542,61
2020-11-04T05:46:21Z,89,820586,387,0.534,0.445,0.02,206,172,7
2020-11-04T05:59:49Z,90,830315,9729,0.533,0.445,0.022,4364,4329,1855
2020-11-04T06:05:35Z,95,875269,44954,0.54,0.439,0.02,30087,14752,-761
2020-11-04T06:14:48Z,96,883716,8447,0.54,0.439,0.02,4561,3708,168
2020-11-04T06:24:47Z,96,884938,1222,0.54,0.439,0.02,659,536,24
2020-11-04T06:34:49Z,98,902084,17146,0.539,0.439,0.022,8356,7527,2147
2020-11-04T06:44:49Z,98,902512,428,0.539,0.439,0.022,230,187,9
2020-11-04T07:04:49Z,99,911067,8555,0.539,0.439,0.022,4611,3755,188
2020-11-04T07:35:49Z,99,911678,611,0.539,0.439,0.022,329,268,13
2020-11-04T07:45:50Z,99,913147,1469,0.54,0.438,0.022,1704,-268,32
2020-11-05T00:49:49Z,99,921087,7940,0.542,0.436,0.022,6129,1635,174
2020-11-05T01:26:48Z,99,921765,678,0.542,0.436,0.022,367,295,14
2020-11-06T02:00:41Z,99,922516,751,0.542,0.436,0.022,407,327,16
2020-11-06T20:47:18Z,99,917906,-4610,0.542,0.436,0.022,-2498,-2009,-101
2020-11-07T02:00:44Z,99,918943,1037,0.542,0.436,0.022,562,452,22
2020-11-08T02:01:39Z,99,919261,318,0.542,0.436,0.022,172,138,6
2020-11-10T02:00:43Z,99,919640,379,0.542,0.436,0.022,205,165,8
2020-11-11T02:01:52Z,99,920930,1290,0.542,0.436,0.022,699,562,28
2020-11-12T02:00:46Z,99,921308,378,0.542,0.436,0.022,204,164,8
2020-11-13T02:00:48Z,99,921349,41,0.542,0.436,0.022,22,17,0
