time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:57:24Z,0,0,0,0,0,1,0,0,0
2020-11-04T02:05:57Z,11,953245,953245,0.801,0.194,0.004,763549,184929,3812
2020-11-04T02:07:20Z,12,976723,23478,0.798,0.197,0.004,15875,7484,93
2020-11-04T02:07:41Z,12,998854,22131,0.791,0.203,0.006,10668,10352,2086
2020-11-04T02:09:11Z,12,1034950,36096,0.789,0.205,0.006,26482,9397,216
2020-11-04T02:11:12Z,14,1157177,122227,0.767,0.227,0.006,70979,50514,733
2020-11-04T02:12:03Z,14,1202356,45179,0.771,0.223,0.006,39461,5446,271
2020-11-04T02:13:38Z,14,1206363,4007,0.77,0.224,0.006,1883,2099,24
2020-11-04T02:15:08Z,15,1273171,66808,0.765,0.228,0.007,45076,20057,1674
2020-11-04T02:15:57Z,16,1326040,52869,0.759,0.235,0.006,32488,21336,-955
2020-11-04T02:22:05Z,16,1362175,36135,0.755,0.238,0.007,21977,12578,1578
2020-11-04T02:22:27Z,16,1377906,15731,0.75,0.243,0.007,4987,10633,110
2020-11-04T02:22:46Z,16,1385486,7580,0.751,0.243,0.006,7070,1841,-1332
2020-11-04T02:24:18Z,16,1393301,7815,0.75,0.244,0.006,4475,3292,46
2020-11-04T02:26:17Z,17,1413543,20242,0.746,0.247,0.007,9527,9179,1534
2020-11-04T02:27:09Z,17,1444530,30987,0.746,0.247,0.007,23116,7653,216
2020-11-04T02:27:44Z,17,1451134,6604,0.745,0.248,0.007,3475,3082,46
2020-11-04T02:28:17Z,17,1458031,6897,0.744,0.249,0.007,3680,3168,48
2020-11-04T02:29:25Z,17,1480318,22287,0.742,0.251,0.007,13620,8510,156
2020-11-04T02:31:07Z,18,1514491,34173,0.739,0.254,0.007,20812,13120,239
2020-11-04T02:32:03Z,18,1528240,13749,0.739,0.254,0.007,10160,3492,96
2020-11-04T02:32:09Z,18,1535841,7601,0.739,0.254,0.007,5617,1930,53
2020-11-04T02:32:37Z,19,1575106,39265,0.738,0.255,0.007,27441,11548,274
2020-11-04T02:34:27Z,19,1576049,943,0.738,0.255,0.007,695,240,6
2020-11-04T02:36:37Z,19,1581504,5455,0.736,0.257,0.007,862,4554,38
2020-11-04T02:37:10Z,19,1603163,21659,0.737,0.256,0.007,17544,3963,151
2020-11-04T02:38:07Z,19,1630894,27731,0.735,0.258,0.007,17175,10360,194
2020-11-04T02:38:54Z,20,1669413,38519,0.73,0.262,0.008,19964,16615,1939
2020-11-04T02:40:58Z,20,1671936,2523,0.73,0.263,0.007,1841,2332,-1651
2020-11-04T02:42:08Z,20,1686872,14936,0.728,0.265,0.007,7529,7301,104
2020-11-04T02:42:41Z,20,1708530,21658,0.728,0.264,0.008,15767,4030,1860
2020-11-04T02:43:06Z,21,1737845,29315,0.728,0.264,0.008,21341,7739,234
2020-11-04T02:44:45Z,21,1743635,5790,0.727,0.265,0.008,2471,3272,46
2020-11-04T02:45:42Z,21,1762511,18876,0.724,0.268,0.008,8435,10289,151
2020-11-04T02:46:03Z,21,1777007,14496,0.725,0.267,0.008,12272,2107,115
2020-11-04T02:46:36Z,21,1794868,17861,0.724,0.269,0.007,11154,8358,-1651
2020-11-04T02:46:57Z,21,1817053,22185,0.724,0.268,0.008,16061,4150,1972
2020-11-04T02:47:45Z,21,1819217,2164,0.723,0.269,0.008,-252,2399,17
2020-11-04T02:49:05Z,21,1819292,75,0.723,0.269,0.008,54,20,0
2020-11-04T02:50:56Z,22,1820886,1594,0.723,0.269,0.008,1152,428,12
2020-11-04T02:51:51Z,22,1849391,28505,0.723,0.269,0.008,20609,7667,228
2020-11-04T02:52:29Z,22,1856264,6873,0.724,0.268,0.008,6825,-7,54
2020-11-04T02:52:52Z,23,1928238,71974,0.712,0.28,0.008,28970,42427,575
2020-11-04T02:53:00Z,23,1933893,5655,0.711,0.28,0.009,2092,1583,1979
2020-11-04T02:53:16Z,23,1945482,11589,0.712,0.28,0.008,10185,3244,-1841
2020-11-04T02:54:54Z,25,2130833,185351,0.714,0.277,0.009,136231,45505,3613
2020-11-04T02:56:35Z,25,2145811,14978,0.713,0.278,0.009,8548,6294,134
2020-11-04T02:57:03Z,26,2159304,13493,0.714,0.278,0.008,11779,3751,-2037
2020-11-04T02:57:40Z,26,2174066,14762,0.714,0.278,0.008,10540,4103,118
2020-11-04T02:57:59Z,26,2181833,7767,0.714,0.278,0.008,5545,2159,62
2020-11-04T02:58:26Z,27,2243951,62118,0.706,0.286,0.008,26400,35220,496
2020-11-04T03:01:12Z,27,2268325,24374,0.704,0.287,0.009,12671,9239,2463
2020-11-04T03:01:23Z,27,2305825,37500,0.702,0.289,0.009,21788,15374,337
2020-11-04T03:02:05Z,27,2319170,13345,0.702,0.289,0.009,9368,3856,120
2020-11-04T03:04:03Z,29,2435721,116551,0.691,0.3,0.009,55025,60476,1048
2020-11-04T03:06:32Z,29,2451583,15862,0.692,0.299,0.009,13412,2307,142
2020-11-04T03:06:59Z,29,2460786,9203,0.692,0.299,0.009,6368,2751,82
2020-11-04T03:07:02Z,29,2472021,11235,0.692,0.299,0.009,7774,3359,101
2020-11-04T03:07:43Z,30,2548811,76790,0.684,0.306,0.01,32748,40801,3239
2020-11-04T03:11:02Z,30,2558240,9429,0.685,0.306,0.008,9007,2885,-5022
2020-11-04T03:12:08Z,30,2574221,15981,0.684,0.306,0.01,8372,4890,5276
2020-11-04T03:12:33Z,31,2587049,12828,0.684,0.307,0.008,8774,6512,-5045
2020-11-04T03:12:46Z,31,2595069,8020,0.684,0.306,0.01,5485,-132,5254
2020-11-04T03:15:56Z,31,2599321,4252,0.684,0.306,0.01,2908,1301,42
2020-11-04T03:16:59Z,31,2611554,12233,0.685,0.306,0.008,10978,3743,-5100
2020-11-04T03:17:36Z,31,2627132,15578,0.684,0.307,0.008,8043,7394,124
2020-11-04T03:18:07Z,31,2632720,5588,0.683,0.307,0.01,1189,1715,5310
2020-11-04T03:19:14Z,32,2730051,97331,0.674,0.316,0.01,41906,54451,973
2020-11-04T03:19:35Z,33,2801890,71839,0.668,0.322,0.01,31608,39512,718
2020-11-04T03:19:43Z,34,2905829,103939,0.656,0.333,0.01,34561,65432,1039
2020-11-04T03:20:41Z,35,2977376,71547,0.649,0.34,0.01,26093,44666,715
2020-11-04T03:22:16Z,35,2978149,773,0.649,0.34,0.01,501,262,7
2020-11-04T03:23:20Z,35,2983503,5354,0.648,0.341,0.01,491,4803,53
2020-11-04T03:24:08Z,35,2992043,8540,0.648,0.34,0.012,5533,-79,6069
2020-11-04T03:24:23Z,35,2999878,7835,0.649,0.34,0.01,8076,2663,-5905
2020-11-04T03:24:59Z,36,3011920,12042,0.649,0.34,0.01,7815,4094,120
2020-11-04T03:26:46Z,37,3159733,147813,0.643,0.346,0.011,76972,69214,4637
2020-11-04T03:27:12Z,37,3160635,902,0.643,0.346,0.011,579,312,9
2020-11-04T03:27:34Z,37,3171885,11250,0.643,0.346,0.011,7233,3892,123
2020-11-04T03:28:08Z,38,3186694,14809,0.643,0.346,0.011,9522,5123,162
2020-11-04T03:29:41Z,40,3393063,206369,0.632,0.356,0.012,95371,105334,5663
2020-11-04T03:30:12Z,40,3400766,7703,0.633,0.356,0.011,8269,2742,-3308
2020-11-04T03:31:39Z,40,3402104,1338,0.633,0.356,0.011,846,476,14
2020-11-04T03:32:42Z,40,3427443,25339,0.632,0.356,0.012,12612,9020,3706
2020-11-04T03:33:03Z,41,3434384,6941,0.633,0.356,0.011,7821,2470,-3351
2020-11-04T03:36:15Z,41,3462702,28318,0.629,0.359,0.012,4074,20469,3774
2020-11-04T03:37:17Z,41,3491763,29061,0.63,0.359,0.011,21771,10432,-3143
2020-11-04T03:39:39Z,41,3499865,8102,0.63,0.358,0.012,5104,-591,3588
2020-11-04T03:41:06Z,41,3502493,2628,0.63,0.358,0.012,1655,940,31
2020-11-04T03:42:50Z,42,3514956,12463,0.63,0.358,0.012,7851,4461,149
2020-11-04T03:42:59Z,42,3535180,20224,0.63,0.358,0.012,12741,7240,242
2020-11-04T03:45:57Z,42,3535586,406,0.63,0.358,0.012,255,145,4
2020-11-04T03:47:01Z,42,3549265,13679,0.631,0.358,0.011,12167,4897,-3385
2020-11-04T03:47:36Z,42,3561464,12199,0.631,0.358,0.011,7697,4367,134
2020-11-04T03:47:56Z,42,3569962,8498,0.631,0.357,0.012,5362,-527,3663
2020-11-04T03:51:48Z,42,3571364,1402,0.631,0.357,0.012,884,500,16
2020-11-04T03:52:02Z,42,3583538,12174,0.631,0.357,0.012,7681,4346,146
2020-11-04T03:52:20Z,52,4424720,841182,0.599,0.388,0.013,389194,437468,14518
2020-11-04T03:53:17Z,52,4437888,13168,0.599,0.389,0.012,7887,9547,-4266
2020-11-04T03:54:07Z,53,4445188,7300,0.6,0.388,0.012,8817,-1605,87
2020-11-04T03:55:33Z,53,4451714,6526,0.599,0.389,0.012,-536,6983,78
2020-11-04T03:55:54Z,53,4452913,1199,0.599,0.389,0.012,718,466,14
2020-11-04T03:56:43Z,53,4460869,7956,0.599,0.389,0.012,4765,3094,95
2020-11-04T03:57:01Z,56,4739424,278555,0.595,0.393,0.012,147896,127315,3342
2020-11-04T03:57:34Z,56,4749708,10284,0.595,0.392,0.013,6118,-708,4873
2020-11-04T03:58:10Z,56,4756991,7283,0.595,0.392,0.013,4333,2854,94
2020-11-04T03:59:42Z,56,4758368,1377,0.595,0.392,0.013,819,539,17
2020-11-04T04:00:24Z,57,4810658,52290,0.592,0.395,0.013,16680,34929,679
2020-11-04T04:01:30Z,57,4811288,630,0.592,0.395,0.013,372,248,8
2020-11-04T04:01:47Z,57,4833507,22219,0.591,0.396,0.013,8320,13610,288
2020-11-04T04:02:09Z,57,4844596,11089,0.591,0.396,0.013,6553,4391,144
2020-11-04T04:03:49Z,58,4873823,29227,0.591,0.396,0.013,17273,11573,379
2020-11-04T04:05:29Z,58,4908057,34234,0.59,0.397,0.013,15324,18464,445
2020-11-04T04:06:26Z,58,4933265,25208,0.589,0.399,0.012,9939,19874,-4605
2020-11-04T04:07:05Z,58,4934258,993,0.589,0.398,0.013,584,-4538,4946
2020-11-04T04:07:47Z,58,4944056,9798,0.589,0.398,0.013,5771,3899,127
2020-11-04T04:08:27Z,59,4956151,12095,0.589,0.398,0.013,7123,4813,157
2020-11-04T04:09:47Z,59,4977730,21579,0.588,0.399,0.013,7732,13566,280
2020-11-04T04:11:05Z,59,4979216,1486,0.588,0.399,0.013,873,592,19
2020-11-04T04:11:47Z,59,4979379,163,0.588,0.399,0.013,95,65,2
