anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 19:24:22,0,15,0.067,0.933,0,15,1,13,0,
false,2020-11-03 19:44:21,0,363,0.234,0.766,0,348,83,264,0,
false,2020-11-03 19:44:48,0,618,0.371,0.629,0,255,144,110,0,
false,2020-11-03 20:18:50,45,2687918,0.562,0.428,0.01,2687300,1510380,1150040,26879,
false,2020-11-03 20:20:12,55,3289832,0.558,0.431,0.01,601914,325116,267488,6019,
false,2020-11-03 20:23:24,60,3542888,0.541,0.448,0.01,253056,80976,169296,2530,
false,2020-11-03 20:26:21,60,3556494,0.54,0.449,0.01,13606,3804,9651,136,
false,2020-11-03 20:26:40,60,3556515,0.54,0.449,0.01,21,11,9,0,
false,2020-11-03 20:28:47,60,3556561,0.54,0.449,0.01,46,24,20,0,
false,2020-11-03 20:29:09,62,3659190,0.539,0.449,0.012,102629,51760,46080,8344,
false,2020-11-03 20:29:47,62,3659255,0.539,0.449,0.012,65,35,29,0,
false,2020-11-03 20:32:13,65,3861173,0.531,0.458,0.01,201918,77944,125411,-5299,
false,2020-11-03 20:33:45,65,3861199,0.531,0.458,0.01,26,13,11,0,
false,2020-11-03 20:35:13,66,3912908,0.53,0.459,0.01,51709,23544,27595,517,
false,2020-11-03 20:38:11,66,3932585,0.528,0.461,0.01,19677,2563,16896,196,
false,2020-11-03 20:38:29,66,3932957,0.528,0.461,0.01,372,196,171,3,
false,2020-11-03 20:39:32,66,3934623,0.528,0.461,0.01,1666,879,768,16,
false,2020-11-03 20:40:24,66,3934670,0.528,0.461,0.01,47,24,21,0,
false,2020-11-03 20:41:13,67,3985448,0.526,0.463,0.01,50778,18839,31379,507,
false,2020-11-03 20:43:23,67,3985506,0.526,0.463,0.01,58,30,26,0,
false,2020-11-03 20:44:13,68,4005782,0.525,0.464,0.01,20276,6659,13393,202,
false,2020-11-03 20:45:19,68,4020983,0.524,0.465,0.01,15201,3959,11074,152,
false,2020-11-03 20:46:13,68,4021020,0.524,0.465,0.01,37,19,17,0,
false,2020-11-03 20:48:15,70,4128066,0.521,0.468,0.01,107046,43707,62160,1070,
false,2020-11-03 20:52:20,72,4258113,0.519,0.47,0.011,130047,59238,69378,5558,
false,2020-11-03 20:55:15,73,4309844,0.517,0.472,0.011,51731,18228,32933,569,
