anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 20:46:50,7,26709,0.433,0.535,0.032,26709,11564,14289,854,
false,2020-11-03 21:15:46,9,36526,0.388,0.58,0.032,9817,2607,6895,314,
false,2020-11-03 21:17:51,18,72084,0.485,0.48,0.035,35558,20788,13415,1354,
false,2020-11-03 21:29:03,18,72896,0.481,0.484,0.035,812,102,681,28,
false,2020-11-03 21:37:08,19,75274,0.473,0.491,0.036,2378,541,1677,158,
false,2020-11-03 21:38:29,22,85384,0.45,0.515,0.034,10110,2818,7013,193,
false,2020-11-03 21:39:52,22,87691,0.442,0.523,0.034,2307,336,1889,78,
false,2020-11-03 21:41:08,23,89439,0.437,0.528,0.034,1748,325,1361,59,
false,2020-11-03 21:47:52,24,93242,0.425,0.54,0.034,3803,543,3126,129,
false,2020-11-03 21:49:53,25,97448,0.42,0.544,0.036,4206,1300,2661,337,
false,2020-11-03 21:52:36,28,111370,0.399,0.566,0.035,13922,3508,10023,389,
false,2020-11-03 21:52:49,29,113683,0.398,0.566,0.036,2313,809,1309,194,
false,2020-11-03 21:56:47,29,116214,0.393,0.571,0.036,2531,426,2013,91,
false,2020-11-03 21:59:33,30,120356,0.386,0.579,0.035,4142,785,3327,28,
false,2020-11-03 22:01:42,31,124147,0.394,0.571,0.035,3791,2456,1201,132,
false,2020-11-03 22:03:28,33,128711,0.388,0.577,0.035,4564,1025,3378,159,
false,2020-11-03 22:07:43,34,135404,0.381,0.584,0.035,6693,1649,4809,234,
false,2020-11-03 22:11:48,36,140782,0.375,0.591,0.034,5378,1204,4126,47,
false,2020-11-03 22:18:15,40,157056,0.361,0.605,0.034,16274,3903,11816,553,
false,2020-11-03 22:19:26,40,159574,0.359,0.607,0.034,2518,589,1842,85,
false,2020-11-03 22:22:57,43,168290,0.351,0.616,0.033,8716,1782,6805,128,
false,2020-11-03 22:29:54,53,210747,0.344,0.624,0.032,42457,13427,27839,1190,
false,2020-11-03 22:32:22,54,212631,0.342,0.625,0.032,1884,222,1388,60,
false,2020-11-03 22:39:07,54,213897,0.341,0.626,0.032,1266,219,1005,40,
false,2020-11-03 22:40:31,54,215207,0.34,0.627,0.032,1310,231,1035,41,
false,2020-11-03 22:42:05,55,217829,0.338,0.629,0.032,2622,455,2079,83,
false,2020-11-03 22:48:20,56,220272,0.339,0.629,0.032,2443,1046,1536,78,
false,2020-11-03 22:54:16,56,221335,0.338,0.63,0.032,1063,139,889,34,
false,2020-11-03 22:58:32,58,227463,0.331,0.636,0.032,6128,479,5225,196,
false,2020-11-03 23:03:13,58,229950,0.329,0.638,0.032,2487,363,2041,79,
false,2020-11-03 23:09:34,58,230343,0.329,0.639,0.032,393,129,481,12,
false,2020-11-03 23:13:55,63,246946,0.322,0.645,0.032,16603,3733,12090,531,
false,2020-11-03 23:18:21,63,249274,0.321,0.647,0.032,2328,500,2000,74,
false,2020-11-03 23:18:32,63,250641,0.32,0.648,0.032,1367,188,1135,43,
false,2020-11-03 23:21:28,65,256676,0.32,0.648,0.032,6035,1931,3910,193,
false,2020-11-03 23:29:32,65,257884,0.319,0.649,0.032,1208,128,1040,38,
false,2020-11-03 23:38:07,73,290174,0.314,0.654,0.032,32290,8849,22407,1033,
false,2020-11-03 23:47:09,74,290600,0.314,0.654,0.032,426,133,278,13,
false,2020-11-03 23:58:07,85,335695,0.324,0.643,0.032,45095,17516,25799,1443,
false,2020-11-04 00:22:17,86,339837,0.324,0.644,0.032,4142,1342,3003,132,
false,2020-11-04 00:32:38,87,342797,0.324,0.644,0.032,2960,959,1906,94,
false,2020-11-04 01:35:52,87,344144,0.323,0.645,0.032,1347,92,1211,43,
false,2020-11-04 02:30:51,88,348689,0.32,0.648,0.032,4545,421,3977,145,
false,2020-11-04 02:55:51,89,353338,0.318,0.65,0.032,4649,781,3719,148,
false,2020-11-04 03:25:50,90,354716,0.318,0.65,0.032,1378,438,895,44,
false,2020-11-04 04:36:50,90,356435,0.317,0.651,0.032,1719,190,1473,55,
false,2020-11-04 05:00:51,90,357082,0.317,0.651,0.032,647,205,421,20,
false,2020-11-04 06:06:49,91,361279,0.317,0.65,0.032,4197,1330,2370,134,
false,2020-11-08 11:33:05,99,361279,0.317,0.65,0.032,0,0,0,0,
false,2020-11-09 11:05:45,99,361283,0.317,0.65,0.032,4,1,2,0,
false,2020-11-09 11:40:41,99,361288,0.317,0.65,0.032,5,1,3,0,
false,2020-11-09 11:46:40,99,361291,0.317,0.65,0.032,3,0,1,0,
false,2020-11-09 11:55:41,99,361336,0.317,0.65,0.032,45,14,29,1,
false,2020-11-09 12:00:42,99,361356,0.317,0.65,0.032,20,6,13,0,
false,2020-11-09 12:20:45,99,361401,0.317,0.65,0.032,45,14,29,1,
false,2020-11-09 12:30:40,99,361456,0.317,0.65,0.032,55,17,35,1,
false,2020-11-09 12:35:42,99,361460,0.317,0.65,0.032,4,1,2,0,
true,2020-11-09 12:41:13,99,361272,0.317,0.651,0.032,-188,-59,239,-6,Total -188 votes
false,2020-11-09 12:50:45,99,361285,0.317,0.651,0.032,13,4,8,0,
false,2020-11-09 12:55:40,99,361288,0.317,0.651,0.032,3,0,1,0,
false,2020-11-09 13:05:45,99,361291,0.317,0.651,0.032,3,0,1,0,
false,2020-11-09 13:35:42,99,361296,0.317,0.651,0.032,5,1,3,0,
false,2020-11-09 13:55:52,99,361298,0.317,0.651,0.032,2,0,1,0,
false,2020-11-09 14:10:40,99,361307,0.317,0.651,0.032,9,2,5,0,
false,2020-11-09 14:15:42,99,361336,0.317,0.651,0.032,29,9,18,0,
false,2020-11-09 14:25:40,99,361346,0.317,0.651,0.032,10,3,6,0,
false,2020-11-09 14:50:43,99,361356,0.317,0.651,0.032,10,3,6,0,
false,2020-11-09 15:00:47,99,361443,0.317,0.651,0.032,87,27,56,2,
false,2020-11-09 15:10:45,99,361446,0.317,0.651,0.032,3,0,1,0,
false,2020-11-09 15:16:41,99,361456,0.317,0.651,0.032,10,3,6,0,
false,2020-11-09 15:20:42,99,361652,0.318,0.65,0.032,196,423,-234,6,
false,2020-11-09 15:30:42,99,361659,0.318,0.65,0.032,7,2,4,0,
false,2020-11-09 15:36:42,99,361666,0.318,0.65,0.032,7,2,4,0,
false,2020-11-09 15:46:41,99,361695,0.318,0.65,0.032,29,9,18,0,
false,2020-11-09 16:10:41,99,361705,0.318,0.65,0.032,10,3,6,0,
false,2020-11-09 16:20:41,99,361719,0.318,0.65,0.032,14,4,9,0,
false,2020-11-09 16:26:41,99,361735,0.318,0.65,0.032,16,5,10,0,
true,2020-11-09 16:28:06,99,361485,0.318,0.651,0.03,-250,-79,198,-730,Total -250 votes
true,2020-11-09 16:29:02,99,361242,0.318,0.651,0.03,-243,-77,-158,-7,Total -243 votes
false,2020-11-09 16:55:39,99,361255,0.318,0.651,0.03,13,4,8,0,
false,2020-11-09 17:01:39,99,361269,0.318,0.651,0.03,14,4,9,0,
false,2020-11-09 17:11:40,99,361277,0.318,0.651,0.03,8,2,5,0,
false,2020-11-09 17:25:38,99,361565,0.318,0.651,0.03,288,91,187,8,
false,2020-11-09 18:05:38,99,361566,0.318,0.651,0.03,1,0,0,0,
false,2020-11-09 18:21:38,99,361567,0.318,0.651,0.03,1,0,0,0,
false,2020-11-09 18:25:39,99,361622,0.318,0.651,0.03,55,17,35,1,
false,2020-11-09 18:31:39,99,361625,0.318,0.651,0.03,3,0,1,0,
false,2020-11-09 18:45:38,99,361656,0.318,0.651,0.03,31,9,20,0,
false,2020-11-12 15:51:55,99,361808,0.318,0.651,0.03,152,48,98,4,
