anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 19:39:55,0,32,0.719,0.281,0,32,23,8,0,
false,2020-11-03 19:42:17,2,127970,0.519,0.47,0.011,127938,66393,60136,1407,
false,2020-11-03 19:43:31,8,484511,0.685,0.304,0.01,356541,265473,87145,3437,
false,2020-11-03 19:44:11,8,484914,0.684,0.305,0.01,403,-208,607,4,
false,2020-11-03 19:44:56,17,1064902,0.656,0.333,0.01,579988,366894,206713,5799,
false,2020-11-03 19:47:56,18,1162372,0.644,0.345,0.011,97470,49991,46405,2137,
false,2020-11-03 19:50:54,20,1241332,0.628,0.361,0.011,78960,30988,47102,868,
false,2020-11-03 19:54:39,22,1365736,0.601,0.388,0.011,124404,41250,81784,1368,
false,2020-11-03 19:56:54,24,1520222,0.604,0.385,0.011,154486,97406,55379,1699,
false,2020-11-03 19:59:59,28,1788599,0.597,0.391,0.012,268377,149579,114056,4740,
false,2020-11-03 20:01:19,28,1788606,0.597,0.391,0.012,7,4,2,0,
false,2020-11-03 20:02:57,31,1926471,0.585,0.404,0.011,137865,59187,78949,-272,
false,2020-11-03 20:05:59,34,2130108,0.569,0.419,0.012,203637,85045,114220,4370,
false,2020-11-03 20:09:05,36,2299455,0.56,0.429,0.01,169347,75663,93950,-2566,
false,2020-11-03 20:10:28,36,2299466,0.56,0.429,0.01,11,6,4,0,
false,2020-11-03 20:11:56,40,2508560,0.564,0.424,0.012,209094,127126,77158,7108,
false,2020-11-03 20:14:57,41,2598118,0.556,0.432,0.012,89558,29725,58757,1074,
false,2020-11-03 20:15:24,41,2598336,0.556,0.432,0.012,218,121,94,2,
false,2020-11-03 20:16:33,41,2598505,0.556,0.432,0.012,169,93,73,2,
false,2020-11-03 20:17:49,41,2598829,0.556,0.432,0.012,324,180,139,3,
false,2020-11-03 20:19:09,42,2656931,0.553,0.435,0.012,58102,24333,33070,697,
false,2020-11-03 20:20:46,42,2656958,0.553,0.435,0.012,27,14,11,0,
false,2020-11-03 20:21:00,42,2667579,0.552,0.436,0.012,10621,3205,7287,127,
false,2020-11-03 20:22:45,42,2667689,0.552,0.436,0.012,110,60,47,1,
false,2020-11-03 20:23:58,42,2667923,0.552,0.436,0.012,234,129,102,2,
false,2020-11-03 20:26:57,42,2676979,0.551,0.437,0.012,9056,2321,6625,108,
false,2020-11-03 20:27:40,42,2677003,0.551,0.437,0.012,24,13,10,0,
false,2020-11-03 20:29:58,44,2784133,0.545,0.443,0.012,107130,42323,63520,1285,
false,2020-11-03 20:31:31,44,2784136,0.545,0.443,0.012,3,1,1,0,
false,2020-11-03 20:32:55,44,2789194,0.544,0.444,0.012,5058,-32,5029,60,
false,2020-11-03 20:36:02,49,3067024,0.553,0.435,0.012,277830,178742,95753,3333,
false,2020-11-03 20:37:38,49,3067046,0.553,0.435,0.012,22,12,9,0,
false,2020-11-03 20:37:55,49,3067538,0.553,0.435,0.012,492,272,214,5,
false,2020-11-03 20:38:41,49,3067565,0.553,0.435,0.012,27,14,11,0,
false,2020-11-03 20:42:18,49,3116212,0.55,0.438,0.012,48647,17553,30510,583,
false,2020-11-03 20:42:55,49,3116571,0.55,0.438,0.012,359,197,157,4,
false,2020-11-03 20:44:56,49,3125729,0.549,0.439,0.012,9158,1911,7136,109,
false,2020-11-03 20:45:53,50,3126697,0.549,0.439,0.012,968,531,424,11,
false,2020-11-03 20:47:57,50,3128759,0.549,0.439,0.012,2062,1132,905,24,
false,2020-11-03 20:51:21,50,3178124,0.545,0.443,0.012,49365,14388,34383,592,
false,2020-11-03 20:52:20,50,3182583,0.545,0.443,0.012,4459,2430,1975,53,
false,2020-11-03 20:53:41,50,3182658,0.545,0.443,0.012,75,40,33,0,
false,2020-11-03 20:53:57,51,3232884,0.541,0.447,0.012,50226,14441,35181,602,
false,2020-11-03 20:55:43,52,3261756,0.539,0.449,0.012,28872,9096,19429,346,
false,2020-11-03 20:55:57,52,3261763,0.539,0.449,0.012,7,3,3,0,
false,2020-11-03 20:59:32,52,3306684,0.537,0.451,0.012,44921,17599,26782,539,
false,2020-11-03 20:59:53,52,3312505,0.536,0.451,0.012,5821,-186,2625,69,
false,2020-11-03 21:01:17,53,3349728,0.534,0.454,0.012,37223,13252,26836,446,
false,2020-11-03 21:03:04,54,3393061,0.531,0.457,0.012,43333,12960,29852,519,
false,2020-11-03 21:03:53,54,3396904,0.53,0.457,0.012,3843,-1356,1756,46,
false,2020-11-03 21:04:21,54,3400079,0.53,0.457,0.012,3175,1682,1450,38,
false,2020-11-03 21:04:53,54,3401875,0.53,0.457,0.012,1796,951,820,21,
false,2020-11-03 21:05:21,54,3402024,0.53,0.457,0.012,149,78,68,1,
false,2020-11-03 21:06:50,55,3486290,0.523,0.464,0.012,84266,20256,62913,1011,
false,2020-11-03 21:10:58,57,3599234,0.52,0.467,0.012,112944,48272,63203,1355,
false,2020-11-03 21:12:31,57,3629657,0.517,0.47,0.013,30423,4930,25096,3994,
false,2020-11-03 21:15:18,58,3676078,0.514,0.474,0.012,46421,12971,36522,-3072,
