time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T07:02:20Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:12:18Z,2,31010,31010,0.229,0.757,0.014,7101,23474,434
2020-11-04T01:12:56Z,3,48564,17554,0.318,0.667,0.014,8342,8917,245
2020-11-04T01:13:20Z,7,111687,63123,0.363,0.622,0.015,25099,37077,995
2020-11-04T01:15:56Z,7,116084,4397,0.367,0.618,0.015,2060,2270,65
2020-11-04T01:16:56Z,8,125570,9486,0.369,0.615,0.016,3732,5485,267
2020-11-04T01:17:55Z,8,136836,11266,0.368,0.615,0.017,4020,6928,317
2020-11-04T01:19:57Z,9,143268,6432,0.366,0.618,0.016,2080,4385,-33
2020-11-04T01:20:57Z,9,144352,1084,0.366,0.618,0.016,396,669,17
2020-11-04T01:21:57Z,9,149107,4755,0.364,0.62,0.016,1442,3236,76
2020-11-04T01:23:56Z,10,155203,6096,0.368,0.616,0.016,2839,3158,97
2020-11-04T01:24:58Z,11,171978,16775,0.362,0.622,0.016,5141,11365,268
2020-11-04T01:25:56Z,11,186564,14586,0.36,0.623,0.017,4907,9259,419
2020-11-04T01:27:59Z,12,192491,5927,0.356,0.628,0.016,1363,4654,-91
2020-11-04T01:29:02Z,13,213939,21448,0.356,0.627,0.017,7635,13255,557
2020-11-04T01:29:57Z,14,221533,7594,0.357,0.626,0.017,2924,4539,129
2020-11-04T01:31:58Z,20,328852,107319,0.444,0.538,0.018,66923,38242,2153
2020-11-04T01:32:58Z,20,332408,3556,0.441,0.541,0.018,581,2910,64
2020-11-04T01:33:58Z,21,339031,6623,0.438,0.544,0.018,1903,4600,119
2020-11-04T01:35:01Z,21,345548,6517,0.434,0.547,0.018,1472,4581,117
2020-11-04T01:36:59Z,21,349489,3941,0.433,0.549,0.018,1360,2854,70
2020-11-04T01:37:59Z,22,353986,4497,0.43,0.551,0.018,885,3176,80
2020-11-04T01:38:59Z,22,358196,4210,0.427,0.554,0.018,735,3394,75
2020-11-04T01:40:58Z,25,409202,51006,0.451,0.53,0.018,31600,18436,918
2020-11-04T01:41:59Z,26,416416,7214,0.447,0.534,0.018,1587,5489,129
2020-11-04T01:43:01Z,27,442466,26050,0.448,0.533,0.018,12086,13468,468
2020-11-04T01:44:58Z,28,448452,5986,0.445,0.536,0.018,1336,4535,107
2020-11-04T01:46:03Z,29,473619,25167,0.442,0.539,0.018,9778,14910,453
2020-11-04T01:47:01Z,30,485087,11468,0.438,0.542,0.02,3128,7636,1176
2020-11-04T01:49:01Z,30,495591,10504,0.432,0.548,0.02,1627,8666,210
2020-11-04T01:49:59Z,31,508541,12950,0.43,0.55,0.02,4577,8113,259
2020-11-04T01:51:05Z,33,535641,27100,0.427,0.553,0.02,10046,16511,542
2020-11-04T01:52:59Z,34,549694,14053,0.422,0.557,0.02,3252,9970,281
2020-11-04T01:54:00Z,34,560325,10631,0.419,0.561,0.02,2805,8162,212
2020-11-04T01:55:04Z,35,576581,16256,0.414,0.565,0.021,3928,11425,901
2020-11-04T01:57:03Z,36,591858,15277,0.41,0.569,0.021,3957,10998,320
2020-11-04T01:58:01Z,37,602808,10950,0.406,0.574,0.02,2078,9244,-372
2020-11-04T01:58:55Z,37,610479,7671,0.405,0.574,0.021,2503,4403,763
2020-11-04T01:59:04Z,38,625380,14901,0.4,0.58,0.02,2908,12305,-312
2020-11-04T02:00:01Z,39,636981,11601,0.396,0.583,0.021,2092,8639,869
2020-11-04T02:02:08Z,41,665515,28534,0.392,0.587,0.021,8637,19297,599
2020-11-04T02:03:01Z,41,673874,8359,0.39,0.589,0.021,1928,6254,175
2020-11-04T02:03:22Z,43,695531,21657,0.387,0.591,0.022,6359,14147,1150
2020-11-04T02:04:03Z,44,711174,15643,0.385,0.594,0.021,4631,11378,-367
2020-11-04T02:06:11Z,45,728252,17078,0.381,0.597,0.022,3662,12329,1086
2020-11-04T02:07:11Z,46,757219,28967,0.38,0.599,0.021,10279,18807,-119
2020-11-04T02:08:20Z,47,773468,16249,0.376,0.602,0.022,3080,12053,1114
2020-11-04T02:10:14Z,49,790829,17361,0.374,0.605,0.021,4946,12823,-408
2020-11-04T02:11:02Z,49,802804,11975,0.372,0.607,0.021,2873,8850,251
2020-11-04T02:12:02Z,49,804117,1313,0.371,0.607,0.022,-315,796,831
2020-11-04T02:14:05Z,52,839939,35822,0.365,0.613,0.022,8250,26783,788
2020-11-04T02:15:02Z,53,863228,23289,0.362,0.616,0.022,5910,16865,512
2020-11-04T02:17:04Z,54,876079,12851,0.359,0.619,0.022,2023,10544,282
2020-11-04T02:20:14Z,58,940220,64141,0.355,0.623,0.022,19265,43464,1411
2020-11-04T02:23:49Z,61,988834,48614,0.349,0.628,0.023,11324,35230,2058
2020-11-04T02:24:03Z,61,993571,4737,0.349,0.629,0.022,1653,3968,-884
2020-11-04T02:24:39Z,62,1005767,12196,0.346,0.632,0.022,1239,10688,268
2020-11-04T02:28:21Z,63,1031207,25440,0.344,0.634,0.022,6739,18140,559
2020-11-04T02:29:07Z,64,1038039,6832,0.342,0.635,0.022,274,5369,150
2020-11-04T02:29:23Z,64,1040981,2942,0.342,0.636,0.022,1006,2909,64
2020-11-04T02:32:46Z,65,1066520,25539,0.341,0.637,0.022,7667,17309,561
2020-11-04T02:34:41Z,66,1081873,15353,0.34,0.638,0.022,4153,10861,337
2020-11-04T02:34:54Z,68,1116370,34497,0.336,0.642,0.022,7263,26474,758
2020-11-04T02:38:34Z,70,1144602,28232,0.333,0.644,0.022,6052,20414,621
2020-11-04T02:39:53Z,71,1150099,5497,0.333,0.644,0.022,1830,3540,120
2020-11-04T02:40:14Z,71,1155186,5087,0.333,0.645,0.022,1693,4431,111
2020-11-04T02:40:30Z,72,1165527,10341,0.331,0.646,0.022,1112,7835,227
2020-11-04T02:42:34Z,72,1169112,3585,0.332,0.646,0.022,2355,2315,78
2020-11-04T02:44:27Z,73,1187003,17891,0.331,0.647,0.022,4752,12744,393
2020-11-04T02:44:33Z,73,1193646,6643,0.33,0.648,0.022,1005,5491,146
2020-11-04T02:47:27Z,74,1203671,10025,0.33,0.648,0.022,3308,6496,220
2020-11-04T02:47:31Z,75,1214801,11130,0.329,0.648,0.022,2458,7212,244
2020-11-04T02:48:30Z,75,1218008,3207,0.329,0.648,0.022,1055,2078,70
2020-11-04T02:51:28Z,75,1227349,9341,0.329,0.649,0.022,3073,7280,205
2020-11-04T02:53:00Z,76,1238493,11144,0.328,0.649,0.022,2427,7232,245
2020-11-04T02:57:00Z,77,1248927,10434,0.327,0.651,0.022,2173,9269,229
2020-11-04T02:57:08Z,77,1259619,10692,0.327,0.65,0.022,3496,5700,235
2020-11-04T02:58:25Z,78,1268134,8515,0.326,0.651,0.022,1516,6802,187
2020-11-04T02:59:33Z,79,1288737,20603,0.326,0.651,0.022,6716,13412,453
2020-11-04T03:00:32Z,79,1292450,3713,0.325,0.652,0.022,-82,3709,81
2020-11-04T03:01:55Z,79,1293214,764,0.325,0.652,0.022,248,498,16
2020-11-04T03:02:47Z,80,1299246,6032,0.325,0.652,0.022,1960,3932,132
2020-11-04T03:04:33Z,80,1306323,7077,0.324,0.653,0.022,993,5920,155
2020-11-04T03:05:08Z,80,1306927,604,0.324,0.653,0.022,195,394,13
2020-11-04T03:06:34Z,81,1317274,10347,0.324,0.653,0.022,3352,6756,227
2020-11-04T03:07:22Z,81,1322734,5460,0.324,0.653,0.022,1769,3565,120
2020-11-04T03:09:31Z,81,1325896,3162,0.324,0.654,0.022,1024,3390,69
2020-11-04T03:11:02Z,81,1328167,2271,0.324,0.654,0.022,735,1485,49
2020-11-04T03:11:30Z,82,1330107,1940,0.323,0.654,0.022,-701,1268,42
2020-11-04T03:13:08Z,82,1333177,3070,0.323,0.654,0.022,991,2007,67
2020-11-04T03:15:09Z,83,1356102,22925,0.323,0.654,0.022,7404,14992,504
2020-11-04T03:16:31Z,83,1356932,830,0.323,0.654,0.022,268,542,18
2020-11-04T03:19:22Z,83,1357084,152,0.323,0.654,0.022,49,99,3
2020-11-04T03:21:22Z,84,1363493,6409,0.323,0.654,0.022,2070,4191,140
2020-11-04T03:25:24Z,84,1370204,6711,0.323,0.654,0.022,2167,4388,147
2020-11-04T03:26:19Z,84,1370636,432,0.323,0.654,0.022,139,282,9
2020-11-04T03:27:15Z,84,1372970,2334,0.323,0.654,0.022,753,1526,51
2020-11-04T03:29:12Z,85,1378077,5107,0.323,0.654,0.022,1649,3339,112
2020-11-04T03:33:44Z,85,1389945,11868,0.323,0.654,0.022,3833,7761,261
2020-11-04T03:37:06Z,85,1391175,1230,0.323,0.654,0.022,397,804,27
2020-11-04T03:37:46Z,86,1408924,17749,0.323,0.654,0.022,5732,11607,390
2020-11-04T03:39:08Z,87,1423999,15075,0.323,0.654,0.022,4869,9859,331
2020-11-04T03:43:00Z,88,1432933,8934,0.323,0.654,0.022,2885,5842,196
2020-11-04T03:47:20Z,88,1439096,6163,0.323,0.654,0.022,1990,4030,135
2020-11-04T03:48:20Z,88,1441584,2488,0.323,0.654,0.022,803,1627,54
2020-11-04T03:52:50Z,89,1450943,9359,0.324,0.653,0.022,4473,4669,205
2020-11-04T03:53:36Z,89,1452284,1341,0.324,0.653,0.022,434,875,29
2020-11-04T03:54:29Z,89,1453823,1539,0.324,0.653,0.022,498,1004,33
2020-11-04T04:00:23Z,89,1454731,908,0.324,0.653,0.022,294,592,19
2020-11-04T04:00:52Z,90,1465230,10499,0.324,0.653,0.022,3401,6855,230
2020-11-04T04:06:31Z,91,1476243,11013,0.324,0.653,0.022,3568,7191,242
2020-11-04T04:07:48Z,91,1477989,1746,0.324,0.653,0.022,565,1140,38
2020-11-04T04:09:35Z,91,1479041,1052,0.324,0.653,0.022,340,686,23
2020-11-04T04:12:16Z,91,1480156,1115,0.324,0.653,0.022,361,728,24
2020-11-04T04:16:39Z,92,1496934,16778,0.324,0.652,0.024,5436,9459,3362
2020-11-04T04:22:53Z,92,1497683,749,0.324,0.652,0.024,242,488,17
2020-11-04T04:23:32Z,93,1520914,23231,0.324,0.653,0.022,7526,16667,-2484
2020-11-04T04:26:17Z,94,1524958,4044,0.324,0.653,0.022,1310,2640,88
2020-11-04T04:28:05Z,94,1526212,1254,0.324,0.653,0.022,406,818,27
2020-11-04T04:32:36Z,94,1529235,3023,0.324,0.653,0.022,979,1974,66
2020-11-04T04:37:04Z,94,1532124,2889,0.324,0.653,0.022,936,1886,63
2020-11-04T04:44:33Z,94,1532627,503,0.324,0.653,0.022,162,328,11
2020-11-04T04:54:32Z,94,1533321,694,0.324,0.653,0.022,224,453,15
2020-11-04T05:10:11Z,94,1537356,4035,0.323,0.653,0.024,-230,2634,3163
2020-11-04T05:13:28Z,95,1551152,13796,0.323,0.654,0.022,4456,10559,-2771
2020-11-04T05:21:47Z,95,1553729,2577,0.323,0.654,0.022,832,1685,56
2020-11-04T05:39:21Z,95,1554390,661,0.323,0.654,0.022,213,432,14
2020-11-04T05:42:56Z,95,1555980,1590,0.323,0.654,0.022,513,1039,34
2020-11-04T05:52:40Z,96,1557764,1784,0.323,0.654,0.022,576,1166,39
2020-11-04T05:59:53Z,96,1557811,47,0.323,0.654,0.022,15,30,1
2020-11-04T06:30:53Z,96,1558619,808,0.323,0.654,0.022,260,528,17
2020-11-04T06:33:52Z,96,1558627,8,0.323,0.654,0.022,2,5,0
2020-11-07T00:29:02Z,96,1560699,2072,0.323,0.654,0.022,669,1355,45
2020-11-08T16:37:11Z,99,1560699,0,0.323,0.654,0.022,0,0,0
