time,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other
2020-11-04T10:01:24Z,0,0,0,0,1,0,0,0,0
2020-11-04T04:07:31Z,1,29562,0.574,0.404,0.022,29562,16968,11943,650
2020-11-04T04:09:48Z,19,423330,0.793,0.183,0.024,393768,318732,65526,9509
2020-11-04T04:11:37Z,24,543126,0.722,0.253,0.025,119796,56436,59941,3418
2020-11-04T04:13:25Z,29,670062,0.682,0.293,0.024,126936,64845,58917,2503
2020-11-04T04:13:51Z,30,674636,0.679,0.296,0.024,4574,1095,3364,109
2020-11-04T04:14:58Z,30,678445,0.676,0.299,0.024,3809,550,3162,91
2020-11-04T04:19:14Z,30,679445,0.675,0.3,0.024,1000,-3,978,24
2020-11-04T04:20:21Z,39,890397,0.659,0.314,0.026,210952,128146,75751,6843
2020-11-04T04:23:42Z,41,940337,0.661,0.312,0.026,49940,34791,13800,1298
2020-11-04T04:23:51Z,43,990159,0.644,0.329,0.026,49822,16099,32377,1295
2020-11-04T04:23:59Z,45,1027591,0.638,0.335,0.026,37432,17940,18480,973
2020-11-04T04:24:19Z,53,1209147,0.631,0.342,0.026,181556,107368,69285,4720
2020-11-04T04:25:23Z,53,1214179,0.63,0.343,0.026,5032,1961,2935,130
2020-11-04T04:29:07Z,54,1228669,0.627,0.346,0.027,14490,5442,8656,1605
2020-11-04T04:30:35Z,83,1902602,0.59,0.385,0.025,673933,352159,307382,14390
2020-11-04T04:36:25Z,83,1902668,0.59,0.385,0.025,66,38,25,1
2020-11-04T04:37:19Z,83,1903754,0.589,0.385,0.026,1086,-1263,418,1930
2020-11-04T04:37:37Z,83,1903823,0.589,0.385,0.026,69,40,26,1
2020-11-04T04:40:07Z,83,1906803,0.588,0.385,0.027,2980,-151,1147,1984
2020-11-04T04:43:33Z,86,1955038,0.583,0.39,0.027,48235,18586,28345,1302
2020-11-04T05:01:34Z,86,1969724,0.583,0.391,0.026,14686,8561,7697,-1573
2020-11-04T05:05:30Z,86,1971636,0.583,0.39,0.027,1912,1114,-1224,2021
2020-11-04T05:16:37Z,86,1976089,0.582,0.391,0.027,4453,620,3712,120
2020-11-04T05:33:19Z,87,1979771,0.582,0.391,0.027,3682,2142,1439,99
2020-11-04T05:34:36Z,87,1979815,0.582,0.391,0.027,44,25,17,1
2020-11-04T05:43:41Z,88,2001437,0.583,0.389,0.028,21622,14585,4451,2585
2020-11-04T05:47:07Z,88,2002432,0.583,0.39,0.027,995,580,2389,-1974
2020-11-04T06:02:17Z,88,2013330,0.583,0.39,0.027,10898,6353,4250,294
2020-11-04T06:15:50Z,88,2018188,0.582,0.39,0.028,4858,814,1894,2149
2020-11-04T06:28:26Z,88,2018935,0.582,0.39,0.028,747,434,291,20
2020-11-04T06:30:53Z,89,2029375,0.581,0.392,0.027,10440,4046,8130,-1737
2020-11-04T06:31:54Z,89,2031155,0.581,0.391,0.028,1780,1034,-1333,2079
2020-11-04T06:46:21Z,89,2031251,0.581,0.391,0.028,96,55,37,2
2020-11-04T06:51:57Z,89,2038238,0.58,0.392,0.028,6987,2021,4770,195
2020-11-04T06:59:53Z,90,2056346,0.579,0.393,0.028,18108,8446,9154,507
2020-11-04T07:00:40Z,90,2059948,0.578,0.394,0.028,3602,25,3475,100
2020-11-04T07:20:55Z,91,2073767,0.579,0.393,0.028,13819,10061,3370,386
2020-11-04T07:36:54Z,91,2074307,0.579,0.393,0.028,540,312,212,15
2020-11-04T08:20:13Z,91,2080372,0.578,0.393,0.029,6065,1431,2383,2250
2020-11-04T08:20:48Z,91,2082402,0.578,0.394,0.028,2030,1173,2880,-2023
2020-11-04T08:21:36Z,92,2099301,0.578,0.394,0.028,16899,9767,6658,473
2020-11-04T08:45:19Z,92,2102966,0.577,0.394,0.029,3665,15,1444,2205
2020-11-04T08:46:00Z,93,2123141,0.574,0.397,0.029,20175,5271,14318,585
2020-11-04T09:00:54Z,93,2128156,0.573,0.398,0.029,5015,750,4119,145
2020-11-04T09:01:52Z,93,2128499,0.573,0.398,0.029,343,196,136,9
2020-11-04T09:30:49Z,94,2149109,0.574,0.396,0.03,20610,13958,3904,2746
2020-11-04T10:01:10Z,94,2152374,0.574,0.397,0.029,3265,1874,3445,-2054
2020-11-04T10:01:50Z,94,2152714,0.574,0.397,0.029,340,195,134,9
2020-11-04T10:30:53Z,94,2157772,0.573,0.397,0.03,5058,745,2008,2304
2020-11-04T10:31:50Z,94,2157971,0.573,0.397,0.03,199,114,79,5
2020-11-04T11:15:50Z,95,2168430,0.572,0.398,0.03,10459,3824,6320,313
2020-11-04T14:45:51Z,95,2168957,0.572,0.398,0.03,527,301,209,15
2020-11-04T16:30:53Z,95,2169016,0.572,0.398,0.03,59,33,23,1
2020-11-04T16:31:50Z,95,2169018,0.572,0.398,0.03,2,1,0,0
2020-11-04T19:46:51Z,95,2178046,0.571,0.399,0.03,9028,2985,5771,270
2020-11-05T02:01:52Z,97,2226125,0.569,0.401,0.03,48079,23000,23635,1442
2020-11-05T20:01:38Z,97,2236796,0.569,0.401,0.03,10671,6071,4279,320
2020-11-06T02:00:40Z,97,2298062,0.566,0.403,0.031,61266,27966,29163,4136
2020-11-06T20:00:40Z,97,2305016,0.566,0.403,0.031,6954,3935,2802,215
2020-11-07T14:00:51Z,97,2328364,0.565,0.405,0.03,23348,10886,14065,-1604
2020-11-07T14:02:37Z,97,2334762,0.565,0.404,0.031,6398,3614,256,2526
2020-11-10T20:01:01Z,98,2340808,0.565,0.404,0.031,6046,3415,2442,187
2020-11-11T02:00:55Z,98,2343914,0.566,0.404,0.03,3106,4098,1254,-2247
2020-11-11T02:01:50Z,98,2349283,0.565,0.403,0.032,5369,689,-180,4859
2020-11-12T20:00:48Z,98,2350637,0.565,0.403,0.032,1354,765,545,43
2020-11-13T02:01:49Z,98,2351850,0.565,0.404,0.031,1213,685,2840,-2313
