time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,note
2020-11-03 19:19:27,0,77,0.571,0.429,0,43,33,0,77,43,33,0,
2020-11-03 19:42:45,0,11,0.636,0.364,0,6,4,0,-66,-36,-29,0,Total -66 Biden -36 Trump -29
2020-11-03 20:03:44,0.01,64535,0.799,0.188,0.012,51563,12132,774,64524,51556,12128,774,
2020-11-03 20:14:19,0.01,86353,0.772,0.216,0.012,66664,18652,1036,21818,15101,6519,261,
2020-11-03 20:14:26,0.02,120261,0.764,0.225,0.011,91879,27058,1322,33908,25214,8406,286,
2020-11-03 20:15:31,0.03,195481,0.831,0.16,0.009,162444,31276,1759,75220,70565,4218,436,
2020-11-03 20:15:55,0.03,211317,0.828,0.163,0.009,174970,34444,1901,15836,12525,3167,142,
2020-11-03 20:17:19,0.03,219166,0.822,0.169,0.009,180154,37039,1972,7849,5183,2594,70,
2020-11-03 20:24:10,0.03,219258,0.821,0.169,0.01,180010,37054,2192,92,-143,15,220,
2020-11-03 20:26:57,0.04,301969,0.841,0.151,0.008,253955,45597,2415,82711,73945,8542,223,
2020-11-03 20:29:03,0.04,306881,0.836,0.155,0.009,256552,47566,2761,4912,2596,1969,346,
2020-11-03 20:31:11,0.06,436908,0.587,0.407,0.006,256464,177821,2621,130027,-87,130255,-140,
2020-11-03 20:32:56,0.07,476287,0.604,0.39,0.006,287677,185751,2857,39379,31212,7930,236,
2020-11-03 20:35:04,0.07,503027,0.608,0.385,0.007,305840,193665,3521,26740,18163,7913,663,
2020-11-03 20:36:16,0.08,557915,0.632,0.361,0.007,352602,201407,3905,54888,46761,7741,384,
2020-11-03 20:36:55,0.08,559431,0.632,0.361,0.007,353560,201954,3916,1516,958,547,10,
2020-11-03 20:37:50,0.08,564800,0.631,0.363,0.006,356388,205022,3388,5369,2828,3067,-527,
2020-11-03 20:38:49,0.09,678741,0.656,0.337,0.006,445254,228735,4072,113941,88865,23713,683,
2020-11-03 20:40:56,0.1,688010,0.655,0.337,0.008,450646,231859,5504,9269,5392,3123,1431,
2020-11-03 20:44:56,0.1,694151,0.651,0.342,0.006,451892,237399,4164,6141,1245,5540,-1339,Other -1339
2020-11-03 20:46:00,0.1,694271,0.651,0.342,0.006,451970,237440,4165,120,78,41,0,
2020-11-03 20:47:01,0.1,695628,0.65,0.343,0.006,452158,238600,4173,1357,187,1159,8,
2020-11-03 20:48:56,0.1,696058,0.65,0.343,0.006,452437,238747,4176,430,279,147,2,
2020-11-03 20:49:47,0.1,701106,0.649,0.343,0.008,455017,240479,5608,5048,2580,1731,1432,
2020-11-03 20:50:58,0.1,715357,0.641,0.351,0.008,458543,251090,5722,14251,3526,10610,114,
2020-11-03 20:51:36,0.13,955161,0.685,0.308,0.006,654285,294189,5730,239804,195741,43099,8,
2020-11-03 20:52:56,0.13,959453,0.683,0.31,0.006,655306,297430,5756,4292,1021,3240,25,
2020-11-03 20:54:55,0.13,963987,0.681,0.311,0.008,656475,299799,7711,4534,1168,2369,1955,
2020-11-03 20:57:01,0.14,977045,0.681,0.311,0.008,665367,303860,7816,13058,8892,4061,104,
2020-11-03 20:58:08,0.14,980230,0.68,0.313,0.006,666556,306811,5881,3185,1188,2950,-1934,Other -1934
2020-11-03 20:59:15,0.14,1020864,0.669,0.323,0.008,682958,329739,8166,40634,16401,22927,2285,
2020-11-03 20:59:44,0.14,1020920,0.669,0.323,0.008,682995,329757,8167,56,37,18,0,
2020-11-03 20:59:54,0.14,1025783,0.668,0.324,0.008,685223,332353,8206,4863,2227,2596,38,
2020-11-03 21:00:34,0.14,1025811,0.668,0.324,0.008,685241,332362,8206,28,18,9,0,
2020-11-03 21:01:18,0.14,1031614,0.668,0.324,0.008,689118,334242,8252,5803,3876,1880,46,
2020-11-03 21:02:21,0.14,1033161,0.667,0.325,0.008,689118,335777,8265,1547,0,1534,12,
2020-11-03 21:03:01,0.15,1052706,0.661,0.331,0.008,695838,348445,8421,19545,6720,12668,156,
2020-11-03 21:04:59,0.15,1057287,0.659,0.334,0.006,696752,353133,6343,4581,913,4688,-2077,Other -2077
2020-11-03 21:05:29,0.15,1059524,0.658,0.335,0.006,697166,354940,6357,2237,414,1806,13,
2020-11-03 21:05:59,0.15,1069005,0.658,0.334,0.008,703405,357047,8552,9481,6238,2107,2194,
2020-11-03 21:07:00,0.15,1073486,0.656,0.336,0.008,704206,360691,8587,4481,801,3643,35,
2020-11-03 21:08:57,0.15,1083296,0.651,0.341,0.008,705225,369403,8666,9810,1018,8712,78,
2020-11-03 21:10:32,0.15,1087107,0.65,0.342,0.008,706619,371790,8696,3811,1393,2386,30,
2020-11-03 21:11:01,0.15,1106477,0.643,0.349,0.008,711464,386160,8851,19370,4845,14369,154,
2020-11-03 21:13:11,0.16,1111586,0.641,0.351,0.008,712526,390166,8892,5109,1061,4006,40,
2020-11-03 21:14:32,0.16,871782,0.592,0.399,0.009,516094,347841,7846,-239804,-196431,-42325,-1046,Total -239804 Biden -196431 Trump -42325 Other -1046
2020-11-03 21:14:56,0.16,877724,0.59,0.402,0.008,517857,352845,7021,5942,1762,5004,-824,
2020-11-03 21:16:43,0.16,888907,0.586,0.406,0.008,520899,360896,7111,11183,3042,8051,89,
2020-11-03 21:17:03,0.16,774021,0.689,0.301,0.01,533300,232980,7740,-114886,12400,-127915,628,Total -114886 Trump -127915
2020-11-03 21:17:32,0.16,781428,0.685,0.306,0.008,535278,239116,6251,7407,1977,6136,-1488,Other -1488
2020-11-03 21:18:59,0.18,1288475,0.677,0.299,0.024,872297,385254,30923,507047,337019,146137,24671,
2020-11-03 21:19:33,0.18,1288604,0.677,0.299,0.024,872384,385292,30926,129,87,38,3,
2020-11-03 21:21:59,0.19,1325632,0.664,0.312,0.024,880219,413597,31815,37028,7834,28304,888,
2020-11-03 21:22:45,0.19,739443,0.627,0.363,0.01,463630,268417,7394,-586189,-416588,-145179,-24420,Total -586189 Biden -416588 Trump -145179 Other -24420
2020-11-03 21:23:32,0.19,779178,0.629,0.361,0.01,490102,281283,7791,39735,26472,12865,397,
2020-11-03 21:24:00,0.19,786831,0.625,0.364,0.011,491769,286406,8655,7653,1666,5123,863,
2020-11-03 21:24:33,0.19,789060,0.624,0.366,0.01,492373,288795,7890,2229,604,2389,-764,
2020-11-03 21:24:41,0.19,796833,0.622,0.367,0.011,495630,292437,8765,7773,3256,3641,874,
2020-11-03 21:25:14,0.19,805891,0.619,0.371,0.01,498846,298985,8058,9058,3216,6547,-706,
2020-11-03 21:27:12,0.19,826032,0.61,0.38,0.01,503879,313892,8260,20141,5032,14906,201,
2020-11-03 21:29:18,0.19,843633,0.605,0.384,0.011,510397,323955,9279,17601,6518,10062,1019,
2020-11-03 21:29:31,0.19,847907,0.603,0.386,0.011,511287,327292,9326,4274,889,3337,47,
2020-11-03 21:30:54,0.19,848033,0.603,0.386,0.011,511363,327340,9328,126,75,48,1,
2020-11-03 21:31:27,0.19,856034,0.599,0.391,0.01,512764,334709,8560,8001,1400,7368,-768,
2020-11-03 21:31:58,0.19,872558,0.602,0.387,0.011,525279,337679,9598,16524,12515,2970,1037,
2020-11-03 21:32:09,0.19,888822,0.597,0.391,0.012,530626,347529,10665,16264,5346,9849,1067,
2020-11-03 21:32:54,0.19,902116,0.594,0.394,0.012,535856,355433,10825,13294,5230,7904,159,
2020-11-03 21:33:27,0.19,902152,0.594,0.394,0.012,535878,355447,10825,36,21,14,0,
2020-11-03 21:34:54,0.19,949266,0.575,0.413,0.012,545827,392046,11391,47114,9949,36598,565,
2020-11-03 21:35:23,0.19,949342,0.575,0.413,0.012,545871,392078,11392,76,43,31,0,
2020-11-03 21:36:06,0.19,961574,0.57,0.418,0.012,548097,401937,11538,12232,2225,9859,146,
2020-11-03 21:37:14,0.19,982386,0.563,0.425,0.012,553083,417514,11788,20812,4986,15576,249,
2020-11-03 21:38:07,0.19,993848,0.56,0.428,0.012,556554,425366,11926,11462,3471,7852,137,
2020-11-03 21:38:19,0.19,994006,0.559,0.428,0.012,555649,425434,11928,158,-905,67,1,
2020-11-03 21:39:32,0.19,1004180,0.555,0.432,0.012,557319,433805,12050,10174,1670,8371,122,
2020-11-03 21:39:53,0.19,1012346,0.552,0.435,0.012,558814,440370,12148,8166,1495,6564,97,
2020-11-03 21:40:21,0.19,1019160,0.552,0.435,0.012,562576,443334,12229,6814,3761,2964,81,
2020-11-03 21:40:30,0.19,1026928,0.551,0.436,0.012,565837,447740,12323,7768,3261,4406,93,
2020-11-03 21:41:08,0.19,1103356,0.537,0.45,0.012,592502,496510,13240,76428,26664,48769,917,
2020-11-03 21:41:23,0.19,1125611,0.532,0.455,0.012,598825,512153,13507,22255,6322,15642,267,
2020-11-03 21:42:28,0.19,1130997,0.53,0.457,0.012,599428,516865,13571,5386,603,4712,64,
2020-11-03 21:42:46,0.19,1138662,0.527,0.459,0.014,600074,522645,15941,7665,646,5780,2369,
2020-11-03 21:47:35,0.19,1143344,0.526,0.461,0.012,601398,527081,13720,4682,1324,4435,-2221,Other -2221
2020-11-03 21:47:57,0.19,1145446,0.525,0.461,0.014,601359,528050,16036,2102,-39,969,2316,
2020-11-03 21:48:30,0.19,1145639,0.525,0.461,0.014,601460,528139,16038,193,101,88,2,
2020-11-03 21:49:26,0.19,1145739,0.525,0.461,0.014,601512,528185,16040,100,52,46,1,
2020-11-03 21:49:43,0.19,1185670,0.517,0.47,0.013,612991,557264,15413,39931,11478,29079,-626,
2020-11-03 21:50:45,0.19,1186088,0.517,0.47,0.013,613207,557461,15419,418,216,196,5,
2020-11-03 21:51:19,0.19,1211989,0.515,0.472,0.013,624174,572058,15755,25901,10966,14597,336,
2020-11-03 21:51:28,0.19,1291913,0.5,0.487,0.013,645956,629161,16794,79924,21782,57102,1039,
2020-11-03 21:52:11,0.19,1291950,0.5,0.487,0.013,645975,629179,16795,37,18,18,0,
2020-11-03 21:53:55,0.19,1300528,0.498,0.489,0.013,647662,635958,16906,8578,1687,6778,111,
2020-11-03 21:55:22,0.19,1348610,0.491,0.496,0.013,662167,668910,17531,48082,14504,32952,625,
2020-11-03 21:55:34,0.19,1350287,0.49,0.497,0.013,661640,671092,17553,1677,-526,2182,21,
2020-11-03 21:56:40,0.19,1390907,0.484,0.503,0.013,673198,699626,18081,40620,11558,28533,528,
2020-11-03 21:56:56,0.19,1391141,0.484,0.503,0.013,673312,699743,18084,234,113,117,3,
2020-11-03 21:57:03,0.2,1394458,0.484,0.504,0.012,674917,702806,16733,3317,1605,3062,-1351,
2020-11-03 21:57:16,0.2,1403920,0.482,0.506,0.012,676689,710383,16847,9462,1771,7576,113,
2020-11-03 21:58:43,0.2,1418881,0.478,0.509,0.013,678225,722210,18445,14961,1535,11826,1598,
2020-11-03 21:59:28,0.2,1422981,0.477,0.51,0.013,678761,725720,18498,4100,536,3509,53,
2020-11-03 22:00:54,0.2,1423030,0.477,0.51,0.013,678785,725745,18499,49,23,24,0,
2020-11-03 22:01:47,0.2,1424568,0.477,0.51,0.013,679518,726529,18519,1538,733,784,19,
2020-11-03 22:02:17,0.2,1428904,0.477,0.51,0.013,681587,728741,18575,4336,2068,2211,56,
2020-11-03 22:03:39,0.21,1474989,0.473,0.513,0.014,697669,756669,20649,46085,16082,27928,2074,
2020-11-03 22:03:59,0.21,1522869,0.471,0.516,0.013,717271,785800,19797,47880,19601,29131,-852,
2020-11-03 22:04:31,0.22,1584703,0.479,0.508,0.013,759072,805029,20601,61834,41801,19228,803,
2020-11-03 22:04:53,0.22,1584731,0.479,0.508,0.013,759086,805043,20601,28,13,14,0,
2020-11-03 22:05:47,0.22,1600675,0.476,0.511,0.013,761921,817944,20808,15944,2835,12901,207,
2020-11-03 22:06:01,0.23,1614372,0.472,0.515,0.013,761983,831401,20986,13697,62,13456,178,
2020-11-03 22:06:54,0.23,1652038,0.468,0.519,0.012,773153,857407,19824,37666,11170,26006,-1162,
2020-11-03 22:08:40,0.23,1658111,0.467,0.52,0.012,774337,862217,19897,6073,1184,4809,72,
2020-11-03 22:08:53,0.23,1662405,0.466,0.521,0.012,774680,866113,19948,4294,342,3895,51,
2020-11-03 22:09:00,0.23,1677599,0.464,0.522,0.014,778405,875706,23486,15194,3725,9593,3537,
2020-11-03 22:10:10,0.24,1704839,0.465,0.522,0.012,792750,889925,20458,27240,14344,14219,-3028,Other -3028
2020-11-03 22:11:07,0.24,1715144,0.463,0.524,0.012,794111,898735,20581,10305,1361,8809,123,
2020-11-03 22:11:30,0.24,1715200,0.463,0.524,0.012,794137,898764,20582,56,25,29,0,
2020-11-03 22:11:51,0.25,1759522,0.457,0.53,0.012,804101,932546,21114,44322,9963,33781,531,
2020-11-03 22:12:12,0.25,1765944,0.456,0.531,0.012,805270,937716,21191,6422,1168,5169,77,
2020-11-03 22:12:51,0.25,1766074,0.456,0.531,0.012,805329,937785,21192,130,59,69,1,
2020-11-03 22:13:18,0.25,1766286,0.455,0.531,0.014,803660,937897,24728,212,-1669,112,3535,
2020-11-03 22:13:49,0.25,1768309,0.455,0.531,0.014,804580,938972,24756,2023,920,1074,28,
2020-11-03 22:14:32,0.25,1768360,0.455,0.531,0.014,804603,938999,24757,51,23,27,0,
2020-11-03 22:15:47,0.25,1783181,0.454,0.533,0.012,809564,950435,21398,14821,4960,11436,-3358,Other -3358
2020-11-03 22:16:36,0.26,1890649,0.467,0.52,0.012,882933,983137,22687,107468,73368,32702,1289,
2020-11-03 22:18:15,0.26,1892468,0.467,0.52,0.012,883782,984083,22709,1819,849,945,21,
2020-11-03 22:18:47,0.27,1953191,0.466,0.52,0.014,910187,1015659,27344,60723,26404,31575,4635,
2020-11-03 22:20:11,0.28,2015531,0.466,0.521,0.012,939237,1050091,24186,62340,29050,34432,-3158,Other -3158
2020-11-03 22:21:21,0.28,2034760,0.464,0.523,0.012,944128,1064179,24417,19229,4891,14087,230,
2020-11-03 22:23:32,0.29,2069036,0.462,0.525,0.012,955894,1086243,24828,34276,11765,22064,411,
2020-11-03 22:24:04,0.29,2089998,0.461,0.525,0.014,963489,1097248,29259,20962,7594,11005,4431,
2020-11-03 22:24:08,0.29,2103363,0.46,0.527,0.012,967546,1108472,25240,13365,4057,11223,-4019,Other -4019
2020-11-03 22:25:03,0.3,2121972,0.458,0.529,0.012,971863,1122523,25463,18609,4316,14050,223,
2020-11-03 22:25:22,0.3,2149894,0.456,0.53,0.014,980351,1139443,30098,27922,8488,16920,4634,
2020-11-03 22:25:42,0.3,2157174,0.455,0.531,0.014,981514,1145459,30200,7280,1162,6015,101,
2020-11-03 22:25:49,0.3,2157291,0.455,0.531,0.014,981567,1145521,30202,117,53,62,1,
2020-11-03 22:26:39,0.3,2157589,0.455,0.531,0.014,981702,1145679,30206,298,135,158,4,
2020-11-03 22:27:01,0.31,2183708,0.452,0.534,0.014,987036,1166100,30571,26119,5333,20420,365,
2020-11-03 22:28:55,0.31,2187823,0.453,0.534,0.012,991083,1168297,26253,4115,4047,2197,-4318,Other -4318
2020-11-03 22:29:15,0.31,2187933,0.453,0.534,0.012,991133,1168356,26255,110,49,58,1,
2020-11-03 22:29:30,0.31,2188865,0.453,0.534,0.012,991555,1168853,26266,932,422,497,11,
2020-11-03 22:31:51,0.31,2192763,0.452,0.534,0.014,991128,1170935,30698,3898,-426,2081,4432,
2020-11-03 22:32:03,0.31,2227720,0.449,0.537,0.014,1000246,1196285,31188,34957,9117,25350,489,
2020-11-03 22:33:07,0.31,2248627,0.449,0.537,0.014,1009633,1207512,31480,20907,9387,11227,292,
2020-11-03 22:33:22,0.32,2259375,0.448,0.539,0.012,1012200,1217803,27112,10748,2566,10290,-4368,Other -4368
2020-11-03 22:33:51,0.32,2262723,0.448,0.539,0.012,1013699,1219607,27152,3348,1499,1804,40,
2020-11-03 22:34:13,0.32,2266058,0.447,0.539,0.014,1012927,1221405,31724,3335,-771,1797,4572,
2020-11-03 22:34:52,0.32,2266135,0.447,0.539,0.014,1012962,1221446,31725,77,34,41,1,
2020-11-03 22:35:09,0.32,2285181,0.448,0.538,0.014,1023761,1229427,31992,19046,10798,7980,266,
2020-11-03 22:36:12,0.32,2285961,0.448,0.539,0.012,1024110,1232132,27431,780,349,2705,-4561,Other -4561
2020-11-03 22:37:38,0.32,2286231,0.448,0.538,0.014,1024231,1229992,32007,270,120,-2140,4575,
2020-11-03 22:37:58,0.32,2312729,0.445,0.541,0.014,1029164,1251186,32378,26498,4932,21194,370,
2020-11-03 22:38:24,0.32,2313842,0.445,0.541,0.014,1029659,1251788,32393,1113,495,602,15,
2020-11-03 22:39:04,0.32,2323495,0.444,0.542,0.014,1031631,1259334,32528,9653,1972,7545,135,
2020-11-03 22:40:05,0.33,2330913,0.444,0.542,0.014,1034925,1263354,32632,7418,3293,4020,103,
2020-11-03 22:40:27,0.33,2354114,0.443,0.543,0.014,1042872,1278283,32957,23201,7947,14929,324,
2020-11-03 22:42:23,0.33,2358634,0.442,0.544,0.014,1042516,1283096,33020,4520,-356,4812,63,
2020-11-03 22:43:29,0.33,2371221,0.441,0.545,0.014,1045708,1292315,33197,12587,3192,9218,176,
2020-11-03 22:43:53,0.33,2380457,0.44,0.546,0.014,1047401,1299729,33326,9236,1692,7414,129,
2020-11-03 22:44:05,0.33,2386752,0.439,0.547,0.014,1047784,1305553,33414,6295,383,5823,88,
2020-11-03 22:47:08,0.35,2531951,0.43,0.556,0.014,1088738,1407764,35447,145199,40954,102211,2032,
2020-11-03 22:47:19,0.36,2585864,0.427,0.559,0.014,1104163,1445497,36202,53913,15424,37733,754,
2020-11-03 22:48:29,0.37,2611528,0.427,0.559,0.014,1115122,1459844,36561,25664,10958,14346,359,
2020-11-03 22:49:23,0.37,2676917,0.431,0.556,0.012,1153751,1488365,32123,65389,38628,28521,-4438,Other -4438
2020-11-03 22:50:55,0.38,2729932,0.428,0.558,0.014,1168410,1523302,38219,53015,14659,34936,6096,
2020-11-03 22:51:30,0.38,2737215,0.428,0.559,0.012,1171528,1530103,32846,7283,3117,6801,-5372,Other -5372
2020-11-03 22:52:23,0.39,2772949,0.425,0.561,0.014,1178503,1555624,38821,35734,6975,25521,5974,
2020-11-03 22:52:29,0.39,2778698,0.425,0.562,0.012,1180946,1561628,33344,5749,2443,6003,-5476,Other -5476
2020-11-03 22:53:39,0.4,2828002,0.421,0.565,0.014,1190588,1597821,39592,49304,9642,36192,6247,
2020-11-03 22:55:27,0.4,2877026,0.418,0.568,0.014,1202596,1634150,40278,49024,12008,36329,686,
2020-11-03 22:56:56,0.4,2885411,0.417,0.567,0.016,1203216,1636028,46166,8385,619,1877,5888,
2020-11-03 22:57:17,0.41,2896251,0.416,0.568,0.016,1204840,1645070,46340,10840,1624,9042,173,
2020-11-03 22:57:47,0.41,2896288,0.416,0.568,0.016,1204855,1645091,46340,37,15,21,0,
2020-11-03 22:58:17,0.41,2896335,0.416,0.568,0.016,1204875,1645118,46341,47,19,26,0,
2020-11-03 22:58:58,0.41,2907375,0.416,0.568,0.016,1209468,1651388,46518,11040,4592,6270,176,
2020-11-03 22:59:08,0.41,2913293,0.416,0.568,0.016,1211929,1654750,46612,5918,2461,3361,94,
2020-11-03 22:59:27,0.41,2914454,0.416,0.568,0.016,1212412,1655409,46631,1161,482,659,18,
2020-11-03 23:00:36,0.41,2915801,0.415,0.568,0.017,1210057,1656174,49568,1347,-2355,765,2937,
2020-11-03 23:01:19,0.41,2915947,0.415,0.568,0.017,1210118,1656257,49571,146,60,82,2,
2020-11-03 23:03:27,0.41,2916993,0.415,0.568,0.017,1210552,1656852,49588,1046,434,594,17,
2020-11-03 23:04:18,0.41,2966177,0.421,0.565,0.014,1248760,1675890,41526,49184,38208,19037,-8062,Other -8062
2020-11-03 23:04:31,0.41,2966466,0.421,0.565,0.014,1248882,1676053,41530,289,121,163,4,
2020-11-03 23:04:48,0.41,2966493,0.421,0.565,0.014,1248893,1676068,41530,27,11,15,0,
2020-11-03 23:05:49,0.42,2976098,0.42,0.566,0.014,1249961,1684471,41665,9605,1067,8402,134,
2020-11-03 23:06:51,0.42,2983712,0.42,0.566,0.014,1253159,1688780,41771,7614,3197,4309,106,
2020-11-03 23:07:43,0.42,2984468,0.42,0.566,0.014,1253476,1689208,41782,756,317,427,10,
2020-11-03 23:08:51,0.42,2984522,0.426,0.56,0.014,1271406,1671332,41783,54,17929,-17876,0,Trump -17876
2020-11-03 23:10:32,0.42,3003186,0.425,0.561,0.014,1276354,1684787,42044,18664,4947,13455,261,
2020-11-03 23:11:10,0.42,3009814,0.425,0.561,0.014,1279170,1688505,42137,6628,2816,3718,92,
2020-11-03 23:12:11,0.42,3013351,0.424,0.562,0.014,1277660,1693503,42186,3537,-1510,4997,49,
2020-11-03 23:13:30,0.42,3013688,0.424,0.562,0.014,1277803,1693692,42191,337,142,189,4,
2020-11-03 23:13:45,0.42,3013968,0.424,0.562,0.014,1277922,1693850,42195,280,118,157,3,
2020-11-03 23:14:30,0.43,3104080,0.433,0.553,0.014,1344066,1716556,43457,90112,66144,22706,1261,
2020-11-03 23:15:54,0.43,3104353,0.433,0.553,0.014,1344184,1716707,43460,273,118,150,3,
2020-11-03 23:17:12,0.44,3144323,0.432,0.554,0.014,1358347,1741954,44020,39970,14162,25247,559,
2020-11-03 23:18:46,0.44,3146111,0.432,0.554,0.014,1359119,1742945,44045,1788,772,990,25,
2020-11-03 23:18:49,0.44,3159521,0.432,0.554,0.014,1364913,1750374,44233,13410,5793,7429,187,
2020-11-03 23:19:42,0.45,3218511,0.428,0.558,0.014,1377522,1795929,45059,58990,12609,45554,825,
2020-11-03 23:23:32,0.45,3238203,0.429,0.557,0.014,1389189,1803679,45334,19692,11666,7749,275,
2020-11-03 23:24:59,0.46,3262990,0.427,0.559,0.014,1393296,1824011,45681,24787,4107,20332,347,
2020-11-03 23:27:30,0.46,3272922,0.426,0.56,0.014,1394264,1832836,45820,9932,968,8824,139,
2020-11-03 23:29:23,0.46,3322292,0.426,0.56,0.014,1415296,1860483,46512,49370,21031,27647,691,
2020-11-03 23:29:46,0.47,3344760,0.426,0.56,0.014,1424867,1873065,46826,22468,9571,12582,314,
2020-11-03 23:30:46,0.48,3399734,0.422,0.564,0.014,1434687,1917449,47596,54974,9819,44384,769,
2020-11-03 23:31:14,0.48,3399767,0.422,0.564,0.014,1434701,1917468,47596,33,13,18,0,
2020-11-03 23:32:05,0.48,3425968,0.422,0.564,0.014,1445758,1932245,47963,26201,11056,14777,366,
2020-11-03 23:33:23,0.48,3446887,0.421,0.565,0.014,1451139,1947491,48256,20919,5380,15245,292,
2020-11-03 23:34:24,0.48,3466277,0.42,0.566,0.014,1455836,1961912,48527,19390,4696,14421,271,
2020-11-03 23:35:18,0.49,3468829,0.42,0.566,0.014,1456908,1963357,48563,2552,1071,1444,35,
2020-11-03 23:37:49,0.49,3483194,0.419,0.567,0.014,1459458,1974970,48764,14365,2550,11613,201,
2020-11-03 23:38:24,0.5,3540736,0.424,0.562,0.014,1501272,1989893,49570,57542,41813,14922,805,
