time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T08:39:42Z,0,0,0,0,0,1,0,0,0
2020-11-04T00:13:12Z,0,437,437,0.295,0.705,0,128,308,0
2020-11-04T00:14:44Z,0,694,257,0.396,0.604,0,145,111,0
2020-11-04T00:16:15Z,0,1919,1225,0.287,0.713,0,275,949,0
2020-11-04T00:16:31Z,0,2171,252,0.344,0.656,0,196,55,0
2020-11-04T00:18:24Z,0,2596,425,0.367,0.633,0,205,219,0
2020-11-04T00:22:53Z,0,3266,670,0.336,0.664,0,144,525,0
2020-11-04T00:24:07Z,0,3568,302,0.328,0.672,0,72,229,0
2020-11-04T00:25:48Z,0,5139,1571,0.296,0.704,0,350,1220,0
2020-11-04T00:26:01Z,0,5955,816,0.324,0.676,0,408,407,0
2020-11-04T00:27:06Z,0,7190,1235,0.296,0.704,0,198,1036,0
2020-11-04T00:29:06Z,0,7940,750,0.296,0.704,0,222,528,0
2020-11-04T00:31:28Z,0,8529,589,0.287,0.713,0,97,491,0
2020-11-04T00:32:07Z,0,10041,1512,0.296,0.704,0,524,987,0
2020-11-04T00:32:39Z,0,11385,1344,0.327,0.672,0,750,581,0
2020-11-04T00:33:53Z,0,11647,262,0.33,0.669,0,120,141,0
2020-11-04T00:35:17Z,1,13346,1699,0.351,0.648,0.001,840,856,13
2020-11-04T00:37:55Z,1,13971,625,0.352,0.648,0,233,405,-13
2020-11-04T00:39:05Z,1,18067,4096,0.351,0.647,0.002,1423,2636,36
2020-11-04T00:40:59Z,1,26352,8285,0.434,0.562,0.004,5095,3120,69
2020-11-04T00:41:20Z,1,26483,131,0.434,0.562,0.004,56,73,0
2020-11-04T00:42:03Z,1,26751,268,0.433,0.563,0.004,89,177,1
2020-11-04T00:47:41Z,1,33832,7081,0.435,0.559,0.006,3133,3851,95
2020-11-04T00:51:56Z,1,33986,154,0.436,0.559,0.004,100,86,-67
2020-11-04T00:53:56Z,3,79291,45305,0.528,0.462,0.01,27047,17634,656
2020-11-04T00:57:59Z,3,79742,451,0.527,0.464,0.008,158,367,-154
2020-11-04T00:58:36Z,3,84566,4824,0.538,0.452,0.01,3472,1223,207
2020-11-04T00:59:15Z,3,87758,3192,0.54,0.45,0.01,1892,1267,31
2020-11-04T01:00:15Z,4,89718,1960,0.54,0.451,0.008,1058,971,-159
2020-11-04T01:01:03Z,4,96514,6796,0.55,0.441,0.008,4634,2099,54
2020-11-04T01:03:35Z,5,114078,17564,0.532,0.458,0.01,7606,9685,368
2020-11-04T01:06:02Z,5,121134,7056,0.526,0.465,0.008,3026,4079,-171
2020-11-04T01:07:41Z,5,122180,1046,0.523,0.467,0.01,183,730,252
2020-11-04T01:09:21Z,5,128792,6612,0.522,0.468,0.01,3329,3216,66
2020-11-04T01:10:16Z,6,139206,10414,0.537,0.453,0.01,7524,2785,104
2020-11-04T01:13:15Z,6,147392,8186,0.537,0.449,0.014,4395,3118,671
2020-11-04T01:13:58Z,7,169487,22095,0.527,0.46,0.012,10170,11785,-29
2020-11-04T01:14:21Z,8,191945,22458,0.524,0.463,0.012,11259,10906,269
2020-11-04T01:16:18Z,8,193190,1245,0.523,0.464,0.012,459,769,14
2020-11-04T01:18:41Z,8,198551,5361,0.519,0.468,0.012,2009,3281,64
2020-11-04T01:22:08Z,8,200700,2149,0.518,0.47,0.012,914,1407,25
2020-11-04T01:22:47Z,8,211642,10942,0.512,0.476,0.012,4398,6412,131
2020-11-04T01:23:59Z,9,217127,5485,0.508,0.479,0.013,1939,3262,282
2020-11-04T01:25:54Z,9,220079,2952,0.509,0.479,0.012,1719,1414,-181
2020-11-04T01:29:13Z,9,222165,2086,0.509,0.479,0.012,1061,999,25
2020-11-04T01:29:47Z,9,225407,3242,0.505,0.482,0.013,748,2229,264
2020-11-04T01:30:13Z,9,232206,6799,0.51,0.478,0.012,4594,2348,-143
2020-11-04T01:31:46Z,9,236247,4041,0.505,0.482,0.013,879,2876,284
2020-11-04T01:31:46Z,9,236247,0,0.505,0.482,0.013,0,0,0
2020-11-04T01:33:23Z,9,237116,869,0.506,0.482,0.012,675,418,-225
2020-11-04T01:42:21Z,10,249989,12873,0.513,0.475,0.012,8263,4454,154
2020-11-04T01:44:31Z,15,376465,126476,0.474,0.513,0.013,50200,74381,1894
2020-11-04T01:44:55Z,15,382590,6125,0.469,0.518,0.013,990,5055,79
2020-11-04T01:47:57Z,15,389491,6901,0.467,0.52,0.012,2457,4353,-299
2020-11-04T01:49:58Z,15,390347,856,0.466,0.521,0.012,9,835,10
2020-11-04T01:52:03Z,16,391495,1148,0.471,0.517,0.012,2492,-967,13
2020-11-04T01:57:01Z,17,434993,43498,0.462,0.525,0.012,16572,25968,521
2020-11-04T01:57:44Z,17,440233,5240,0.459,0.528,0.012,1100,4071,62
2020-11-04T01:58:39Z,18,445928,5695,0.46,0.528,0.012,3059,3006,68
2020-11-04T02:02:08Z,20,515612,69684,0.446,0.541,0.012,24836,43496,836
2020-11-04T02:03:55Z,21,524306,8694,0.443,0.545,0.012,2304,6800,104
2020-11-04T02:08:03Z,21,533577,9271,0.442,0.545,0.012,3573,5052,111
2020-11-04T02:10:05Z,22,558966,25389,0.433,0.554,0.012,6191,18867,304
2020-11-04T02:12:42Z,24,597316,38350,0.437,0.55,0.012,18994,18856,460
2020-11-04T02:12:51Z,24,605039,7723,0.435,0.552,0.012,2164,5457,92
2020-11-04T02:13:04Z,24,606827,1788,0.435,0.552,0.012,777,986,21
2020-11-04T02:13:20Z,24,617211,10384,0.431,0.556,0.012,2048,8200,124
2020-11-04T02:16:24Z,25,619984,2773,0.431,0.556,0.012,1195,1541,33
2020-11-04T02:16:50Z,25,627542,7558,0.43,0.558,0.012,2629,5457,90
2020-11-04T02:22:26Z,27,669341,41799,0.424,0.563,0.013,13957,26670,1170
2020-11-04T02:24:20Z,27,690142,20801,0.424,0.563,0.013,8819,11710,270
