time,pct,votes,biden pct,trump pct,other pct,biden tot,trump tot,other tot,batch,biden bat,trump bat,other bat,b:t,note
2020-11-04 05:02:04,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-11-03 21:03:34,0.01,3229,0.236,0.744,0.02,762,2402,64,3229,762,2402,64,0.317,
2020-11-03 21:04:03,0.03,11017,0.27,0.707,0.023,2974,7789,253,7788,2212,5386,188,0.41,
2020-11-03 21:06:03,0.03,13598,0.287,0.69,0.023,3902,9382,312,2581,928,1593,59,0.582,
2020-11-03 21:10:27,0.03,14211,0.284,0.693,0.023,4035,9848,326,613,133,465,14,0.286,
2020-11-03 21:11:27,0.04,15599,0.279,0.698,0.023,4352,10888,358,1388,316,1039,31,0.304,
2020-11-03 21:11:57,0.04,17400,0.297,0.68,0.022,5167,11832,382,1801,815,943,24,0.864,
2020-11-03 21:17:51,0.05,20790,0.295,0.681,0.024,6133,14157,498,3390,965,2325,116,0.415,
2020-11-03 21:22:45,0.08,33614,0.359,0.617,0.024,12067,20739,806,12824,5934,6581,307,0.901,
2020-11-03 21:27:43,0.09,36853,0.35,0.625,0.025,12898,23033,921,3239,831,2293,114,0.362,
2020-11-03 21:31:17,0.12,51399,0.348,0.626,0.026,17886,32175,1336,14546,4988,9142,415,0.545,
2020-11-03 21:36:21,0.13,53475,0.347,0.627,0.026,18555,33528,1390,2076,668,1353,53,0.493,
2020-11-03 21:36:27,0.15,63508,0.348,0.626,0.026,22100,39756,1651,10033,3544,6227,260,0.569,
2020-11-03 21:39:57,0.18,75090,0.363,0.612,0.025,27257,45955,1877,11582,5156,6199,226,0.831,
2020-11-03 21:42:17,0.18,75513,0.362,0.613,0.025,27335,46289,1887,423,78,334,10,0.233,
2020-11-03 21:42:27,0.19,77891,0.359,0.615,0.026,27962,47902,2025,2378,627,1613,137,0.388,
2020-11-03 21:42:59,0.19,79255,0.356,0.618,0.026,28214,48979,2060,1364,251,1076,35,0.233,
2020-11-03 21:47:15,0.19,80388,0.355,0.619,0.026,28537,49760,2090,1133,322,780,29,0.412,
2020-11-03 21:47:34,0.2,81459,0.356,0.618,0.026,28999,50341,2117,1071,461,581,27,0.793,
2020-11-03 21:49:17,0.2,82123,0.357,0.617,0.026,29317,50669,2135,664,318,328,17,0.969,
2020-11-03 21:51:42,0.2,82299,0.357,0.617,0.026,29380,50778,2139,176,62,108,4,0.574,
2020-11-03 21:51:45,0.2,82869,0.356,0.618,0.026,29501,51213,2154,570,120,434,14,0.276,
2020-11-03 21:53:28,0.21,88095,0.352,0.622,0.026,31009,54795,2290,5226,1508,3582,135,0.42,
2020-11-03 21:55:36,0.21,88846,0.351,0.623,0.026,31184,55351,2309,751,175,555,19,0.315,
