time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T10:00:04Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:06:57Z,2,56598,56598,0.264,0.724,0.012,14941,40976,679
2020-11-04T01:07:57Z,3,76207,19609,0.258,0.73,0.012,4719,14654,235
2020-11-04T01:09:05Z,3,101623,25416,0.255,0.734,0.011,6252,18960,203
2020-11-04T01:10:00Z,4,124565,22942,0.252,0.737,0.011,5476,17213,252
2020-11-04T01:10:57Z,4,130377,5812,0.25,0.739,0.011,1203,4544,63
2020-11-04T01:12:05Z,5,140712,10335,0.246,0.743,0.011,2020,8200,113
2020-11-04T01:12:57Z,5,149743,9031,0.246,0.744,0.01,2221,6859,-50
2020-11-04T01:13:58Z,6,186335,36592,0.237,0.751,0.012,7324,28528,738
2020-11-04T01:14:57Z,7,195425,9090,0.237,0.752,0.011,2154,7022,-86
2020-11-04T01:15:38Z,7,211957,16532,0.241,0.747,0.012,4765,11372,393
2020-11-04T01:15:59Z,9,253249,41292,0.266,0.723,0.011,16282,24767,242
2020-11-04T01:16:56Z,9,253685,436,0.266,0.722,0.012,115,61,258
2020-11-04T01:18:58Z,10,293180,39495,0.267,0.721,0.012,10798,28222,473
2020-11-04T01:19:57Z,11,325756,32576,0.267,0.721,0.012,8697,23487,390
2020-11-04T01:20:59Z,12,353145,27389,0.264,0.724,0.012,6253,20806,328
2020-11-04T01:21:41Z,12,353196,51,0.264,0.724,0.012,13,36,0
2020-11-04T01:22:55Z,12,359805,6609,0.262,0.727,0.011,1025,5864,-280
2020-11-04T01:23:58Z,14,401106,41301,0.263,0.725,0.012,11221,29223,855
2020-11-04T01:24:56Z,14,406564,5458,0.262,0.726,0.012,1028,4363,65
2020-11-04T01:25:57Z,14,420639,14075,0.261,0.727,0.012,3267,10639,168
2020-11-04T01:26:57Z,15,428544,7905,0.26,0.727,0.013,1634,5746,523
2020-11-04T01:27:02Z,15,428563,19,0.26,0.727,0.013,4,13,0
2020-11-04T01:27:57Z,16,476993,48430,0.261,0.727,0.012,13068,35208,152
2020-11-04T01:28:55Z,16,477602,609,0.26,0.727,0.013,-318,442,484
2020-11-04T01:29:23Z,16,478332,730,0.26,0.727,0.013,189,530,9
2020-11-04T01:29:58Z,16,478627,295,0.26,0.727,0.013,76,214,3
2020-11-04T01:30:56Z,17,489286,10659,0.261,0.726,0.013,3260,7259,138
2020-11-04T01:32:00Z,19,547224,57938,0.259,0.728,0.013,14027,43157,753
2020-11-04T01:33:19Z,23,657641,110417,0.303,0.684,0.012,57534,51447,777
