time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T10:00:04Z,0,0,0,0,0,1,0,0,0
2020-11-04T00:34:55Z,0,7,7,0.857,0.143,0,5,1,0
2020-11-04T00:41:07Z,0,0,-7,0,0,1,-5,-1,0
2020-11-04T00:45:12Z,0,11,11,0.364,0.636,0,4,6,0
2020-11-04T00:53:56Z,0,0,-11,0,0,1,-4,-6,0
2020-11-04T01:01:47Z,3,382980,382980,0.456,0.529,0.014,174638,202596,5361
2020-11-04T01:02:14Z,10,1180385,797405,0.594,0.393,0.013,526509,261294,9983
2020-11-04T01:03:35Z,10,1208318,27933,0.587,0.4,0.013,8133,19435,363
2020-11-04T01:06:42Z,10,1212484,4166,0.585,0.401,0.014,20,2878,1266
2020-11-04T01:06:55Z,10,1218197,5713,0.583,0.403,0.014,905,4727,79
2020-11-04T01:10:38Z,23,2625107,1406910,0.571,0.416,0.013,788727,601111,17071
2020-11-04T01:12:05Z,25,2883632,258525,0.565,0.421,0.014,130315,121964,6244
2020-11-04T01:12:41Z,25,2897293,13661,0.564,0.423,0.013,4821,11545,-2706
2020-11-04T01:13:12Z,26,2983271,85978,0.561,0.426,0.012,39541,45318,-1865
2020-11-04T01:15:03Z,26,3039380,56109,0.555,0.432,0.012,13240,42138,673
2020-11-04T01:15:28Z,26,3047422,8042,0.553,0.433,0.014,-1631,6521,6191
2020-11-04T01:15:55Z,26,3047423,1,0.553,0.433,0.014,0,0,0
2020-11-04T01:16:18Z,26,3059967,12544,0.552,0.435,0.012,3876,11551,-5944
2020-11-04T01:16:35Z,32,3758725,698758,0.541,0.446,0.012,344368,345305,8385
2020-11-04T01:16:58Z,32,3763956,5231,0.54,0.447,0.012,-933,6096,62
2020-11-04T01:19:07Z,32,3780651,16695,0.539,0.448,0.012,5234,11243,200
2020-11-04T01:21:02Z,33,3855456,74805,0.535,0.452,0.012,24898,48934,897
2020-11-04T01:21:41Z,33,3882817,27361,0.532,0.455,0.012,2989,24015,328
2020-11-04T01:22:12Z,34,3958489,75672,0.526,0.46,0.014,16506,54223,8825
2020-11-04T01:23:14Z,34,3962378,3889,0.526,0.461,0.012,2045,5751,-7870
2020-11-04T01:24:45Z,34,3969258,6880,0.526,0.46,0.014,3618,-797,8021
2020-11-04T01:24:53Z,35,4067816,98558,0.523,0.464,0.012,39638,61607,-6755
2020-11-04T01:25:29Z,36,4172472,104656,0.518,0.468,0.014,33872,65250,9600
2020-11-04T01:26:10Z,37,4285497,113025,0.512,0.475,0.013,32833,82894,-2703
2020-11-04T01:28:27Z,43,4959515,674018,0.522,0.464,0.014,394692,265603,13721
2020-11-04T01:29:14Z,44,5086347,126832,0.518,0.468,0.014,45860,79195,1775
2020-11-04T01:30:57Z,45,5189426,103079,0.517,0.469,0.014,48205,53430,1443
2020-11-04T01:31:46Z,45,5219107,29681,0.516,0.47,0.014,10125,19139,415
2020-11-04T01:31:46Z,45,5219107,0,0.516,0.47,0.014,0,0,0
2020-11-04T01:32:04Z,45,5285892,66785,0.514,0.473,0.013,23889,47246,-4350
2020-11-04T01:32:37Z,47,5498636,212744,0.504,0.483,0.013,54364,155614,2765
2020-11-04T01:33:04Z,47,5498744,108,0.504,0.483,0.013,54,52,1
2020-11-04T01:33:59Z,48,5584824,86080,0.505,0.482,0.013,48969,35991,1119
2020-11-04T01:34:57Z,48,5650142,65318,0.501,0.486,0.013,10385,54083,849
2020-11-04T01:35:54Z,52,6094828,444686,0.499,0.488,0.013,210598,228307,5780
2020-11-04T01:37:15Z,53,6154990,60162,0.496,0.49,0.014,11555,41669,6937
2020-11-04T01:38:03Z,55,6414735,259745,0.495,0.492,0.013,122418,140104,-2778
2020-11-04T01:39:12Z,55,6433809,19074,0.494,0.493,0.013,3007,15818,247
2020-11-04T01:42:07Z,61,7149835,716026,0.51,0.476,0.014,468114,231453,16458
2020-11-04T01:42:46Z,62,7175487,25652,0.509,0.478,0.013,5907,26561,-6816
2020-11-04T01:42:55Z,62,7175598,111,0.508,0.478,0.014,-7119,53,7177
2020-11-04T01:43:11Z,62,7175638,40,0.508,0.478,0.014,20,19,0
