time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T09:59:44Z,0,0,0,0,0,1,0,0,0
2020-11-04T03:06:42Z,1,18130,18130,0.647,0.338,0.014,11730,6127,253
2020-11-04T03:08:27Z,27,360385,342255,0.557,0.414,0.028,189004,143071,9836
2020-11-04T03:09:49Z,27,361292,907,0.556,0.415,0.028,143,736,25
2020-11-04T03:11:12Z,29,388195,26903,0.538,0.432,0.03,7970,17764,1529
2020-11-04T03:13:54Z,34,464144,75949,0.489,0.481,0.03,18117,55553,2278
2020-11-04T03:15:50Z,34,464146,2,0.489,0.481,0.03,0,0,0
2020-11-04T03:17:31Z,34,464720,574,0.489,0.481,0.03,280,276,17
2020-11-04T03:20:44Z,45,602218,137498,0.459,0.508,0.032,49169,82396,5329
2020-11-04T03:25:59Z,45,610158,7940,0.454,0.513,0.032,593,7084,254
2020-11-04T03:28:02Z,45,610454,296,0.454,0.512,0.034,134,-458,1230
2020-11-04T03:30:12Z,45,613469,3015,0.452,0.514,0.034,141,2770,102
2020-11-04T03:33:01Z,59,799939,186470,0.415,0.545,0.04,54686,120643,11139
2020-11-04T03:37:38Z,59,799973,34,0.415,0.545,0.04,14,18,1
2020-11-04T03:40:21Z,61,830179,30206,0.406,0.554,0.039,5063,23933,378
2020-11-04T03:42:21Z,62,831255,1076,0.405,0.554,0.04,-394,596,873
2020-11-04T03:53:09Z,62,832126,871,0.405,0.555,0.039,352,1314,-797
2020-11-04T03:54:07Z,62,834579,2453,0.404,0.553,0.042,158,-307,2599
2020-11-04T03:54:33Z,62,834639,60,0.404,0.553,0.042,24,33,2
2020-11-04T03:57:20Z,67,909155,74516,0.403,0.555,0.041,29195,43025,2220
2020-11-04T04:00:19Z,68,920814,11659,0.4,0.558,0.041,1936,9233,478
2020-11-04T04:29:19Z,68,923193,2379,0.399,0.559,0.041,28,2250,97
2020-11-04T04:33:18Z,68,923305,112,0.399,0.558,0.042,44,-860,927
2020-11-04T04:33:58Z,68,923341,36,0.399,0.558,0.042,14,20,1
2020-11-04T04:44:41Z,68,924493,1152,0.399,0.559,0.041,459,1567,-876
2020-11-04T04:47:08Z,68,924684,191,0.399,0.559,0.041,76,106,7
2020-11-04T04:51:43Z,69,924805,121,0.399,0.559,0.041,48,67,4
2020-11-04T04:55:07Z,69,925636,831,0.4,0.561,0.038,1257,2315,-2742
2020-11-04T04:55:51Z,69,925863,227,0.4,0.561,0.038,90,127,8
2020-11-04T04:59:51Z,69,928569,2706,0.399,0.562,0.038,153,2446,102
2020-11-04T05:04:30Z,70,947057,18488,0.395,0.567,0.038,3588,15125,702
2020-11-04T05:08:40Z,71,957328,10271,0.392,0.569,0.039,1185,7738,1347
2020-11-04T05:19:19Z,73,983616,26288,0.388,0.577,0.035,6370,22826,-2909
2020-11-04T05:40:17Z,73,985547,1931,0.387,0.577,0.036,-236,1114,1053
2020-11-04T05:54:26Z,74,1001807,16260,0.387,0.578,0.035,6292,10383,-416
2020-11-04T05:55:01Z,74,1001928,121,0.387,0.578,0.035,46,69,4
2020-11-04T05:59:54Z,75,1010237,8309,0.386,0.578,0.036,2205,4802,1301
2020-11-04T06:07:51Z,75,1010275,38,0.386,0.578,0.036,14,21,1
2020-11-04T06:08:58Z,75,1010340,65,0.386,0.578,0.036,25,37,2
2020-11-04T06:10:53Z,75,1015583,5243,0.387,0.578,0.035,3039,3030,-826
2020-11-04T06:18:55Z,75,1016620,1037,0.386,0.578,0.036,-615,599,1052
2020-11-04T06:24:51Z,75,1016816,196,0.386,0.578,0.036,75,113,7
2020-11-04T06:25:16Z,75,1017414,598,0.386,0.578,0.036,230,345,21
2020-11-04T06:28:53Z,75,1018859,1445,0.386,0.578,0.036,557,835,52
2020-11-04T06:56:29Z,76,1023980,5121,0.386,0.577,0.037,1976,1935,1208
2020-11-04T07:03:45Z,76,1024117,137,0.386,0.577,0.037,52,79,5
2020-11-04T07:05:53Z,76,1025669,1552,0.386,0.578,0.036,599,1921,-968
2020-11-04T07:06:54Z,77,1033225,7556,0.385,0.579,0.036,1883,5400,272
2020-11-04T07:10:53Z,77,1043498,10273,0.384,0.58,0.036,2911,6991,369
2020-11-04T07:49:54Z,78,1049752,6254,0.383,0.581,0.036,1351,4677,225
2020-11-04T22:00:57Z,79,1066607,16855,0.379,0.584,0.037,2189,12992,1673
2020-11-04T22:59:58Z,80,1082513,15906,0.38,0.583,0.037,7110,8206,588
2020-11-05T23:34:24Z,86,1158744,76231,0.377,0.584,0.039,25491,45601,5138
2020-11-06T00:54:40Z,87,1172355,13611,0.375,0.585,0.04,2786,9121,1703
2020-11-06T22:01:43Z,88,1193845,21490,0.372,0.587,0.041,4477,14959,2053
2020-11-08T17:29:22Z,96,1300030,106185,0.377,0.584,0.039,46000,58430,1753
2020-11-09T14:35:59Z,97,1303775,3745,0.375,0.583,0.042,-1195,883,4057
2020-11-09T18:58:30Z,97,1303836,61,0.375,0.583,0.042,22,35,2
2020-11-09T22:04:44Z,97,1304258,422,0.375,0.583,0.042,158,246,17
2020-11-09T22:05:45Z,97,1313768,9510,0.374,0.583,0.043,2252,5544,1713
2020-11-10T15:11:59Z,99,1339814,26046,0.377,0.583,0.04,13760,15184,-2899
2020-11-10T22:02:54Z,99,1368014,28200,0.374,0.585,0.041,6527,19176,2496
2020-11-10T23:00:50Z,99,1403752,35738,0.376,0.583,0.041,16173,18099,1465
2020-11-11T23:01:49Z,99,1435687,31935,0.378,0.581,0.041,14878,15746,1309
2020-11-12T19:57:03Z,99,1444449,8762,0.378,0.58,0.042,3312,3646,1803
