anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 19:16:17,1,2396,0.627,0.373,0,2396,1502,893,0,
false,2020-11-03 19:35:09,3,9355,0.618,0.354,0.028,6959,4279,2417,261,
false,2020-11-03 19:45:08,5,19083,0.625,0.346,0.029,9728,6145,3291,291,
false,2020-11-03 19:55:06,7,25764,0.614,0.355,0.031,6681,3892,2543,245,
false,2020-11-03 20:05:08,12,42624,0.647,0.322,0.03,16860,11758,4578,480,
false,2020-11-03 20:15:09,19,69053,0.643,0.326,0.03,26429,16823,8786,792,
false,2020-11-03 20:25:12,26,91751,0.659,0.307,0.034,22698,16062,5656,1047,
false,2020-11-03 20:35:05,29,103071,0.662,0.304,0.034,11320,7769,3166,384,
false,2020-11-03 20:45:08,32,114672,0.658,0.308,0.034,11601,7221,3985,394,
false,2020-11-03 20:55:14,38,136043,0.663,0.305,0.032,21371,14742,6174,454,
false,2020-11-03 21:05:15,43,153454,0.671,0.298,0.03,17411,12771,4236,250,
false,2020-11-03 21:15:14,47,167333,0.663,0.306,0.03,13879,7974,5474,416,
false,2020-11-03 21:26:59,54,191070,0.668,0.302,0.03,23737,16692,6499,712,
false,2020-11-03 21:39:15,60,212448,0.665,0.304,0.03,21378,13643,6881,641,
false,2020-11-03 21:45:41,64,226827,0.662,0.308,0.03,14379,8881,5278,431,
false,2020-11-03 21:56:56,68,241071,0.663,0.307,0.03,14244,9670,4146,427,
false,2020-11-03 22:18:38,74,264208,0.666,0.304,0.03,23137,16132,6310,694,
false,2020-11-03 22:27:55,77,273275,0.667,0.304,0.028,9067,6311,2756,-274,
false,2020-11-03 22:38:46,80,284939,0.663,0.308,0.028,11664,6640,4685,326,
false,2020-11-03 22:48:26,81,287838,0.661,0.307,0.032,2899,1346,605,1232,
false,2020-11-03 22:51:06,82,289899,0.659,0.308,0.032,2061,782,922,65,
false,2020-11-03 22:58:14,84,298799,0.658,0.309,0.032,8900,5566,3039,284,
false,2020-11-03 22:58:35,84,298929,0.658,0.309,0.032,130,85,40,4,
false,2020-11-03 23:07:15,87,307726,0.657,0.31,0.032,8797,5480,3025,281,
false,2020-11-03 23:19:41,87,309866,0.657,0.31,0.032,2140,1405,663,68,
false,2020-11-03 23:21:36,87,309889,0.656,0.31,0.034,23,-294,7,620,
false,2020-11-03 23:28:34,89,316504,0.657,0.31,0.032,6615,4655,2050,-408,
false,2020-11-03 23:35:48,91,321970,0.657,0.31,0.032,5466,3591,1694,174,
false,2020-11-03 23:48:13,91,324782,0.657,0.31,0.032,2812,1847,871,89,
false,2020-11-03 23:58:32,92,326509,0.656,0.311,0.032,1727,808,861,55,
false,2020-11-04 00:00:31,92,326518,0.656,0.311,0.032,9,5,2,0,
false,2020-11-04 00:08:44,92,327969,0.655,0.312,0.032,1451,623,779,46,
false,2020-11-04 00:09:38,92,329662,0.655,0.312,0.032,1693,1108,528,54,
false,2020-11-04 00:13:31,92,329678,0.655,0.312,0.032,16,10,4,0,
false,2020-11-04 00:18:20,92,330992,0.655,0.312,0.032,1314,860,409,42,
false,2020-11-04 00:27:38,92,332199,0.654,0.312,0.034,1207,458,376,703,
false,2020-11-04 00:35:29,92,334027,0.653,0.314,0.032,1828,861,1238,-605,
false,2020-11-04 00:47:33,92,335176,0.653,0.314,0.032,1149,750,360,36,
false,2020-11-04 01:05:48,92,337483,0.652,0.315,0.032,2307,1168,1061,73,
false,2020-11-04 01:14:56,92,339492,0.652,0.315,0.032,2009,1309,632,64,
false,2020-11-04 01:24:56,92,340344,0.652,0.315,0.032,852,555,268,27,
false,2020-11-04 01:34:57,93,345552,0.65,0.317,0.032,5208,2704,2331,166,
false,2020-11-04 02:04:56,94,346813,0.65,0.316,0.034,1261,819,52,733,
false,2020-11-04 02:54:55,94,347292,0.65,0.316,0.034,479,311,151,16,
false,2020-11-04 07:15:56,94,348625,0.65,0.317,0.032,1333,866,769,-651,
false,2020-11-04 08:55:57,94,349164,0.65,0.317,0.032,539,350,170,17,
false,2020-11-04 09:56:01,94,349170,0.65,0.317,0.032,6,3,1,0,
false,2020-11-04 10:46:11,94,349414,0.649,0.317,0.034,244,-190,77,706,
false,2020-11-04 11:35:56,94,349443,0.649,0.317,0.034,29,18,9,0,
false,2020-11-04 11:55:58,94,349451,0.649,0.317,0.034,8,5,2,0,
false,2020-11-04 12:15:58,94,349456,0.649,0.317,0.034,5,3,1,0,
false,2020-11-04 12:35:56,94,349458,0.649,0.317,0.034,2,1,0,0,
false,2020-11-04 13:51:10,95,350017,0.649,0.317,0.034,559,362,177,19,
false,2020-11-04 14:22:20,95,350038,0.649,0.317,0.034,21,13,6,0,
false,2020-11-04 14:30:58,95,350039,0.649,0.317,0.034,1,0,0,0,
false,2020-11-04 16:51:00,95,350056,0.649,0.317,0.034,17,11,5,0,
false,2020-11-04 17:21:57,95,350078,0.649,0.317,0.034,22,14,6,0,
false,2020-11-04 19:51:56,95,350091,0.649,0.317,0.034,13,8,4,0,
false,2020-11-05 15:51:56,95,350167,0.649,0.317,0.034,76,49,24,2,
false,2020-11-05 17:30:43,95,350176,0.649,0.317,0.034,9,5,2,0,
false,2020-11-05 22:44:50,95,350178,0.649,0.317,0.034,2,1,0,0,
false,2020-11-11 12:27:22,99,366967,0.661,0.307,0.032,16789,15299,1652,-163,
false,2020-11-11 12:38:58,99,367432,0.66,0.306,0.034,465,-60,-224,749,
false,2020-11-12 13:09:10,99,367675,0.66,0.306,0.034,243,160,74,8,
false,2020-11-12 14:21:50,99,367761,0.66,0.306,0.034,86,56,26,2,
