time,pct,votes,"share
biden","share
trump","share
other","votes
biden","votes
trump","votes
other",batch size,"batch
biden","batch
trump","batch
other",note
2020-11-03 19:07:32,0,2349,0.461,0.533,0.006,1082,1252,14,2349,1082,1252,14,
2020-11-03 19:11:27,0,2681,0.518,0.477,0.005,1388,1278,13,332,305,26,0,
2020-11-03 19:12:14,0,3259,0.478,0.515,0.007,1557,1678,22,578,169,399,9,
2020-11-03 19:14:02,0,3664,0.436,0.558,0.006,1597,2044,21,405,39,366,0,
2020-11-03 19:15:04,0,7386,0.302,0.689,0.009,2230,5088,66,3722,633,3044,44,
2020-11-03 19:16:00,0,7902,0.3,0.69,0.01,2370,5452,79,516,140,363,12,
2020-11-03 19:20:51,1,28918,0.366,0.612,0.022,10583,17697,636,21016,8213,12245,557,
2020-11-03 19:21:36,1,29819,0.366,0.612,0.022,10913,18249,656,901,329,551,19,
2020-11-03 19:24:25,2,90359,0.337,0.646,0.016,30450,58371,1445,60540,19537,40122,789,
2020-11-03 19:25:04,2,100347,0.331,0.652,0.016,33214,65426,1605,9988,2763,7054,159,
2020-11-03 19:26:06,2,101496,0.329,0.654,0.016,33392,66378,1623,1149,177,952,18,
2020-11-03 19:30:40,2,105511,0.328,0.655,0.016,34607,69109,1688,4015,1215,2731,64,
2020-11-03 19:33:03,2,115001,0.335,0.648,0.016,38525,74520,1840,9490,3917,5410,151,
2020-11-03 19:34:01,3,118522,0.335,0.647,0.018,39704,76683,2133,3521,1179,2163,293,
2020-11-03 19:34:33,3,119251,0.335,0.648,0.016,39949,77274,1908,729,244,590,-225,Other -225
2020-11-03 19:35:14,8,370911,0.493,0.49,0.017,182859,181746,6305,251660,142910,104471,4397,
2020-11-03 19:36:02,8,376185,0.49,0.493,0.017,184330,185459,6395,5274,1471,3712,89,
2020-11-03 19:37:07,8,391190,0.482,0.502,0.016,188553,196377,6259,15005,4222,10918,-136,
2020-11-03 19:38:37,8,391750,0.482,0.502,0.016,188823,196658,6268,560,269,281,8,
2020-11-03 19:43:23,8,394507,0.48,0.503,0.017,189363,198437,6706,2757,539,1778,438,
2020-11-03 19:44:42,9,415354,0.464,0.519,0.016,192724,215568,6645,20847,3360,17131,-60,
2020-11-03 19:46:04,12,586215,0.42,0.563,0.017,246210,330039,9965,170861,53486,114470,3319,
2020-11-03 19:49:37,13,602868,0.426,0.557,0.016,256821,335797,9645,16653,10611,5758,-319,
2020-11-03 19:49:49,13,620931,0.426,0.556,0.018,264516,345237,11176,18063,7694,9440,1530,
2020-11-03 19:53:08,14,634731,0.42,0.561,0.018,266587,356084,11425,13800,2070,10846,248,
2020-11-03 19:55:08,14,646874,0.417,0.564,0.019,269746,364836,12290,12143,3159,8752,865,
2020-11-03 19:57:07,18,825352,0.403,0.578,0.019,332616,477053,15681,178478,62870,112216,3391,
2020-11-03 19:58:31,18,828295,0.402,0.579,0.019,332974,479582,15737,2943,357,2529,55,
