time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T10:01:44Z,0,0,0,0,0,1,0,0,0
2020-11-04T00:48:39Z,4,30211,30211,0.535,0.446,0.018,16162,13474,543
2020-11-04T01:03:20Z,4,34425,4214,0.508,0.474,0.018,1325,2843,75
2020-11-04T01:04:36Z,4,34543,118,0.506,0.472,0.022,-9,-13,140
2020-11-04T01:13:51Z,5,41188,6645,0.48,0.5,0.02,2291,4289,63
2020-11-04T01:16:07Z,7,53771,12583,0.456,0.525,0.018,4749,7635,144
2020-11-04T01:19:01Z,10,75713,21942,0.421,0.56,0.018,7355,14169,394
2020-11-04T01:23:59Z,11,84834,9121,0.418,0.563,0.019,3585,5362,249
2020-11-04T01:25:43Z,11,89067,4233,0.415,0.565,0.02,1502,2561,169
2020-11-04T01:26:30Z,13,103986,14919,0.417,0.563,0.02,6399,8221,298
2020-11-04T01:28:50Z,13,106962,2976,0.412,0.569,0.019,706,2317,-47
2020-11-04T01:33:30Z,17,134350,27388,0.392,0.589,0.019,8596,18270,520
2020-11-04T01:33:35Z,19,148260,13910,0.379,0.602,0.019,3525,10120,264
2020-11-04T01:35:47Z,19,149460,1200,0.377,0.604,0.019,155,1021,22
2020-11-04T01:38:58Z,21,165978,16518,0.365,0.617,0.018,4235,12134,147
2020-11-04T01:40:39Z,21,169766,3788,0.362,0.62,0.018,873,2846,68
2020-11-04T01:45:12Z,22,177077,7311,0.36,0.621,0.019,2292,4709,308
2020-11-04T01:45:50Z,23,179522,2445,0.357,0.623,0.02,341,1877,225
2020-11-04T01:46:42Z,24,188386,8864,0.355,0.625,0.02,2787,5899,177
2020-11-04T01:47:09Z,24,194305,5919,0.351,0.629,0.02,1324,4476,118
2020-11-04T01:47:58Z,25,198705,4400,0.347,0.633,0.02,749,3562,88
2020-11-04T01:48:16Z,25,201021,2316,0.346,0.635,0.019,602,1868,-154
2020-11-04T01:48:25Z,29,232364,31343,0.357,0.624,0.019,13400,17346,595
2020-11-04T01:50:30Z,36,284782,52418,0.361,0.62,0.019,19852,31569,995
2020-11-04T01:52:36Z,41,327161,42379,0.382,0.599,0.019,22169,19404,805
2020-11-04T01:57:00Z,42,335006,7845,0.379,0.602,0.019,1991,5704,149
2020-11-04T01:57:40Z,42,336068,1062,0.378,0.603,0.019,66,975,20
2020-11-04T01:58:17Z,43,338321,2253,0.377,0.605,0.018,513,2035,-295
2020-11-04T01:59:10Z,43,340045,1724,0.376,0.606,0.018,309,1383,31
2020-11-04T01:59:22Z,43,345679,5634,0.372,0.609,0.019,735,4451,447
2020-11-04T02:00:32Z,44,349672,3993,0.37,0.611,0.019,786,3131,75
2020-11-04T02:05:17Z,44,351163,1491,0.369,0.612,0.019,200,1262,28
2020-11-04T02:07:11Z,44,352596,1433,0.368,0.613,0.019,176,1229,27
2020-11-04T02:07:22Z,45,356082,3486,0.366,0.615,0.019,570,2849,66
2020-11-04T02:08:09Z,49,392597,36515,0.36,0.622,0.018,11008,25204,301
2020-11-04T02:09:10Z,50,396774,4177,0.357,0.624,0.019,313,3391,471
2020-11-04T02:12:30Z,50,400790,4016,0.355,0.626,0.019,632,3307,76
2020-11-04T02:19:01Z,51,401894,1104,0.355,0.627,0.018,391,1092,-380
2020-11-04T02:19:39Z,54,426519,24625,0.346,0.635,0.019,4903,18852,869
2020-11-04T02:19:55Z,54,429964,3445,0.345,0.637,0.018,762,3047,-364
2020-11-04T02:20:39Z,55,439463,9499,0.345,0.636,0.019,3277,5611,610
2020-11-04T02:22:02Z,56,444632,5169,0.343,0.638,0.018,894,4176,-346
2020-11-04T02:29:04Z,59,465765,21133,0.346,0.635,0.019,8645,12085,846
2020-11-04T02:35:50Z,59,471500,5735,0.344,0.638,0.018,1041,5056,-362
2020-11-04T02:38:51Z,60,479308,7808,0.341,0.64,0.018,1248,5940,140
2020-11-04T02:40:53Z,61,482499,3191,0.34,0.641,0.018,605,2524,57
2020-11-04T02:41:31Z,64,506012,23513,0.335,0.647,0.018,5464,18107,423
2020-11-04T02:43:29Z,64,506092,80,0.335,0.647,0.018,26,51,1
2020-11-04T02:49:43Z,65,520213,14121,0.331,0.651,0.018,2649,11217,254
2020-11-04T02:50:23Z,67,534950,14737,0.33,0.652,0.018,4342,10128,265
2020-11-04T03:00:03Z,68,539376,4426,0.328,0.653,0.018,381,3425,79
2020-11-04T03:01:32Z,69,544959,5583,0.327,0.654,0.018,1286,4190,100
2020-11-04T03:03:27Z,69,551811,6852,0.326,0.656,0.018,1688,5584,123
2020-11-04T03:04:44Z,70,553348,1537,0.325,0.656,0.018,-52,1008,27
2020-11-04T03:05:21Z,71,560993,7645,0.323,0.658,0.018,1362,6137,137
2020-11-04T03:08:51Z,71,561019,26,0.323,0.658,0.018,8,17,0
2020-11-04T03:09:21Z,71,567554,6535,0.323,0.658,0.018,2110,4300,117
2020-11-04T03:14:30Z,72,573485,5931,0.323,0.658,0.018,1915,3902,106
2020-11-04T03:21:10Z,72,574719,1234,0.322,0.659,0.018,-176,1386,22
2020-11-04T03:23:14Z,77,610587,35868,0.316,0.665,0.018,7885,27300,645
2020-11-04T03:27:27Z,77,613365,2778,0.315,0.666,0.018,264,2460,50
2020-11-04T03:51:48Z,78,617011,3646,0.315,0.667,0.018,1148,3045,65
2020-11-04T03:52:37Z,81,645440,28429,0.312,0.67,0.018,7018,20898,511
2020-11-04T03:59:58Z,84,669981,24541,0.307,0.674,0.018,4306,19122,441
2020-11-04T04:10:18Z,86,683029,13048,0.31,0.672,0.018,6054,7428,234
2020-11-04T04:22:09Z,88,696010,12981,0.307,0.674,0.018,1936,10115,233
2020-11-04T04:23:08Z,88,699757,3747,0.306,0.675,0.018,450,3225,67
2020-11-04T04:34:22Z,91,720414,20657,0.303,0.679,0.018,4159,16825,371
2020-11-04T04:40:55Z,92,733122,12708,0.301,0.681,0.018,2384,10094,228
2020-11-04T05:00:40Z,93,741973,8851,0.301,0.681,0.018,2664,6027,159
2020-11-04T05:01:45Z,94,744219,2246,0.3,0.681,0.018,-68,1529,40
2020-11-04T05:16:24Z,94,750713,6494,0.3,0.682,0.018,1948,5173,116
2020-11-04T05:20:44Z,95,754015,3302,0.299,0.683,0.018,236,3005,59
2020-11-04T05:31:35Z,95,756080,2065,0.299,0.683,0.018,617,1410,37
2020-11-04T05:52:59Z,97,770583,14503,0.298,0.684,0.018,3565,10676,261
2020-11-04T06:11:53Z,97,773929,3346,0.297,0.685,0.018,223,3062,60
2020-11-04T06:32:53Z,97,775096,1167,0.297,0.685,0.018,346,799,21
2020-11-04T06:46:21Z,97,775116,20,0.297,0.685,0.018,5,13,0
2020-11-04T07:43:54Z,98,780292,5176,0.296,0.686,0.018,756,4325,93
2020-11-04T12:47:57Z,99,786126,5834,0.296,0.686,0.018,1726,4002,105
2020-11-04T15:19:54Z,99,786272,146,0.296,0.686,0.018,43,100,2
2020-11-07T14:18:09Z,99,864488,78216,0.3,0.682,0.018,26609,50198,1407
2020-11-08T16:44:48Z,99,786188,-78300,0.296,0.686,0.018,-26634,-50255,-1409
2020-11-09T16:27:49Z,99,786261,73,0.296,0.686,0.018,21,50,1
2020-11-09T17:37:40Z,99,786286,25,0.296,0.686,0.018,7,17,0
2020-11-09T17:54:40Z,99,786300,14,0.296,0.686,0.018,4,9,0
2020-11-09T18:19:41Z,99,786606,306,0.296,0.687,0.016,90,996,-1567
2020-11-09T18:38:40Z,99,786620,14,0.296,0.687,0.016,4,9,0
2020-11-09T20:13:44Z,99,787162,542,0.296,0.687,0.016,160,372,8
2020-11-09T20:32:43Z,99,787197,35,0.296,0.687,0.016,10,24,0
2020-11-09T21:38:42Z,99,787568,371,0.296,0.687,0.016,109,254,5
2020-11-09T22:09:43Z,99,787660,92,0.296,0.687,0.016,27,63,1
2020-11-11T03:20:30Z,99,790253,2593,0.296,0.687,0.016,767,1781,41
