anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,delta_votes,delta_biden,delta_trump,delta_other,note
false,2020-11-03 21:14:29,0,1095,0.725,0.256,0.019,1095,793,280,20,
false,2020-11-03 21:18:58,0,9001,0.362,0.619,0.019,7906,2464,5291,150,
false,2020-11-03 21:23:05,1,43641,0.624,0.359,0.017,34640,23973,10095,570,
false,2020-11-03 21:24:58,3,109676,0.441,0.543,0.016,66035,21135,43886,1012,
false,2020-11-03 21:27:50,3,116441,0.433,0.55,0.016,6765,2051,4488,108,
false,2020-11-03 21:27:56,4,138795,0.487,0.496,0.017,22354,17174,4799,496,
false,2020-11-03 21:28:29,4,139671,0.486,0.498,0.016,876,286,713,-124,
false,2020-11-03 21:29:02,6,213227,0.508,0.474,0.018,73556,40439,31513,1603,
false,2020-11-03 21:30:00,8,279037,0.489,0.492,0.019,65810,28129,36216,1463,
false,2020-11-03 21:32:26,8,281229,0.488,0.493,0.019,2192,790,1359,41,
false,2020-11-03 21:34:02,9,316869,0.471,0.509,0.02,35640,12005,22640,994,
false,2020-11-03 21:34:40,10,352596,0.504,0.477,0.019,35727,28463,6901,361,
false,2020-11-03 21:35:06,10,353826,0.504,0.477,0.019,1230,619,586,23,
false,2020-11-03 21:36:25,10,359150,0.502,0.48,0.018,5324,1964,3616,-257,
false,2020-11-03 21:37:36,10,359709,0.501,0.48,0.019,559,-79,268,369,
false,2020-11-03 21:38:19,10,376689,0.499,0.482,0.019,16980,7753,8903,322,
false,2020-11-03 21:39:00,11,393072,0.495,0.486,0.019,16383,6602,9468,311,
false,2020-11-03 21:42:35,13,468775,0.512,0.469,0.019,75703,45442,28822,1438,
false,2020-11-03 21:43:50,14,511953,0.504,0.477,0.019,43178,18011,24346,820,
false,2020-11-03 21:44:16,14,512037,0.504,0.477,0.019,84,42,40,1,
false,2020-11-03 21:46:37,15,555995,0.483,0.498,0.019,43958,10478,32643,835,
false,2020-11-03 21:46:58,17,623182,0.516,0.466,0.018,67187,53016,13517,653,
false,2020-11-03 21:47:06,18,661164,0.51,0.473,0.017,37982,15631,22327,22,
false,2020-11-03 21:48:16,18,661737,0.509,0.472,0.019,573,-369,-390,1333,
false,2020-11-03 21:48:52,19,670482,0.508,0.474,0.018,8745,3780,5468,-504,
false,2020-11-03 21:49:19,19,688302,0.507,0.474,0.019,17820,8364,8446,1009,
false,2020-11-03 21:51:09,20,730981,0.5,0.482,0.018,42679,16521,26077,79,
false,2020-11-03 21:51:39,21,751724,0.509,0.474,0.017,20743,17137,3984,-378,
false,2020-11-03 21:52:35,22,781761,0.501,0.482,0.017,30037,9034,20491,510,
false,2020-11-03 21:53:41,23,819913,0.496,0.487,0.017,38152,15014,22488,648,
false,2020-11-03 21:54:34,23,820289,0.496,0.487,0.017,376,186,183,6,
false,2020-11-03 21:55:58,23,821494,0.495,0.487,0.018,1205,-223,586,841,
false,2020-11-03 21:56:07,23,844894,0.495,0.487,0.018,23400,11583,11395,421,
false,2020-11-03 21:57:10,24,847690,0.495,0.488,0.017,2796,1384,2209,-797,
false,2020-11-03 21:57:38,24,855189,0.497,0.485,0.018,7499,5422,1093,982,
false,2020-11-03 21:58:08,25,915557,0.488,0.495,0.017,60368,21762,38434,171,
false,2020-11-03 21:58:29,26,944136,0.485,0.498,0.017,28579,11114,16979,485,
false,2020-11-03 21:59:11,26,945040,0.485,0.498,0.017,904,438,450,15,
false,2020-11-03 21:59:37,27,983937,0.478,0.505,0.017,38897,11977,26258,661,
false,2020-11-03 22:00:20,28,992552,0.477,0.505,0.018,8615,3125,4350,1139,
false,2020-11-03 22:01:17,29,1026828,0.476,0.507,0.017,34276,15322,19363,-409,
false,2020-11-03 22:03:52,30,1067172,0.478,0.504,0.018,40344,21338,17252,1753,
false,2020-11-03 22:04:05,30,1068544,0.478,0.505,0.017,1372,655,1760,-1043,
false,2020-11-03 22:06:03,30,1087928,0.477,0.506,0.017,19384,8177,10876,329,
false,2020-11-03 22:06:21,30,1089047,0.477,0.506,0.017,1119,533,566,19,
false,2020-11-03 22:09:17,31,1115492,0.475,0.508,0.017,26445,10383,15612,449,
false,2020-11-03 22:10:18,31,1116936,0.475,0.508,0.017,1444,685,733,24,
false,2020-11-03 22:10:42,31,1118820,0.475,0.508,0.017,1884,894,957,32,
false,2020-11-03 22:11:07,31,1127793,0.474,0.509,0.017,8973,3134,5686,152,
false,2020-11-03 22:11:30,31,1128436,0.474,0.509,0.017,643,304,327,10,
false,2020-11-03 22:13:28,31,1129435,0.474,0.509,0.017,999,473,508,16,
false,2020-11-03 22:14:01,32,1144057,0.473,0.51,0.017,14622,5786,8586,248,
false,2020-11-03 22:14:27,32,1144934,0.473,0.51,0.017,877,414,447,14,
false,2020-11-03 22:15:00,32,1146504,0.473,0.51,0.017,1570,742,800,26,
false,2020-11-03 22:16:53,32,1150829,0.472,0.511,0.017,4325,894,3356,73,
false,2020-11-03 22:22:01,32,1162185,0.472,0.511,0.017,11356,5360,5802,193,
false,2020-11-03 22:24:08,33,1177333,0.472,0.511,0.017,15148,7149,7740,257,
false,2020-11-03 22:27:32,34,1231243,0.483,0.5,0.017,53910,38989,14004,916,
false,2020-11-03 22:28:57,35,1271741,0.483,0.5,0.017,40498,19560,20249,688,
false,2020-11-03 22:30:09,35,1273241,0.483,0.5,0.017,1500,724,750,25,
false,2020-11-03 22:30:28,36,1293950,0.481,0.502,0.017,20709,7414,12942,352,
false,2020-11-03 22:30:52,36,1295948,0.481,0.503,0.016,1998,961,2298,-1261,
false,2020-11-03 22:35:25,37,1314342,0.48,0.503,0.017,18394,7533,9252,1608,
false,2020-11-03 22:37:17,37,1315928,0.481,0.502,0.017,1586,2077,-518,26,
false,2020-11-03 22:39:29,37,1338972,0.482,0.501,0.017,23044,12423,10229,391,
false,2020-11-03 22:44:05,38,1371871,0.483,0.501,0.016,32899,17229,16482,-812,
false,2020-11-03 22:44:54,39,1390806,0.481,0.502,0.017,18935,6363,10877,1693,
false,2020-11-03 22:46:25,39,1420086,0.483,0.5,0.017,29280,16923,11858,497,
false,2020-11-03 22:46:46,40,1433951,0.484,0.499,0.017,13865,8130,5498,235,
false,2020-11-03 22:50:10,40,1441731,0.483,0.5,0.017,7780,2323,5323,132,
false,2020-11-03 22:51:23,40,1445245,0.483,0.5,0.017,3514,1697,1757,59,
false,2020-11-03 22:53:26,41,1469107,0.481,0.502,0.017,23862,8587,14869,405,
false,2020-11-03 22:54:07,41,1469186,0.481,0.502,0.017,79,37,39,1,
false,2020-11-03 22:55:00,41,1473224,0.481,0.502,0.017,4038,1942,2027,68,
false,2020-11-03 22:55:27,41,1474586,0.481,0.502,0.017,1362,655,683,23,
false,2020-11-03 22:56:12,41,1483756,0.48,0.503,0.017,9170,2927,6087,155,
false,2020-11-03 22:57:47,41,1485560,0.479,0.503,0.018,1804,-619,907,1516,
false,2020-11-03 22:59:40,42,1512162,0.485,0.498,0.017,26602,21815,5819,-1033,
false,2020-11-03 23:00:08,42,1512685,0.485,0.498,0.017,523,253,260,8,
false,2020-11-03 23:00:47,42,1526911,0.483,0.5,0.017,14226,3845,10138,241,
false,2020-11-03 23:01:02,43,1532318,0.483,0.5,0.017,5407,2611,2703,91,
false,2020-11-03 23:02:43,43,1534123,0.483,0.5,0.017,1805,871,902,30,
false,2020-11-03 23:03:17,43,1543265,0.482,0.501,0.017,9142,2872,6114,155,
false,2020-11-03 23:05:14,44,1584658,0.479,0.504,0.017,41393,15197,25491,703,
false,2020-11-03 23:05:40,44,1590491,0.479,0.504,0.017,5833,2794,2939,99,
false,2020-11-03 23:06:06,45,1605217,0.477,0.506,0.017,14726,3843,10632,250,
false,2020-11-03 23:06:31,45,1621498,0.476,0.507,0.017,16281,6144,9859,276,
false,2020-11-03 23:06:39,45,1631584,0.476,0.507,0.017,10086,4800,5113,171,
false,2020-11-03 23:07:40,45,1636652,0.476,0.507,0.017,5068,2412,2569,86,
false,2020-11-03 23:07:55,46,1659168,0.476,0.507,0.017,22516,10717,11415,382,
false,2020-11-03 23:08:08,46,1664344,0.476,0.507,0.017,5176,2463,2624,87,
false,2020-11-03 23:08:32,46,1665623,0.476,0.507,0.017,1279,608,648,21,
false,2020-11-03 23:10:26,47,1704202,0.475,0.508,0.017,38579,16659,21263,655,
false,2020-11-03 23:11:25,48,1712007,0.475,0.508,0.017,7805,3707,3964,132,
false,2020-11-03 23:12:06,48,1719528,0.474,0.509,0.017,7521,1852,5540,127,
false,2020-11-03 23:12:37,48,1722833,0.474,0.509,0.017,3305,1566,1682,56,
false,2020-11-03 23:12:47,48,1724515,0.474,0.509,0.017,1682,797,856,28,
false,2020-11-03 23:13:10,48,1724524,0.474,0.509,0.017,9,4,4,0,
false,2020-11-03 23:13:33,48,1731454,0.474,0.509,0.017,6930,3284,3527,117,
false,2020-11-03 23:14:01,48,1732068,0.474,0.509,0.017,614,291,312,10,
false,2020-11-03 23:14:31,48,1743303,0.474,0.509,0.017,11235,5325,5718,190,
false,2020-11-03 23:14:54,49,1749777,0.474,0.509,0.017,6474,3068,3295,110,
false,2020-11-03 23:15:05,49,1753194,0.473,0.51,0.017,3417,-133,3492,58,
false,2020-11-03 23:15:49,50,1794163,0.476,0.508,0.016,40969,24760,17305,-1097,
